"data_type","data_descriptor",url
"Business Service data","Application data","https://lantern.splunk.com/@go/page/385"
"Physical Security data","Physical security data","https://lantern.splunk.com/@go/page/947"
"Backup data","Backup data","https://lantern.splunk.com/@go/page/950"
"Alerts data","",""
"APM data","",""
"Certificates data","",""
"Cloud Productivity Suites data","",""
"Cloud Services data",Microsoft,"https://lantern.splunk.com/@go/page/5743"
"Cloud Services data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"Cloud Services data",Google,"https://lantern.splunk.com/@go/page/5744"
"Compliance and Governance data","",""
