"sourcetype_name",vendor,product,category,domain,"data_type",apps,"data_model",description,support,docs,status,"use_cases",notes
"cisco:ucs:computembtempstats",Cisco,"Cisco UCS","IT Operations",Observability,"Performance data",2731,"Performance data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:computerackunit",Cisco,"Cisco UCS","IT Operations",Observability,"Inventory data",2731,"Inventory data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:equipmentchassisstats",Cisco,"Cisco UCS","IT Operations",Observability,"Performance data",2731,"Performance data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:equipmentpsustats",Cisco,"Cisco UCS","IT Operations",Observability,"Performance data",2731,"Performance data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:etherpio",Cisco,"Cisco UCS","IT Operations",Observability,"Inventory data",2731,"Inventory data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:faultinst",Cisco,"Cisco UCS","IT Operations",Observability,"Inventory data",2731,,,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:processorenvstats",Cisco,"Cisco UCS","IT Operations",Observability,"Performance data",2731,"Performance data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:storagelocaldisk",Cisco,"Cisco UCS","IT Operations",Observability,"Inventory data",2731,"Inventory data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:ucs:swsystemstats",Cisco,"Cisco UCS","IT Operations",Observability,"Performance data",2731,"Performance data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoUCS/Sourcetype",Validated,,
"cisco:umbrella:appdiscovery",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Web Proxy data",5557,,,developer,"https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:audit",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Change data",5557,,,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:dlp",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Data Loss Prevention data",5557,"Data Loss Prevention data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:dns",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Network Resolution data",5557,"Network Resolution data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:firewall",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Network Firewall data",5557,"Network Traffic data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:firewall",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Network Traffic data",5557,"Network Traffic data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:investigated",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Web Proxy data",5557,,,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:ip",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Network Traffic data",5557,"Network Traffic data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:proxy",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Web Proxy data",5557,"Web Proxy data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:umbrella:proxy",Cisco,"Cisco Cloud Security Umbrella","IT Operations|Security Fraud and Compliance","Observability|Security","Web Server data",5557,"Web Proxy data",,"not_supported","https://developer.cisco.com/docs/cloud-security/cisco-cloud-security-add-on-for-splunk/","Need to Validate",,
"cisco:vuln*",Cisco,"Cisco Vulnerability Management (formerly Kenna.VM)","Security Fraud and Compliance",Security,"Vulnerability Detection data",4015,,,"not_supported","https://splunkbase.splunk.com/app/4015","Need to Validate",,
