"sourcetype_name",vendor,product,category,domain,"data_type",apps,"data_model",description,support,docs,status,"use_cases",notes
"citrix:netscaler:nitro",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Performance data",2770,"Inventory data|Load Balancer data","NITRO API",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Authentication data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Events including logins, logouts, firewall activity, device status changes, and network status changes. If you configure your Citrix NetScaler device to produce data over syslog, use this source type when you set up a UDP listener on your collector node.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Change data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Events including logins, logouts, firewall activity, device status changes, and network status changes. If you configure your Citrix NetScaler device to produce data over syslog, use this source type when you set up a UDP listener on your collector node.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Load Balancer data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Events including logins, logouts, firewall activity, device status changes, and network status changes. If you configure your Citrix NetScaler device to produce data over syslog, use this source type when you set up a UDP listener on your collector node.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Network Traffic data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Events including logins, logouts, firewall activity, device status changes, and network status changes. If you configure your Citrix NetScaler device to produce data over syslog, use this source type when you set up a UDP listener on your collector node.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:system:log:records",Cisco,"Citrix System Log","Security Fraud and Compliance",Security,"Change data",5496,,,"not_supported","https://splunkbase.splunk.com/app/5496","Need to Validate",,
"ck_logstash",,,"IT Operations|Security Fraud and Compliance","Observability|Security","Application data",5068,,,"not_supported","https://splunkbase.splunk.com/app/5068","Skip for now",,"inputs.conf"
clamav,,,"IT Operations|Security Fraud and Compliance","Observability|Security","Application data",3619,,,"not_supported","https://splunkbase.splunk.com/app/3619","Skip for now",,
"claroty:*",Claroty,"Claroty xDome","IoT and Industrial Data|Security Fraud and Compliance","Observability|Security","Alerts data",5450,"Alerts data|Change data|Inventory data|Network Traffic data|Performance data|Vulnerabilities data",,developer,"https://splunkbase.splunk.com/app/5450","Need to Validate",,
"claroty:*",Claroty,"Claroty xDome","IoT and Industrial Data|Security Fraud and Compliance","Observability|Security","Change data",5450,"Alerts data|Change data|Inventory data|Network Traffic data|Performance data|Vulnerabilities data",,developer,"https://splunkbase.splunk.com/app/5450","Need to Validate",,
"claroty:*",Claroty,"Claroty xDome","IoT and Industrial Data|Security Fraud and Compliance","Observability|Security","Inventory data",5450,"Alerts data|Change data|Inventory data|Network Traffic data|Performance data|Vulnerabilities data",,developer,"https://splunkbase.splunk.com/app/5450","Need to Validate",,
"claroty:*",Claroty,"Claroty xDome","IoT and Industrial Data|Security Fraud and Compliance","Observability|Security","IoT and Industrial data",5450,"Alerts data|Change data|Inventory data|Network Traffic data|Performance data|Vulnerabilities data",,developer,"https://splunkbase.splunk.com/app/5450","Need to Validate",,
