type,value
"category","Artificial Intelligence"
"category","Business Analytics"
"category","DevOps"
"category","Directory Service"
"category","E-mail"
"category","Endpoint"
"category","Firewall"
"category","Generic"
"category","IT Operations"
"category","Identity Management"
"category","Information"
"category","Investigative"
"category","IoT and Industrial Data"
"category","Network Access Control"
"category","Network Device"
"category","Network Security"
"category","Reputation"
"category","SIEM"
"category","Sandbox"
"category","Security Fraud and Compliance"
"category","Threat Intel"
"category","Ticketing"
"category","Utilities"
"category","Virtualization"
"category","Vulnerability Scanner"
"data_type","APM data"
"data_type","AWS:API Gateway data"
"data_type","AWS:Access logs data"
"data_type","AWS:Cloud Services data"
"data_type","AWS:CloudFront data"
"data_type","AWS:CloudHSM data"
"data_type","AWS:CloudTrail data"
"data_type","AWS:CloudWatch data"
"data_type","AWS:Configuration logs data"
"data_type","AWS:Description data"
"data_type","AWS:Document DB data"
"data_type","AWS:EC2 data"
"data_type","AWS:Elastic Kubernetes Service data"
"data_type","AWS:GuardDuty data"
"data_type","AWS:IAM data"
"data_type","AWS:Lambda data"
"data_type","AWS:Load Balancer data"
"data_type","AWS:Meta data"
"data_type","AWS:RDS data"
"data_type","AWS:S3 data"
"data_type","AWS:Security Hub data"
"data_type","AWS:VPC Flow Logs data"
"data_type","Alerts data"
"data_type","Application data"
"data_type","Asset and Risk Intelligence data"
"data_type","Authentication data"
"data_type","Backup data"
"data_type","Binary Repositories data"
"data_type","Business Service data"
"data_type","CRM data"
"data_type","Call Detail Record data"
"data_type","Certificates data"
"data_type","Change data"
"data_type","Cloud Productivity Suites data"
"data_type","Cloud Services data"
"data_type","Compliance and Governance data"
"data_type","Configuration Management data"
"data_type","Content Delivery Network data"
"data_type","CrowdStrike Falcon data"
"data_type","Data Access data"
"data_type","Data Loss Prevention data"
"data_type","Database data"
"data_type","Deep Packet Inspection data"
"data_type","Edge Processor data"
"data_type","Email data"
"data_type","Endpoint data"
"data_type","Event Signatures data"
"data_type","File Integrity Monitoring data"
"data_type","Financial data"
"data_type","Fraud Detection data"
"data_type","GPS data"
"data_type","Google:GCP Data"
"data_type","Google:Workspace data"
"data_type","IP Address Assignment data"
"data_type","Identity and Access Management data"
"data_type","Infrastructure data"
"data_type","Insider Threat data"
"data_type","Interprocess Messaging data"
"data_type","Intrusion Detection data"
"data_type","Inventory data"
"data_type","IoT and Industrial data"
"data_type","JVM data"
"data_type","Kubernetes data"
"data_type","Law Enforcement data"
"data_type","Linux and Unix data"
"data_type","Load Balancer data"
"data_type","Malware data"
"data_type","Medical Device data"
"data_type","Microsoft:365 data"
"data_type","Microsoft:Active Directory data"
"data_type","Microsoft:Azure Active Directory data"
"data_type","Microsoft:Azure Blob Storage data"
"data_type","Microsoft:Azure Event Hub data"
"data_type","Microsoft:Azure Managed Disk data"
"data_type","Microsoft:Azure Metrics data"
"data_type","Microsoft:Azure Resource data"
"data_type","Microsoft:Azure Security Center data"
"data_type","Microsoft:Azure Virtual Machine data"
"data_type","Microsoft:Azure data"
"data_type","Microsoft:Cloud Services Network data"
"data_type","Microsoft:Cloud Services data"
"data_type","Microsoft:Exchange data"
"data_type","Microsoft:Windows Security Logs data"
"data_type","Microsoft:Windows data"
"data_type","Mobile Device data"
"data_type","Network Access Control data"
"data_type","Network Communication data"
"data_type","Network Detection and Response data"
"data_type","Network Firewall data"
"data_type","Network Infrastructure data"
"data_type","Network Management data"
"data_type","Network Protocol data"
"data_type","Network Resolution data"
"data_type","Network Router data"
"data_type","Network Sessions data"
"data_type","Network Switch data"
"data_type","Network Traffic data"
"data_type","Network VPN data"
"data_type","OpenLLMetry data"
"data_type","OpenTelemetry data"
"data_type","Operational Technology data"
"data_type","Patch Management data"
"data_type","Performance data"
"data_type","Physical Card Reader data"
"data_type","Physical Security data"
"data_type","Printers data"
"data_type","Real User Monitoring data"
"data_type","SNMP data"
"data_type","SOAR data"
"data_type","Salesforce data"
"data_type","Software-Defined Networking data"
"data_type","Splunk Stream data"
"data_type","Storage data"
"data_type","Synthetic Monitoring data"
"data_type","Threat Intelligence Platform data"
"data_type","Ticket Management data"
"data_type","Time Tracking and Synchronization data"
"data_type","Updates data"
"data_type","User Activity Logs data"
"data_type","VMware data"
"data_type","Vendor-Specific data"
"data_type","Video Conferencing and Communication data"
"data_type","Virtualization data"
"data_type","Vulnerability Detection data"
"data_type","Vulnerability Scanning data"
"data_type","Web Application Firewall data"
"data_type","Web Proxy data"
"data_type","Web Server data"
"data_type","Zoom data"
