forwarder_version,forwarder_cloud_versions,heavy_forwarder_support_end_date,univeral_forwarder_full_support_end_date,universal_forwarder_p3_support_end_date
9.2.*,"8.2.x, 9.0.x, 9.1.x","January 31, 2026","January 31, 2026","January 31, 2029*"
9.1.*,"8.2.x, 9.0.x, 9.1.x","June 28, 2025","June 28, 2025","June 28, 2028*"
9.0.*,"8.2.x, 9.0.x, 9.1.x","June 14, 2024","June 14, 2024","June 14, 2027*"
8.2.*,"8.0.x, 8.1.x., 8.2.x, 9.0.x","May 12, 2023","September 30, 2023","May 12, 2026*"
8.1.*,"8.0.x, 8.1.x., 8.2.x, 9.0.x","April 19, 2023","April 19, 2023","October 22, 2025*"
8.0.*,"8.0.x, 8.1.x., 8.2.x, 9.0.x","October 22, 2021","October 22, 2021","October 22, 2024*"
7.3.*,"8.0.x, 8.1.x., 9.0.x","October 22, 2021","October 22, 2021","June 4, 2024*"
