"check_name",category,component,limitation,"limit_classic","limit_victoria","limit_victoria_core","limit_victoria_premium",info
"cloud_ip_allow_list_feature_aws_limit",Security,"IP allow list address rules per feature allow list in Splunk Cloud Platform deployment in Google Cloud regions",200,200,200,,,"This is the hard limit per IP feature allow list. For example, the IP allow list service limit for collecting data is separate from sending search queries. Customers specify the IP address or IP address range that is permitted to access Splunk Cloud Platform and those from which Splunk Cloud Platform can collect data (forwarders and HEC) and send search queries. These are generically referred to as IP allow list rules. These rules can be configured to use CIDR blocks to maximize the IP allow list coverage."
"cloud_ip_allow_list_group_aws_limit",Security,"IP allow list address rules per allow list group in Splunk Cloud Platform deployment in AWS regions",230,230,230,,,"This is the hard limit per IP allow list group. For example, the service limit for collecting data is separate from sending search queries. Customers specify the IP address or IP address range that is permitted to access Splunk Cloud Platform and those from which Splunk Cloud Platform can collect data (forwarders and HEC) and send search queries. These are generically referred to as IP allow list rules. These rules can be configured to use CIDR blocks to maximize the IP allow list coverage."
"cloud_ip_allow_list_group_azure_limit",Security,"IP allow list address rules per allow list group in Splunk Cloud Platform deployment in Azure regions",230,230,230,,,"This is the hard limit per IP allow list group. For example, the service limit for collecting data is separate from sending search queries. Customers specify the IP address or IP address range that is permitted to access Splunk Cloud Platform and those from which Splunk Cloud Platform can collect data (forwarders and HEC) and send search queries. These are generically referred to as IP allow list rules. These rules can be configured to use CIDR blocks to maximize the IP allow list coverage."
"csv_lookup",Search,"CSV lookup","5 GB",5,5,,,"Larger CSV lookups will not replicate across a Search Head Cluster and will be quarantined on the Search Head it was generated. We recommend using KV store for lookups larger than 1 GB."
"ddaa_restorations_perc",Storage,"DDAA restorations","10% of DDAS",10,10,,,"Dynamic Data Active Archive enables restoring data up to 10% of your Active Searchable storage. If you no longer need already restored data, you can clear it before it expires to reclaim space to perform additional restores."
"ddaa_restorations_tb",Storage,"DDAA restorations","25 TB",25,25,,,"Dynamic Data Active Archive restorations were not designed to exceed 25 TB. If more data than 25 TB is needed, split your desired time frame into multiple smaller restores less than the recommended size limit."
"edge_processor_solution_instances","Edge Processor solution","Number of Edge Processors instances","300 instances",300,300,,,"This is the maximum total number of Edge Processor instances. As a reminder, an Edge Processor can be made up of 1 or multiple Edge Processor instances."
"edge_processor_solution_pipelines","Edge Processor solution","Number of applied pipelines per Edge Processor","100 pipelines",100,100,,,"This is the maximum total number of applied pipelines per Edge Processor. Pipelines with longer SPL2 configurations may reduce this maximum limit."
"edge_processor_solution_traffic","Edge Processor solution","Total traffic through an Edge Processor network","600TB/day",600,600,,,"This is the maximum total amount of traffic running through all deployed instances of Edge Processors for each Splunk Cloud Platform environment."
"environment_email_notifications_recipients","Email notifications","Maximum number of email recipients",50,50,50,,,"This is a hard limit of the Splunk Cloud Platform email relay service. Use an email distribution list to increase the number of email recipients."
"environment_email_notifications_size","Email notifications","Maximum email attachment size","40 MB",40,40,,,"This is a hard limit of the Splunk Cloud Platform email relay service."
"environment_hec_payload","Data Collection","HEC maximum content length size limit","1 MB",1,1,,,"There is a recommended limit to the HEC payload size in Splunk Cloud Platform to ensure data balance and ingestion fidelity. A HEC request can have one or more Splunk events batched into it but the payload size should be no larger than this limit. If you exceed this limit, you may experience performance issues related to data balance and ingestion fidelity."
"environment_kv_store_size","KV Store","Maximum collection size","25 GB",25,25,,,"This is the maximum size of a single collection that is tested with KV Store per Splunk Cloud Platform environment."
"environment_kv_store_total","KV Store","Total maximum size","100 GB",100,100,,,"This is the total maximum recommended size of KV Store across all collections per Splunk Cloud Platform environment."
"environment_sbase_apps",Apps,"Splunkbase and private apps",250,250,250,,,"This is the maximum tested limit for the self-service Splunkbase and private app management. If you exceed this soft service limit, you may experience issues with performing self-service app management."
"federated_search_for_amazon_s3_and_federated_analytics_events",Search,"Federated search for Amazon S3 and Federated Analytics","100,000 events",100000,100000,,,"This is the maximum configurable implicit default limit for federated search for Amazon S3. You can change this limit by reaching out to Splunk Support."
"federated_search_for_amazon_s3_and_federated_analytics_tb",Search,"Federated search for Amazon S3 and Federated Analytics","10 TB by default",10,10,,,"This is the maximum configurable overall data volume limit for federated search for Amazon S3. You cannot use a LIMIT clause to create searches that exceed that volume limit. You can change this limit by reaching out to Splunk Support.."
"federated_search_for_splunk",Search,"Federated search for Splunk",25,25,25,,,"This is the maximum tested limit for the number of Splunk Cloud Platform and Splunk Enterprise remote deployments used with federated search for Splunk. If you exceed this soft service limit, you may experience issues with performing federated search for Splunk."
"indexing_blocked_queue_status",Indexing,,,30,30,,,"Check if still needed."
"indexing_data_retention_check",Indexing,,,90,90,,,"Check if still needed."
