"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"*Nix CPU utilization nearing capacity","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/1749","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
"*Nix host stops reporting data","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/2775","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
"*Nix hosts with NFS connectivity issues","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/677","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
"*Nix memory utilization nearing capacity","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/1750","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
".NET assemblies being compiled","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/1769","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
".NET assemblies being compiled","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1769","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
"API key authentication","Technical Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions/API_key_authentication","Monitoring API transactions","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions","Industry Neutral",,Active,,,,,
"ATM withdrawal near threshold","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/1539","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"ATM withdrawal near threshold","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/1539","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"ATM withdrawal testing","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/1530","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
