dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
AC_1_4_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.4,,The organization defines the personnel or roles to be recipients of the access control policy necessary to facilitate the implementation of the access control policy and associated access controls.,TRUE
AC_1_9_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.9,,The organization defines a frequency for reviewing and updating the access control procedures.,TRUE
AC_1_5_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.5,,The organization defines the personnel or roles to be recipients of the procedures necessary to facilitate the implementation of the access control policy and associated access controls.,TRUE
AC_1_1_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.1,,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",TRUE
AC_1_2_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.2,,The organization disseminates the access control policy to organization-defined personnel or roles.,TRUE
AC_1_6_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.6,,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.,TRUE
AC_1_7_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.7,,The organization disseminates the procedures to facilitate access control policy and associated access controls to the organization-defined personnel or roles.,TRUE
AC_1_10_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.10,,The organization reviews and updates the access control policy in accordance with organization-defined frequency.,TRUE
AC_1_9_rmf,AC-1,Policy and Procedures,Access Control,,,,fas fa-user-lock,AC-1.9,,The organization defines a frequency for reviewing and updating the access control policy.,TRUE
AC_10_1_rmf,AC-10,Concurrent Session Control,Access Control,,,,fas fa-user-lock,AC-10.1,,The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.,TRUE
AC_10_2_rmf,AC-10,Concurrent Session Control,Access Control,,,,fas fa-user-lock,AC-10.2,,The organization defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,TRUE
AC_10_3_rmf,AC-10,Concurrent Session Control,Access Control,,,,fas fa-user-lock,AC-10.3,,The organization defines the accounts and/or account types for which the information system will limit the number of concurrent sessions.,TRUE
