code,description,icon,name
ACM,"Manage the organisation's operations technology (OT) and information technology (IT) assets, including both hardware and software, commensurate with the risk to critical infrastructure and organisational objectives.","fas fa-database","Asset, Change, and Configuration Management"
APM,"Establish and maintain plans, procedures, and technologies to reduce privacy related risks, and manage personally identifiable information through its lifecycle - collection, storage, use and disclosure, and disposal (including de-identification).","fas fa-user-lock","Australian Privacy Management"
CPM,"Establish and maintain an enterprise cybersecurity program that provides governance, strategic planning, and sponsorship for the organisation's cybersecurity activities in a manner that aligns cybersecurity objectives with the organisation's strategic objectives and the risk to critical infrastructure.","fas fa-shield-alt","Cybersecurity Program Management"
IR,"Establish and maintain plans, procedures, and technologies to detect, analyse, and respond to cybersecurity events and to sustain operations throughout a cybersecurity event, commensurate with the risk to critical infrastructure and organisational objectives.","fas fa-exclamation-triangle","Event and Incident Response, Continuity of Operations"
IAM,"Create and manage identities for entities that may be granted logical or physical access to the organisation's assets. Control access to the organisation's assets, commensurate with the risk to critical infrastructure and organisation objectives.","fas fa-id-badge","Identify and Access Management"
ISC,"Establish and maintain relationships with internal and external entities to collect and provide cybersecurity information, including threats and vulnerabilities, to reduce risks and to increase operational resilience, commensurate with the risk to critical infrastructure and organisational objectives.","fas fa-info-circle","Information Sharing and Communications"
RM,"Establish, operate, and maintain an enterprise cybersecurity risk management program to identify, analyse, and mitigate cybersecurity risk to the organisation, including its business units, subsidiaries, related interconnected infrastructure, and stakeholders.","fas fa-chart-bar","Risk Management"
SA,"Establish and maintain activities and technologies to collect, analyse, alarm, present, and use operational and cybersecurity information, including status and summary information from the other model domains, to form a common operating picture (COP).","fas fa-users","Situational Awareness"
EDM,"Establish and maintain controls to manage the cybersecurity risks associated with services and assets that are dependent on external entities, commensurate with the risk to critical infrastructure and organisational objectives.","fas fa-truck","Supply Chain and External Dependencies Management"
TVM,"Establish and maintain plans, procedures, and technologies to detect, identify, analyse, manage and respond to cybersecurity threats and vulnerabilities, commensurate with the organisation's infrastructure (e.g., critical, IT, operational) and organisational objectives.","fas fa-bug","Threat and Vulnerability Management"
WM,"Establish and maintain plans, procedures, technologies, and controls a culture of cybersecurity and to ensure that ongoing suitability and competence of personnel, commensurate with the risk to critical infrastructure and organisational objectives.","fas fa-briefcase","Workforce Management"
