dashboard,domain,"ext_link","ext_product",icon,name,"practice_description",visible
"AC_3_1_1_dfars","Access Control",,None,"fas fa-user-lock","3.1.1","Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",TRUE
"AC_3_1_2_dfars","Access Control",,None,"fas fa-user-lock","3.1.2","Limit system access to the types of transactions and functions that authorized users are permitted to execute.",TRUE
"AC_3_1_3_dfars","Access Control",,None,"fas fa-user-lock","3.1.3","Control the flow of CUI in accordance with approved authorizations.",TRUE
"AC_3_1_4_dfars","Access Control",,None,"fas fa-user-lock","3.1.4","Separate the duties of individuals to reduce the risk of malevolent activity without collusion.",TRUE
"AC_3_1_5_dfars","Access Control",,None,"fas fa-user-lock","3.1.5","Employ the principle of least privilege, including for specific security functions and privileged accounts.",TRUE
"AC_3_1_6_dfars","Access Control",,None,"fas fa-user-lock","3.1.6","Use non-privileged accounts or roles when accessing nonsecurity functions",TRUE
"AC_3_1_7_dfars","Access Control",,None,"fas fa-user-lock","3.1.7","Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.",TRUE
"AC_3_1_8_dfars","Access Control",,None,"fas fa-user-lock","3.1.8","Limit unsuccessful logon attempts.",TRUE
"AC_3_1_9_dfars","Access Control",,None,"fas fa-user-lock","3.1.9","Provide privacy and security notices consistent with applicable CUI rules.",TRUE
"AC_3_1_10_dfars","Access Control",,None,"fas fa-user-lock","3.1.10","Use session lock with patternhiding displays to prevent access and viewing of data after a period of inactivity",TRUE
"AC_3_1_11_dfars","Access Control",,None,"fas fa-user-lock","3.1.11"," Terminate (automatically) a user session after a defined condition.",TRUE
"AC_3_1_12_dfars","Access Control",,None,"fas fa-user-lock","3.1.12","Monitor and control remote access sessions.",TRUE
"AC_3_1_13_dfars","Access Control",,None,"fas fa-user-lock","3.1.13","Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.",TRUE
"AC_3_1_14_dfars","Access Control",,None,"fas fa-user-lock","3.1.14","Route remote access via managed access control points.",TRUE
"AC_3_1_15_dfars","Access Control",,None,"fas fa-user-lock","3.1.15","Authorize remote execution of privileged commands and remote access to securityrelevant information.",TRUE
"AC_3_1_16_dfars","Access Control",,None,"fas fa-user-lock","3.1.16","Authorize wireless access prior to allowing such connections.",TRUE
"AC_3_1_17_dfars","Access Control",,None,"fas fa-user-lock","3.1.17","Protect wireless access using authentication and encryption. ",TRUE
"AC_3_1_18_dfars","Access Control",,None,"fas fa-user-lock","3.1.18","Control connection of mobile devices",TRUE
"AC_3_1_19_dfars","Access Control",,None,"fas fa-user-lock","3.1.19","Encrypt CUI on mobile devices and mobile computing platforms. ",TRUE
"AC_3_1_20_dfars","Access Control",,None,"fas fa-user-lock","3.1.20","Verify and control/limit connections to and use of external systems.",TRUE
"AC_3_1_21_dfars","Access Control",,None,"fas fa-user-lock","3.1.21"," Limit use of portable storage devices on external systems.",TRUE
"AC_3_1_22_dfars","Access Control",,None,"fas fa-user-lock","3.1.22","Control CUI posted or processed on publicly accessible systems.",TRUE
"AU_3_3_1_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.1","Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",TRUE
"AU_3_3_2_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.2","Ensure that the actions of individual system users can be uniquely traced to those users, so they can be held accountable for their actions",TRUE
