capability,capability_description,name,dashboard,domain,icon,practice_description,expanded_guidance,visible,level
Chief Information Security Officer,Providing cyber security leadership and guidance,ISM-0714,SR_0714_ism,Guidelines for Cyber Security Roles,,A CISO is appointed to provide cyber security leadership and guidance for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing the cyber security program,ISM-1478,SR_1478_ism,Guidelines for Cyber Security Roles,,"The CISO oversees their organisation's cyber security program and ensures their organisation's compliance with cyber security policy, standards, regulations and legislation.",,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing the cyber security program,ISM-1617,SR_1617_ism,Guidelines for Cyber Security Roles,,The CISO regularly reviews and updates their organisation's cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing the cyber security program,ISM-0724,SR_0724_ism,Guidelines for Cyber Security Roles,,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Coordinating cyber security,ISM-0725,SR_0725_ism,Guidelines for Cyber Security Roles,,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis.",,TRUE,O-P-S-TS
Chief Information Security Officer,Coordinating cyber security,ISM-0726,SR_0726_ism,Guidelines for Cyber Security Roles,,The CISO coordinates security risk management activities between cyber security and business teams.,,TRUE,O-P-S-TS
Chief Information Security Officer,Reporting on cyber security,ISM-0718,SR_0718_ism,Guidelines for Cyber Security Roles,,The CISO reports directly to their organisation's senior executive or Board on cyber security matters.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing incident response activities,ISM-0733,SR_0733_ism,Guidelines for Cyber Security Roles,,The CISO is fully aware of all cyber security incidents within their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing incident response activities,ISM-1618,SR_1618_ism,Guidelines for Cyber Security Roles,,The CISO oversees their organisation's response to cyber security incidents.,,TRUE,O-P-S-TS
Chief Information Security Officer,Contributing to business continuity and disaster recovery planning,ISM-0734,SR_0734_ism,Guidelines for Cyber Security Roles,,The CISO contributes to the development and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.,,TRUE,O-P-S-TS
Chief Information Security Officer,Developing a cyber security communications strategy,ISM-0720,SR_0720_ism,Guidelines for Cyber Security Roles,,"The CISO develops, implements and maintains a cyber security communications strategy for their organisation.",,TRUE,O-P-S-TS
Chief Information Security Officer,Working with suppliers,ISM-0731,SR_0731_ism,Guidelines for Cyber Security Roles,,The CISO oversees cyber supply chain risk management activities for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Receiving and managing a dedicated cyber security budget,ISM-0732,SR_0732_ism,Guidelines for Cyber Security Roles,,The CISO receives and manages a dedicated cyber security budget for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing cyber security personnel,ISM-0717,SR_0717_ism,Guidelines for Cyber Security Roles,,The CISO oversees the management of cyber security personnel within their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing cyber security awareness raising,ISM-0735,SR_0735_ism,Guidelines for Cyber Security Roles,,"The CISO oversees the development, implementation and maintenance of their organisation's cyber security awareness training program.",,TRUE,O-P-S-TS
System owners,System ownership and oversight,ISM-1071,SR_1071_ism,Guidelines for Cyber Security Roles,,Each system has a designated system owner.,,TRUE,O-P-S-TS
System owners,System ownership and oversight,ISM-1525,SR_1525_ism,Guidelines for Cyber Security Roles,,System owners register each system with its authorising officer.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1633,SR_1633_ism,Guidelines for Cyber Security Roles,,"System owners determine the type, value and security objectives for each system based on an assessment of the impact if it were to be compromised.",,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1634,SR_1634_ism,Guidelines for Cyber Security Roles,,System owners select controls for each system and tailor them to achieve desired security objectives.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1635,SR_1635_ism,Guidelines for Cyber Security Roles,,System owners implement controls for each system and its operating environment.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1636,SR_1636_ism,Guidelines for Cyber Security Roles,,System owners ensure controls for each system and its operating environment are assessed to determine if they have been implemented correctly and are operating as intended.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-0027,SR_0027_ism,Guidelines for Cyber Security Roles,,System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1526,SR_1526_ism,Guidelines for Cyber Security Roles,,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis.",,TRUE,O-P-S-TS
System owners,Annual reporting of system security status,ISM-1587,SR_1587_ism,Guidelines for Cyber Security Roles,,System owners report the security status of each system to its authorising officer at least annually.,,TRUE,O-P-S-TS
Managing cyber security incidents,Incident management policy,ISM-0576,SI_0576_ism,Guidelines for Cyber Security Incidents,,"An incident management policy, and associated incident response plan, is developed, implemented and maintained.",,TRUE,O-P-S-TS
Managing cyber security incidents,Incident management policy,ISM-1784,SI_1784_ism,Guidelines for Cyber Security Incidents,,"The incident management policy, including the associated incident response plan, is exercised at least annually.",,TRUE,O-P-S-TS
Managing cyber security incidents,Cyber security incident register,ISM-0125,SI_0125_ism,Guidelines for Cyber Security Incidents,,"A cyber security incident register is developed, implemented and maintained.",,TRUE,O-P-S-TS
Managing cyber security incidents,Cyber security incident register,ISM-1803,SI_1803_ism,Guidelines for Cyber Security Incidents,,A cyber security incident register contains the following for each cyber security incident: • the date the cyber security incident occurred • the date the cyber security incident was discovered • a description of the cyber security incident • any actions taken in response to the cyber security incident • to whom the cyber security incident was reported.,,TRUE,O-P-S-TS
Managing cyber security incidents,Trusted insider program,ISM-1625,SI_1625_ism,Guidelines for Cyber Security Incidents,,"A trusted insider program is developed, implemented and maintained.",,TRUE,O-P-S-TS
Managing cyber security incidents,Trusted insider program,ISM-1626,SI_1626_ism,Guidelines for Cyber Security Incidents,,Legal advice is sought regarding the development and implementation of a trusted insider program.,,TRUE,O-P-S-TS
Managing cyber security incidents,Access to sufficient data sources and tools,ISM-0120,SI_0120_ism,Guidelines for Cyber Security Incidents,,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.,,TRUE,O-P-S-TS
Managing cyber security incidents,Reporting cyber security incidents,ISM-0123,SI_0123_ism,Guidelines for Cyber Security Incidents,,"Cyber security incidents are reported to an organisation's Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",,TRUE,O-P-S-TS
Managing cyber security incidents,Reporting cyber security incidents to the ACSC,ISM-0140,SI_0140_ism,Guidelines for Cyber Security Incidents,,Cyber security incidents are reported to the ACSC.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Enacting incident response plans,ISM-1819,SI_1819_ism,Guidelines for Cyber Security Incidents,,"Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing data spills,ISM-0133,SI_0133_ism,Guidelines for Cyber Security Incidents,,"When a data spill occurs, data owners are advised and access to the data is restricted.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing malicious code infections,ISM-0917,SI_0917_ism,Guidelines for Cyber Security Incidents,,"When malicious code is detected, the following steps are taken to handle the infection: • the infected systems are isolated • all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary • antivirus software is used to remove the infection from infected systems and media • if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-0137,SI_0137_ism,Guidelines for Cyber Security Incidents,,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1609,SI_1609_ism,Guidelines for Cyber Security Incidents,,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1731,SI_1731_ism,Guidelines for Cyber Security Incidents,,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1732,SI_1732_ism,Guidelines for Cyber Security Incidents,,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1213,SI_1213_ism,Guidelines for Cyber Security Incidents,,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether the adversary has been successfully removed from the system.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Maintaining the integrity of evidence,ISM-0138,SI_0138_ism,Guidelines for Cyber Security Incidents,,The integrity of evidence gathered during an investigation is maintained by investigators: • recording all of their actions • maintaining a proper chain of custody • following all instructions provided by relevant law enforcement agencies.,,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1631,PO_1631_ism,Guidelines for Procurement and Outsourcing,,"Suppliers of applications, ICT equipment and services associated with systems are identified.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1452,PO_1452_ism,Guidelines for Procurement and Outsourcing,,"A supply chain risk assessment is performed for suppliers of applications, ICT equipment and services in order to assess the impact to a system's security risk profile.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1567,PO_1567_ism,Guidelines for Procurement and Outsourcing,,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.,,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1568,PO_1568_ism,Guidelines for Procurement and Outsourcing,,"Applications, ICT equipment and services are chosen from suppliers that have demonstrated a commitment to the security of their products and services.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1632,PO_1632_ism,Guidelines for Procurement and Outsourcing,,"Applications, ICT equipment and services are chosen from suppliers that have a strong track record of transparency and maintaining the security of their own systems and cyber supply chains.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1569,PO_1569_ism,Guidelines for Procurement and Outsourcing,,"A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Supplier relationship management,ISM-1785,PO_1785_ism,Guidelines for Procurement and Outsourcing,,"A supplier relationship management policy is developed, implemented and maintained.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Supplier relationship management,ISM-1786,PO_1786_ism,Guidelines for Procurement and Outsourcing,,"An approved supplier list is developed, implemented and maintained.",,TRUE,O-P-S-TS
Cyber supply chain risk management,"Sourcing applications, ICT equipment and services","ISM-1787, ICT equipment and services",PO_1787_ism,Guidelines for Procurement and Outsourcing,,"Applications, ICT equipment and services are sourced from approved suppliers.",,TRUE,O-P-S-TS
Cyber supply chain risk management,"Sourcing applications, ICT equipment and services","ISM-1788, ICT equipment and services",PO_1788_ism,Guidelines for Procurement and Outsourcing,,"Multiple potential suppliers are identified for sourcing critical applications, ICT equipment and services.",,TRUE,O-P-S-TS
Cyber supply chain risk management,"Sourcing applications, ICT equipment and services","ISM-1789, ICT equipment and services",PO_1789_ism,Guidelines for Procurement and Outsourcing,,Sufficient spares of critical ICT equipment are sourced and kept in reserve.,,TRUE,O-P-S-TS
Cyber supply chain risk management,"Delivery of applications, ICT equipment and services","ISM-1790, ICT equipment and services",PO_1790_ism,Guidelines for Procurement and Outsourcing,,"Applications, ICT equipment and services are delivered in a manner that maintains their integrity.",,TRUE,O-P-S-TS
Cyber supply chain risk management,"Delivery of applications, ICT equipment and services","ISM-1791, ICT equipment and services",PO_1791_ism,Guidelines for Procurement and Outsourcing,,"The integrity of applications, ICT equipment and services are assessed as part of acceptance of products and services.",,TRUE,O-P-S-TS
Cyber supply chain risk management,"Delivery of applications, ICT equipment and services","ISM-1792, ICT equipment and services",PO_1792_ism,Guidelines for Procurement and Outsourcing,,"The authenticity of applications, ICT equipment and services are assessed as part of acceptance of products and services.",,TRUE,O-P-S-TS
Managed services and cloud services,Managed services,ISM-1736,PO_1736_ism,Guidelines for Procurement and Outsourcing,,"A managed service register is developed, implemented, maintained and verified on a regular basis.",,TRUE,O-P-S-TS
Managed services and cloud services,Managed services,ISM-1737,PO_1737_ism,Guidelines for Procurement and Outsourcing,,A managed service register contains the following for each managed service: • managed service provider's name • managed service's name • purpose for using the managed service • sensitivity or classification of data involved • due date for the next security assessment of the managed service • contractual arrangements for the managed service • point of contact for users of the managed service • 24/7 contact details for the managed service provider.,,TRUE,O-P-S-TS
Managed services and cloud services,Assessment of managed service providers,ISM-1793,PO_1793_ism,Guidelines for Procurement and Outsourcing,,Managed service providers and their managed services undergo a security assessment by an IRAP assessor at least every 24 months.,,TRUE,O-P-S-TS
Managed services and cloud services,Outsourced cloud services,ISM-1637,PO_1637_ism,Guidelines for Procurement and Outsourcing,,"An outsourced cloud service register is developed, implemented, maintained and verified on a regular basis.",,TRUE,O-P-S-TS
Managed services and cloud services,Outsourced cloud services,ISM-1638,PO_1638_ism,Guidelines for Procurement and Outsourcing,,An outsourced cloud service register contains the following for each outsourced cloud service: • cloud service provider's name • cloud service's name • purpose for using the cloud service • sensitivity or classification of data involved • due date for the next security assessment of the cloud service • contractual arrangements for the cloud service • point of contact for users of the cloud service • 24/7 contact details for the cloud service provider.,,TRUE,O-P-S-TS
Managed services and cloud services,Outsourced cloud services,ISM-1529,PO_1529_ism,Guidelines for Procurement and Outsourcing,,Only community or private clouds are used for outsourced SECRET and TOP SECRET cloud services.,,TRUE,S-TS
Managed services and cloud services,Assessment of outsourced cloud service providers,ISM-1570,PO_1570_ism,Guidelines for Procurement and Outsourcing,,Outsourced cloud service providers and their cloud services undergo a security assessment by an IRAP assessor at least every 24 months.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1395,PO_1395_ism,Guidelines for Procurement and Outsourcing,,"Service providers, including any subcontractors, provide an appropriate level of protection for any data entrusted to them or their services.",,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-0072,PO_0072_ism,Guidelines for Procurement and Outsourcing,,"Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose.",,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1571,PO_1571_ism,Guidelines for Procurement and Outsourcing,,The right to verify compliance with security requirements is documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1738,PO_1738_ism,Guidelines for Procurement and Outsourcing,,The right to verify compliance with security requirements documented in contractual arrangements with service providers is exercised on a regular and ongoing basis.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1804,PO_1804_ism,Guidelines for Procurement and Outsourcing,,Break clauses associated with failure to meet security requirements are documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-0141,PO_0141_ism,Guidelines for Procurement and Outsourcing,,The requirement for service providers to report cyber security incidents to a designated point of contact as soon as possible after they occur or are discovered is documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1794,PO_1794_ism,Guidelines for Procurement and Outsourcing,,A minimum notification period of one month by service providers for significant changes to their own service provider arrangements is documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1451,PO_1451_ism,Guidelines for Procurement and Outsourcing,,Types of data and its ownership is documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1572,PO_1572_ism,Guidelines for Procurement and Outsourcing,,"The regions or availability zones where data will be processed, stored and communicated is documented in contractual arrangements with service providers.",,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1573,PO_1573_ism,Guidelines for Procurement and Outsourcing,,Access to all logs relating to an organisation's data and services is documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1574,PO_1574_ism,Guidelines for Procurement and Outsourcing,,"The storage of data in a portable manner that allows for backups, service migration and service decommissioning without any loss of data is documented in contractual arrangements with service providers.",,TRUE,O-P-S-TS
Managed services and cloud services,Contractual security requirements with service providers,ISM-1575,PO_1575_ism,Guidelines for Procurement and Outsourcing,,A minimum notification period of one month for the cessation of any services by a service provider is documented in contractual arrangements with service providers.,,TRUE,O-P-S-TS
Managed services and cloud services,Access to systems and data by service providers,ISM-1073,PO_1073_ism,Guidelines for Procurement and Outsourcing,,An organisation's systems and data are not accessed or administered by a service provider unless a contractual arrangement exists between the organisation and the service provider to do so.,,TRUE,O-P-S-TS
Managed services and cloud services,Access to systems and data by service providers,ISM-1576,PO_1576_ism,Guidelines for Procurement and Outsourcing,,"If an organisation's systems or data are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified.",,TRUE,O-P-S-TS
Development and maintenance of security documentation,Cyber security strategy,ISM-0039,SD_0039_ism,Guidelines for Security Documentation,,"A cyber security strategy is developed, implemented and maintained.",,TRUE,O-P-S-TS
Development and maintenance of security documentation,Approval of security documentation,ISM-0047,SD_0047_ism,Guidelines for Security Documentation,,Organisational-level security documentation is approved by the Chief Information Security Officer while system-specific security documentation is approved by the system's authorising officer.,,TRUE,O-P-S-TS
Development and maintenance of security documentation,Approval of security documentation,ISM-1739,SD_1739_ism,Guidelines for Security Documentation,,A system's security architecture is approved prior to the development of the system.,,TRUE,O-P-S-TS
Development and maintenance of security documentation,Maintenance of security documentation,ISM-0888,SD_0888_ism,Guidelines for Security Documentation,,Security documentation is reviewed at least annually and includes a ‘current as at [date]' or equivalent statement.,,TRUE,O-P-S-TS
Development and maintenance of security documentation,Communication of security documentation,ISM-1602,SD_1602_ism,Guidelines for Security Documentation,,"Security documentation, including notification of subsequent changes, is communicated to all stakeholders.",,TRUE,O-P-S-TS
System-specific security documentation,System security plan,ISM-0041,SD_0041_ism,Guidelines for Security Documentation,,Systems have a system security plan that includes a description of the system and an annex that covers both applicable controls from this document and any additional controls that have been identified.,,TRUE,O-P-S-TS
System-specific security documentation,Incident response plan,ISM-0043,SD_0043_ism,Guidelines for Security Documentation,,"Systems have an incident response plan that covers the following: • guidelines on what constitutes a cyber security incident • the types of cyber security incidents likely to be encountered and the expected response to each type • how to report cyber security incidents, internally to an organisation and externally to relevant authorities • other parties which need to be informed in the event of a cyber security incident • the authority, or authorities, responsible for investigating and responding to cyber security incidents • the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Cyber Security Centre or other relevant authority • the steps necessary to ensure the integrity of evidence relating to a cyber security incident • system contingency measures or a reference to such details if they are located in a separate document.",,TRUE,O-P-S-TS
System-specific security documentation,Continuous monitoring plan,ISM-1163,SD_1163_ism,Guidelines for Security Documentation,,"Systems have a continuous monitoring plan that includes: • conducting vulnerability scans for systems at least monthly • conducting vulnerability assessments or penetration tests for systems at least annually • analysing identified security vulnerabilities to determine their potential impact • implementing mitigations based on risk, effectiveness and cost.",,TRUE,O-P-S-TS
System-specific security documentation,Security assessment report,ISM-1563,SD_1563_ism,Guidelines for Security Documentation,,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers: • the scope of the security assessment • the system's strengths and weaknesses • security risks associated with the operation of the system • the effectiveness of the implementation of controls • any recommended remediation actions.",,TRUE,O-P-S-TS
System-specific security documentation,Plan of action and milestones,ISM-1564,SD_1564_ism,Guidelines for Security Documentation,,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner.",,TRUE,O-P-S-TS
Facilities and systems,Physical access to systems,ISM-0810,PS_0810_ism,Guidelines for Physical Security,,Systems are secured in facilities that meet the requirements for a security zone suitable for their sensitivity or classification.,,TRUE,O-P-S-TS
Facilities and systems,"Physical access to servers, network devices and cryptographic equipment","ISM-1053, network devices and cryptographic equipment",PS_1053_ism,Guidelines for Physical Security,,"Servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their sensitivity or classification.",,TRUE,O-P-S-TS
Facilities and systems,"Physical access to servers, network devices and cryptographic equipment","ISM-1530, network devices and cryptographic equipment",PS_1530_ism,Guidelines for Physical Security,,"Servers, network devices and cryptographic equipment are secured in security containers or secure rooms suitable for their sensitivity or classification taking into account the combination of security zones they reside in.",,TRUE,O-P-S-TS
Facilities and systems,"Physical access to servers, network devices and cryptographic equipment","ISM-0813, network devices and cryptographic equipment",PS_0813_ism,Guidelines for Physical Security,,"Server rooms, communications rooms, security containers and secure rooms are not left in unsecured states.",,TRUE,O-P-S-TS
Facilities and systems,"Physical access to servers, network devices and cryptographic equipment","ISM-1074, network devices and cryptographic equipment",PS_1074_ism,Guidelines for Physical Security,,"Keys or equivalent access mechanisms to server rooms, communications rooms, security containers and secure rooms are appropriately controlled.",,TRUE,O-P-S-TS
Facilities and systems,Physical access to network devices in public areas,ISM-1296,PS_1296_ism,Guidelines for Physical Security,,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.,,TRUE,O-P-S-TS
Facilities and systems,Bringing Radio Frequency and infrared devices into facilities,ISM-1543,PS_1543_ism,Guidelines for Physical Security,,"An authorised RF and IR device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis.",,TRUE,S-TS
Facilities and systems,Bringing Radio Frequency and infrared devices into facilities,ISM-0225,PS_0225_ism,Guidelines for Physical Security,,Unauthorised RF and IR devices are not brought into SECRET and TOP SECRET areas.,,TRUE,S-TS
Facilities and systems,Bringing Radio Frequency and infrared devices into facilities,ISM-0829,PS_0829_ism,Guidelines for Physical Security,,Security measures are used to detect and respond to unauthorised RF devices in SECRET and TOP SECRET areas.,,TRUE,S-TS
Facilities and systems,Preventing observation by unauthorised people,ISM-0164,PS_0164_ism,Guidelines for Physical Security,,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities.",,TRUE,O-P-S-TS
ICT equipment and media,Securing ICT equipment and media,ISM-0161,PS_0161_ism,Guidelines for Physical Security,,ICT equipment and media are secured when not in use.,,TRUE,O-P-S-TS
Cyber security awareness training,Providing cyber security awareness training,ISM-0252,PerSec_0252_ism,Guidelines for Personnel Security,,Cyber security awareness training is undertaken annually by all personnel and covers: • the purpose of the cyber security awareness training • security appointments and contacts • authorised use of systems and their resources • protection of systems and their resources • reporting of cyber security incidents and suspected compromises of systems and their resources.,,TRUE,O-P-S-TS
Cyber security awareness training,Providing cyber security awareness training,ISM-1565,PerSec_1565_ism,Guidelines for Personnel Security,,Tailored privileged user training is undertaken annually by all privileged users.,,TRUE,O-P-S-TS
Cyber security awareness training,Managing and reporting suspicious changes to banking details or payment requests,ISM-1740,PerSec_1740_ism,Guidelines for Personnel Security,,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it.",,TRUE,O-P-S-TS
Cyber security awareness training,Reporting suspicious contact via online services,ISM-0817,PerSec_0817_ism,Guidelines for Personnel Security,,Personnel are advised of what suspicious contact via online services is and how to report it.,,TRUE,O-P-S-TS
Cyber security awareness training,Posting work information to online services,ISM-0820,PerSec_0820_ism,Guidelines for Personnel Security,,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.,,TRUE,O-P-S-TS
Cyber security awareness training,Posting work information to online services,ISM-1146,PerSec_1146_ism,Guidelines for Personnel Security,,Personnel are advised to maintain separate work and personal accounts for online services.,,TRUE,O-P-S-TS
Cyber security awareness training,Posting personal information to online services,ISM-0821,PerSec_0821_ism,Guidelines for Personnel Security,,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.,,TRUE,O-P-S-TS
Cyber security awareness training,Sending and receiving files via online services,ISM-0824,PerSec_0824_ism,Guidelines for Personnel Security,,Personnel are advised not to send or receive files via unauthorised online services.,,TRUE,O-P-S-TS
Access to systems and their resources,System access requirements,ISM-0432,PerSec_0432_ism,Guidelines for Personnel Security,,Access requirements for a system and its resources are documented in its system security plan.,,TRUE,O-P-S-TS
Access to systems and their resources,System access requirements,ISM-0434,PerSec_0434_ism,Guidelines for Personnel Security,,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to a system and its resources.",,TRUE,O-P-S-TS
Access to systems and their resources,System access requirements,ISM-0435,PerSec_0435_ism,Guidelines for Personnel Security,,Personnel receive any necessary briefings before being granted access to a system and its resources.,,TRUE,O-P-S-TS
Access to systems and their resources,User identification,ISM-0414,PerSec_0414_ism,Guidelines for Personnel Security,,Personnel granted access to a system and its resources are uniquely identifiable.,,TRUE,O-P-S-TS
Access to systems and their resources,User identification,ISM-0415,PerSec_0415_ism,Guidelines for Personnel Security,,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable.",,TRUE,O-P-S-TS
Access to systems and their resources,User identification,ISM-1583,PerSec_1583_ism,Guidelines for Personnel Security,,Personnel who are contractors are identified as such.,,TRUE,O-P-S-TS
Access to systems and their resources,User identification,ISM-0420,PerSec_0420_ism,Guidelines for Personnel Security,,"Where a system processes, stores or communicates AUSTEO, AGAO or REL data, personnel who are foreign nationals are identified as such, including by their specific nationality.",,TRUE,S-TS
Access to systems and their resources,Unprivileged access to systems,ISM-0405,PerSec_0405_ism,Guidelines for Personnel Security,,"Requests for unprivileged access to systems, applications and data repositories are validated when first requested.",,TRUE,O-P-S-TS
Access to systems and their resources,Unprivileged access to systems,ISM-1566,PerSec_1566_ism,Guidelines for Personnel Security,,Use of unprivileged access is logged.,,TRUE,O-P-S-TS
Access to systems and their resources,Unprivileged access to systems,ISM-1714,PerSec_1714_ism,Guidelines for Personnel Security,,Unprivileged access event logs are stored centrally.,,TRUE,O-P-S-TS
Access to systems and their resources,Unprivileged access to systems by foreign nationals,ISM-0409,PerSec_0409_ism,Guidelines for Personnel Security,,"Foreign nationals, including seconded foreign nationals, do not have access to systems that process, store or communicate AUSTEO or REL data unless effective controls are in place to ensure such data is not accessible to them.",,TRUE,S-TS
Access to systems and their resources,Unprivileged access to systems by foreign nationals,ISM-0411,PerSec_0411_ism,Guidelines for Personnel Security,,"Foreign nationals, excluding seconded foreign nationals, do not have access to systems that process, store or communicate AGAO data unless effective controls are in place to ensure such data is not accessible to them.",,TRUE,S-TS
Access to systems and their resources,Privileged access to systems,ISM-1507,PerSec_1507_ism,Guidelines for Personnel Security,,Requests for privileged access to systems and applications are validated when first requested.,## Guidance on restricting administrative privileges can be found here: [Restricting Administrative Privileges](https://www.cyber.gov.au/resources-business-and-government/maintaining-devices-and-systems/system-hardening-and-administration/system-administration/restricting-administrative-privileges),TRUE,O-P-S-TS
Access to systems and their resources,Privileged access to systems,ISM-1733,PerSec_1733_ism,Guidelines for Personnel Security,,Requests for privileged access to data repositories are validated when first requested.,## Guidance on restricting administrative privileges can be found here: [Restricting Administrative Privileges](https://www.cyber.gov.au/resources-business-and-government/maintaining-devices-and-systems/system-hardening-and-administration/system-administration/restricting-administrative-privileges),TRUE,O-P-S-TS
Access to systems and their resources,Privileged access to systems,ISM-1508,PerSec_1508_ism,Guidelines for Personnel Security,,Privileged access to systems and applications is limited to only what is required for users and services to undertake their duties.,## Guidance on restricting administrative privileges can be found here: [Restricting Administrative Privileges](https://www.cyber.gov.au/resources-business-and-government/maintaining-devices-and-systems/system-hardening-and-administration/system-administration/restricting-administrative-privileges),TRUE,O-P-S-TS
