name,dashboard,domain,capability,icon,practice_description,level,expanded_guidance,visible
ACM-1A: Manage Asset Inventory,ACM_1A_aescsf,"Asset, Change, and Configuration Management",Manage Asset Inventory,,There is an inventory of OT and IT assets that are important to the delivery of the function; management of the inventory may be ad hoc,MIL-1 SP-1,,TRUE
ACM-1B: Manage Asset Inventory,ACM_1B_aescsf,"Asset, Change, and Configuration Management",Manage Asset Inventory,,"There is an inventory of information assets that are important to the delivery of the function (e.g., SCADA set points, customer information, financial data); management of the inventory may be ad hoc",MIL-1 SP-1,,TRUE
ACM-1C: Manage Asset Inventory,ACM_1C_aescsf,"Asset, Change, and Configuration Management",Manage Asset Inventory,,"Inventory attributes include information to support the Cyber Security strategy (e.g., location, asset owner, applicable Security requirements, service dependencies, service level agreements, and conformance of assets to relevant industry standards)",MIL-2 SP-2,,TRUE
ACM-1D: Manage Asset Inventory,ACM_1D_aescsf,"Asset, Change, and Configuration Management",Manage Asset Inventory,,Inventoried assets are prioritised based on their importance to the delivery of the function,MIL-2 SP-2,,TRUE
ACM-1E: Manage Asset Inventory,ACM_1E_aescsf,"Asset, Change, and Configuration Management",Manage Asset Inventory,,There is an inventory for all connected IT and OT assets related to the delivery of the function,MIL-3 SP-3,,TRUE
ACM-1F: Manage Asset Inventory,ACM_1F_aescsf,"Asset, Change, and Configuration Management",Manage Asset Inventory,,The asset inventory is current (as defined by the organisation),MIL-3 SP-2,,TRUE
ACM-2A: Manage Asset Configuration,ACM_2A_aescsf,"Asset, Change, and Configuration Management",Manage Asset Configuration,,"Configuration baselines are established, at least in an ad hoc manner, for inventoried assets where it is desirable to ensure that multiple assets are configured similarly",MIL-1 SP-1,,TRUE
ACM-2B: Manage Asset Configuration,ACM_2B_aescsf,"Asset, Change, and Configuration Management",Manage Asset Configuration,,"Configuration baselines are used, at least in an ad hoc manner, to configure assets at deployment",MIL-1 SP-1,,TRUE
ACM-2C: Manage Asset Configuration,ACM_2C_aescsf,"Asset, Change, and Configuration Management",Manage Asset Configuration,,The design of configuration baselines includes Cyber Security objectives,MIL-2 SP-2,,TRUE
ACM-2D: Manage Asset Configuration,ACM_2D_aescsf,"Asset, Change, and Configuration Management",Manage Asset Configuration,,Configuration of assets are monitored for consistency with baselines throughout the assets' life cycle,MIL-3 SP-3,,TRUE
ACM-2E: Manage Asset Configuration,ACM_2E_aescsf,"Asset, Change, and Configuration Management",Manage Asset Configuration,,Configuration baselines are reviewed and updated at an organisationally-defined frequency,MIL-3 SP-3,,TRUE
ACM-3A: Manage Changes to Assets,ACM_3A_aescsf,"Asset, Change, and Configuration Management",Manage Changes to Assets,,"Changes to inventoried assets are evaluated, at least in an ad hoc manner, before being implemented",MIL-1 SP-1,,TRUE
