dashboard,requirement
A1_A_caf,"IGP1: Your organisation's approach and policy relating to the security of networks and information systems supporting the operation of essential functions are owned and managed at board level. These are communicated, in a meaningful way, to risk management decision-makers across the organisation."
A1_A_caf,"IGP2: Regular board discussions on the security of network and information systems supporting the operation of your essential function take place, based on timely and accurate information and informed by expert guidance."
A1_A_caf,"IGP3: There is a board-level individual who has overall accountability for the security of networks and information systems and drives regular discussion at board-level."
A1_A_caf,"IGP4: Direction set at board level is translated into effective organisational practices that direct and control the security of the networks and information systems supporting your essential function."
A1_B_caf,"IGP1: Necessary roles and responsibilities for the security of networks and information systems supporting your essential function have been identified. These are reviewed periodically to ensure they remain fit for purpose."
A1_B_caf,"IGP2: Appropriately capable and knowledgeable staff fill those roles and are given the time, authority, and resources to carry out their duties."
A1_B_caf,"IGP3: There is clarity on who in your organisation has overall accountability for the security of the networks and information systems supporting your essential function."
A1_C_caf,"IGP1: Senior management have visibility of key risk decisions made throughout the organisation."
A1_C_caf,"IGP2: Risk management decision-makers understand their responsibilities for making effective and timely decisions in the context of the risk appetite regarding the essential function, as set by senior management."
A1_C_caf,"IGP3: Risk management decision-making is delegated and escalated where necessary, across the organisation, to people who have the skills, knowledge, tools, and authority they need."
A1_C_caf,"IGP4: Risk management decisions are periodically reviewed to ensure their continued relevance and validity."
A2_A_caf,"IGP1: Your organisational process ensures that security risks to networks and information systems relevant to essential functions are identified, analysed, prioritised, and managed."
A2_A_caf,"IGP2: Your approach to risk is focused on the possibility of adverse impact to your essential function, leading to a detailed understanding of how such impact might arise as a consequence of possible attacker actions and the security properties of your networks and information systems."
A2_A_caf,"IGP3: Your risk assessments are based on a clearly understood set of threat assumptions, informed by an up-to-date understanding of security threats to your essential function and your sector.IGP5:"
A2_A_caf,"IGP4: Your risk assessments are informed by an understanding of the vulnerabilities in the networks and information systems supporting your essential function."
A2_A_caf,"IGP5: The output from your risk management process is a clear set of security requirements that will address the risks in line with your organisational approach to security."
A2_A_caf,"IGP6: Significant conclusions reached in the course of your risk management process are communicated to key security decision-makers and accountable individuals."
A2_A_caf,"IGP7: Your risk assessments are dynamic and updated in the light of relevant changes which may include technical changes to networks and information systems, change of use and new threat information."
A2_A_caf,"IGP8: The effectiveness of your risk management process is reviewed periodically, and improvements made as required."
A2_A_caf,"IGP9: You perform detailed threat analysis and understand how this applies to your organisation in the context of the threat to your sector and the wider CNI."
A2_B_caf,"IGP1: You validate that the security measures in place to protect the networks and information systems are effective and remain effective for the lifetime over which they are needed."
A2_B_caf,"IGP2: You understand the assurance methods available to you and choose appropriate methods to gain confidence in the security of essential functions."
A2_B_caf,"IGP3: Your confidence in the security as it relates to your technology, people, and processes can be justified to, and verified by, a third party."
A2_B_caf,"IGP4: Security deficiencies uncovered by assurance activities are assessed, prioritised and remedied when necessary in a timely and effective way."
A2_B_caf,"IGP5: The methods used for assurance are reviewed to ensure they are working as intended and remain the most appropriate method to use."
A3_A_caf,"IGP1: All assets relevant to the secure operation of essential functions are identified and inventoried (at a suitable level of detail). The inventory is kept up-to-date."
A3_A_caf,"IGP2: Dependencies on supporting infrastructure (e.g. power, cooling etc) are recognised and recorded."
A3_A_caf,"IGP3: You have prioritised your assets according to their importance to the operation of the essential function."
A3_A_caf,"IGP4: You have assigned responsibility for managing physical assets."
A3_A_caf,"IGP5: Assets relevant to essential functions are managed with cyber security in mind throughout their lifecycle, from creation through to eventual decommissioning or disposal."
A4_A_caf,"IGP1: You have a deep understanding of your supply chain, including sub-contractors and the wider risks it faces. You consider factors such as supplier's partnerships, competitors, nationality and other organisations with which they sub-contract. This informs your risk assessment and procurement processes."
A4_A_caf,"IGP2: Your approach to supply chain risk management considers the risks to your essential functions arising from supply chain subversion by capable and well-resourced attackers."
A4_A_caf,"IGP3: You have confidence that information shared with suppliers that is essential to the operation of your function is appropriately protected from sophisticated attacks."
A4_A_caf,"IGP4: You understand which contracts are relevant and you include appropriate security obligations in relevant contracts. You have a proactive approach to contract management which may include a contract management plan for relevant contracts."
A4_A_caf,"IGP5: Customer / supplier ownership of responsibilities are laid out in contracts."
A4_A_caf,"IGP6: All network connections and data sharing with third parties is managed effectively and proportionately."
A4_A_caf,"IGP7: When appropriate, your incident management process and that of your suppliers provide mutual support in the resolution of incidents."
B1_A_caf,"IGP1: You fully document your overarching security governance and risk management approach, technical security practice and specific regulatory compliance. Cyber security is integrated and embedded throughout these policies and processes and key performance indicators are reported to your executive management."
B1_A_caf,"IGP2: Your organisation's policies and processes are developed to be practical, usable and appropriate for your essential function and your technologies."
B1_A_caf,"IGP3: Policies and processes that rely on user behaviour are practical, appropriate and achievable."
B1_A_caf,"IGP4: You review and update policies and processes at suitably regular intervals to ensure they remain relevant. This is in addition to reviews following a major cyber security incident."
B1_A_caf,"IGP5: Any changes to the essential function or the threat it faces triggers a review of policies and processes."
B1_A_caf,"IGP6: Your systems are designed so that they remain secure even when user security policies and processes are not always followed."
B1_B_caf,"IGP1: All your policies and processes are followed, their correct application and security effectiveness is evaluated."
B1_B_caf,"IGP2: Your policies and processes are integrated with other organisational policies and processes, including HR assessments of individuals' trustworthiness."
B1_B_caf,"IGP3: Your policies and processes are effectively and appropriately communicated across all levels of the organisation resulting in good staff awareness of their responsibilities."
B1_B_caf,"IGP4: Appropriate action is taken to address all breaches of policies and processes with potential to adversely impact the essential function including aggregated breaches."
B2_A_caf,"IGP1: Your process of initial identity verification is robust enough to provide a high level of confidence of a user's identity profile before allowing an authorised user access to networks and information systems that support your essential function."
B2_A_caf,"IGP2: Only authorised and individually authenticated users can physically access and logically connect to your networks or information systems on which your essential function depends."
B2_A_caf,"IGP3: The number of authorised users and systems that have access to all your networks and information systems supporting the essential function is limited to the minimum necessary."
