name,dashboard,domain,capability,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
A1.A: Board Direction,A1_A_caf,A1. Governance,,,,"You have effective organisational security management led at board level and articulated clearly in corresponding policies. ",,,,,True
A1.B: Roles and Responsibilities,A1_B_caf,A1. Governance,,,,"Your organisation has established roles and responsibilities for the security of networks and information systems at all levels, with clear and well-understood channels for communicating and escalating risks. ",,,,,True
A1.C: Decision-Making,A1_C_caf,A1. Governance,,,,"You have senior-level accountability for the security of networks and information systems, and delegate decision-making authority appropriately and effectively. Risks to network and information systems related to the operation  of essential functions are considered in the context of other organisational risks. ",,,,,True
A2.A: Risk Management Process,A2_A_caf,A2. Risk Management,,,,"Your organisation has effective internal processes for managing risks to the security of network and information systems related to the operation of essential functions and communicating associated activities. ",,,,,True
A2.B: Assurance,A2_B_caf,A2. Risk Management,,,,"You have gained confidence in the effectiveness of the security of your technology, people, and processes relevant to essential functions.",,,,,True
A3.A: Asset Management,A3_A_caf,A3. Asset Management,,,,"Everything required to deliver, maintain or support networks and information systems necessary for the operation of essential functions is determined and understood. This includes data, people and systems, as well as any supporting infrastructure (such as power or cooling).",,,,,True
A4.A: Supply Chain,A4_A_caf,A4. Supply Chain,,,,The organisation understands and manages security risks to networks and information systems supporting the operation of essential functions that arise as a result of dependencies on external suppliers. This includes ensuring that appropriate measures are employed where third party services are used.,,,,,True
B1.A: Policy and Process Development,B1_A_caf,B1. Service Protection Policies and Processes,,,,You have developed and continue to improve a set of cyber security and resilience policies and processes that manage and mitigate the risk of adverse impact on the essential function.,,,,,True
B1.B: Policy and Process Implementation,B1_B_caf,B1. Service Protection Policies and Processes,,,,You have successfully implemented your security policies and processes and can demonstrate the security benefits achieved.,,,,,True
"B2.A: Identity Verification, Authentication and Authorisation",B2_A_caf,B2. Identity and Access Control,,,,"You robustly verify, authenticate and authorise access to the networks and information systems supporting your essential function.",,,,,True
B2.B: Device Management,B2_B_caf,B2. Identity and Access Control,,,,"You fully know and have trust in the devices that are used to access your networks, information systems and data that support your essential function.",,,,,True
