capability,"capability_description",dashboard,domain,icon,level,name,"practice_description",visible
"AC-1","Policy and Procedures","AC_1_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-1","The organization defines the personnel or roles to be recipients of the access control policy necessary to facilitate the implementation of the access control policy and associated access controls.",TRUE
"AC-2","Account Management","AC_2_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-2","Monitor the use of accounts",TRUE
"AC-2","Account Management | Automated System Account Management","AC_2-1_fisma","Access Control","fas fa-user-lock","Medium-High","AC-2(1)","Support the management of system accounts using [Assignment: organization-defined automated mechanisms].",TRUE
"AC-2","Account Management | Usage Conditions","AC_2-11_fisma","Access Control","fas fa-user-lock",High,"AC-2(11)","Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined system accounts].",TRUE
"AC-2","Account Management | Account Monitoring for Atypical Usage","AC_2-12_fisma","Access Control","fas fa-user-lock",High,"AC-2(12)","Monitor system accounts for [Assignment: organization-defined atypical usage]; and Report atypical usage of system accounts to [Assignment: organization-defined personnel or roles].",TRUE
"AC-2","Account Management | Disable Accounts for High-risk Individuals","AC_2-13_fisma","Access Control","fas fa-user-lock","Medium-High","AC-2(13)","Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks].",TRUE
"AC-2","Account Management | Automated Temporary and Emergency Account Management","AC_2-2_fisma","Access Control","fas fa-user-lock","Medium-High","AC-2(2)","Automatically [Assignment: remove, disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].",TRUE
"AC-2","Account Management | Disable Accounts","AC_2-3_fisma","Access Control","fas fa-user-lock","Medium-High","AC-2(3)","Disable accounts within an organization-defined time period when the accounts: Have expired; Are no longer associated with a user or individual; Are in violation of organizational policy; or Have been inactive for an organization-defined time period.",TRUE
"AC-2","Account Management | Automated Audit Actions","AC_2-4_fisma","Access Control","fas fa-user-lock","Medium-High","AC-2(4)","Automatically audit account creation, modification, enabling, disabling, and removal actions.",TRUE
"AC-2","Account Management | Inactivity Logout","AC_2-5_fisma","Access Control","fas fa-user-lock","Medium-High","AC-2(5)","Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].",TRUE
"AC-3","Access Enforcement","AC_3_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-3","The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.",TRUE
"AC-4","Information Flow Enforcement","AC_4_fisma","Access Control","fas fa-user-lock","Medium-High","AC-4","The information system enforces approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.",TRUE
"AC-4","Information Flow Enforcement | Flow Control of Encrypted Information","AC_4-4_fisma","Access Control","fas fa-user-lock",High,"AC-4(4)","The organization defines procedures or methods to be employed by the information system to prevent encrypted information from bypassing content-checking mechanisms, such as decrypting the information, blocking the flow of the encrypted information, and/or terminating communications sessions attempting to pass encrypted information.",TRUE
"AC-5","Separation of Duties","AC_5_fisma","Access Control","fas fa-user-lock","Medium-High","AC-5","The organization separates organization-defined duties of individuals.",TRUE
"AC-6","Least Privilege","AC_6_fisma","Access Control","fas fa-user-lock","Medium-High","AC-6","The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.",TRUE
"AC-6","Least Privilege | Authorize Access to Security Functions","AC_6-1_fisma","Access Control","fas fa-user-lock","Medium-High","AC-6(1)","The organization defines the security functions (deployed in hardware, software, and firmware) for which access must be explicitly authorized.",TRUE
"AC-6","Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions","AC_6-10_fisma","Access Control","fas fa-user-lock","Medium-High","AC-6(10)","The information system prevents non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.",TRUE
"AC-6","Least Privilege | Non-privileged Access for Nonsecurity Functions","AC_6-2_fisma","Access Control","fas fa-user-lock","Medium-High","AC-6(2)","The organization requires that users of information system accounts or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts, or roles, when accessing nonsecurity functions.",TRUE
"AC-6","Least Privilege | Network Access to Privileged Commands","AC_6-3_fisma","Access Control","fas fa-user-lock",High,"AC-6(3)","The organization authorizes network access to organization-defined privileged commands only for organization-defined compelling operational needs.",TRUE
"AC-6","Least Privilege | Privileged Accounts","AC_6-5_fisma","Access Control","fas fa-user-lock",Medium,"AC-6(5)","The organization defines the personnel or roles to whom privileged accounts are to be restricted on the information system.",TRUE
"AC-6","Least Privilege | Review of User Privileges","AC_6-7_fisma","Access Control","fas fa-user-lock","Medium-High","AC-6(7)","The organization defines the frequency on which it conducts reviews of the privileges assigned to organization-defined roles or classes of users.",TRUE
"AC-6","Least Privilege | Log Use of Privileged Functions","AC_6-9_fisma","Access Control","fas fa-user-lock","Medium-High","AC-6(9)","The information system audits the execution of privileged functions.",TRUE
"AC-7","Unsuccessful Logon Attempts","AC_7_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-7","The organization defines the maximum number of consecutive invalid logon attempts to the information system by a user during an organization-defined time period.",TRUE
"AC-8","System Use Notification","AC_8_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-8","The information system displays an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",TRUE
"AC-10","Concurrent Session Control","AC_10_fisma","Access Control","fas fa-user-lock",High,"AC-10","The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.",TRUE
