code,icon,name, description
AC,"fas fa-user-lock","Access Control",""
AT,"fas fa-graduation-cap","Awareness and Training",""
AU,"fas fa-user-circle","Audit and Accountability",""
CA,"fas fa-desktop ","Assessment, Authorization, And Monitoring",""
CM,"fas fa-database","Configuration Management",""
CP,"fas fa-tasks ","Contingency Planning",""
IA,"fas fa-id-badge","Identification And Authentication",""
IR,"fas fa-diagnoses","Incident Response",""
MA,"fas fa-tools",Maintenance,""
MP,"fas fa-save","Media Protection",""
PE,"fas fa-hard-hat","Physical And Environmental Protection",""
PL,"fas fa-calendar-alt ",Planning,""
PM,"fas fa-sitemap ","Program Management",""
PS,"fas fa-shield-alt","Personnel Security",""
PT,"far fa-address-card ","Personally Identifiable Information Processing And Transparency",""
RA,"fas fa-chart-bar","Risk Assessment",""
SA,"far fa-edit ","System And Services Acquisition",""
SC,"fas fa-satellite-dish","System And Communications Protection",""
SI,"fas fa-certificate","System And Information Integrity",""
SR,"fas fa-tasks ","Supply Chain Risk Management",""
