id,Log_Category,Required_Data_Category,Required_Data,Required_SubData
01_omb,Identity and Credential Management,Identity and Credential Management,Account Creation,
01_omb,Identity and Credential Management,Identity and Credential Management,Manage Credential Type,(PIV or CAC) and Derived Credentials
01_omb,Identity and Credential Management,Identity and Credential Management,Manage Credential Type,Cert
01_omb,Identity and Credential Management,Identity and Credential Management,Manage Credential Type,MFA
01_omb,Identity and Credential Management,Identity and Credential Management,Manage Credential Type,Password
01_omb,Identity and Credential Management,Identity and Credential Management,Establish/Manage Attributes,Organization
01_omb,Identity and Credential Management,Identity and Credential Management,Establish/Manage Attributes,Group/Roles
01_omb,Identity and Credential Management,Identity and Credential Management,Manage/Track Changes in Attributes & Credentials,
01_omb,Identity and Credential Management,Identity and Credential Management,Track Usage of Credentials,
01_omb,Identity and Credential Management,Identity and Credential Management,Account Deletion,
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Provisioning,
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Manage Credential Type,(PIV or CAC) and Derived Credentials
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Manage Credential Type,Cert
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Manage Credential Type,MFA
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Manage Credential Type,Password
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Establish/Manage Attributes,Organization
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Establish/Manage Attributes,Group/Roles
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Manage/Track Changes in Attributes & Credentials,
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Track Usage of Credentials,
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Deprovisioning,
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Establish and Manage Privileges (Privilege Credentials),
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,"Isolate, Monitor, Record, Audit Privilege Sessions",
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Control Privileged Actions,Commands
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Control Privileged Actions,Tasks
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,Track Privilege Escalation and Delegation,
02_omb,Privileged Identity and Credential Management,Privileged Identity and Credential Management,"Monitor, Alert and Respond to Anomalous Behaviors/Activities",
03_omb,"Email Filtering, Spam, and Phishing",IP and Domain Reputation,IP Reputation,
03_omb,"Email Filtering, Spam, and Phishing",IP and Domain Reputation,Domain Reptuation,
04_omb,Network Device Infrastructure,All Devices,DHCP Lease Information,MAC
04_omb,Network Device Infrastructure,All Devices,DHCP Lease Information,IP
05_omb,Network Device Infrastructure,DNS,"Source IP and Port, Destination IP and Port Date and Time",
05_omb,Network Device Infrastructure,DNS,"Content of Query, Response, and Errors & All Record Types",
05_omb,Network Device Infrastructure,DNS,Zone Transfers Request and Response (Audit Log),
05_omb,Network Device Infrastructure,DNS,Zone Transfers Request and Response (Content),
06_omb,Network Device Infrastructure,Passive DNS Log,"Tuple (Rrname, Rrtype, Rdata)",
06_omb,Network Device Infrastructure,Passive DNS Log,Time_First,
06_omb,Network Device Infrastructure,Passive DNS Log,Time_Last,
06_omb,Network Device Infrastructure,Passive DNS Log,Count,
06_omb,Network Device Infrastructure,Passive DNS Log,Bailiwick,
06_omb,Network Device Infrastructure,Passive DNS Log,Sensor_Id,
06_omb,Network Device Infrastructure,Passive DNS Log,Zone_Time_First,
06_omb,Network Device Infrastructure,Passive DNS Log,Zone_Time_Last,
06_omb,Network Device Infrastructure,Passive DNS Log,Time_First_Ms,
06_omb,Network Device Infrastructure,Passive DNS Log,Time_Last_Ms,
06_omb,Network Device Infrastructure,Passive DNS Log,Origin,
06_omb,Network Device Infrastructure,Passive DNS Log,Count of Questions Asked by Source IP,
06_omb,Network Device Infrastructure,Passive DNS Log,Count of Questions Asked Overall,
06_omb,Network Device Infrastructure,Passive DNS Log,Count of Responses by Source IP,
06_omb,Network Device Infrastructure,Passive DNS Log,Query Size in Bytes,
06_omb,Network Device Infrastructure,Passive DNS Log,Response Size in Bytes,
06_omb,Network Device Infrastructure,Passive DNS Log,TTL per Record Returned,
06_omb,Network Device Infrastructure,Passive DNS Log,"Request Was Made Via UDP, TCP or Both",
06_omb,Network Device Infrastructure,Passive DNS Log,"Response Was Made Via UDP, TCP or Both",
06_omb,Network Device Infrastructure,Passive DNS Log,Passive DNS Source (Used to Identify Which Passive DNS Source Data Came From),
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Wi-Fi Supporting Infrastructure Logs Including Security Logs at Info Level,
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Device Authentication Logs with User Agent,
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi","URL Browsing Logs + HTTP Methods (e.g., Post, Get, etc.)",
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",User Authentication Logs,
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi","DHCP Lease Information Including MAC, IP",
