fisma,rmf,cmmc,dfars,omb,cis,caf,ism,e8,aescsf
IR-8,IR-8.1,,,,,,,,
IR-8,IR-8.10,,,,,,,,
IR-8,IR-8.11,,,,,,,,
IR-8,IR-8.12,,,,,,,,
IR-8,IR-8.13,,,,,,,,
IR-8,IR-8.14,,,,,,,,
IR-8,IR-8.15,,,,,,,,
IR-8,IR-8.16,,,,,,,,
IR-8,IR-8.17,,,,,,,,
IR-8,IR-8.18,,,,,,,,
IR-8,IR-8.2,,,,,,,,
IR-8,IR-8.3,,,,,,,,
IR-8,IR-8.4,,,,,,,,
IR-8,IR-8.5,,,,,,,,
IR-8,IR-8.6,,,,,,,,
IR-8,IR-8.7,,,,,,,,
IR-8,IR-8.8,,,,,,,,
IR-8,IR-8.9,,,,,,,,
MA-1,MA-1.1,,,,,,,,
MA-1,MA-1.10,,,,,,,,
MA-1,MA-1.2,,,,,,,,
MA-1,MA-1.3,,,,,,,,
MA-1,MA-1.4,,,,,,,,
MA-1,MA-1.5,,,,,,,,
MA-1,MA-1.6,,,,,,,,
MA-1,MA-1.7,,,,,,,,
MA-1,MA-1.8,,,,,,,,
MA-1,MA-1.9,,,,,,,,
MA-2(2),MA-2(2).1,,,,,,,,
MA-2(2),MA-2(2).2,,,,,,,,
MA-2(2),MA-2(2).3,,,,,,,,
MA-2(2),MA-2(2).4,,,,,,,,
MA-2,,,,,,,ISM-0305,,
MA-2,MA-2.1,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.10,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.11,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.12,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.13,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.14,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.15,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.2,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.3,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.4,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.5,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.6,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.7,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.8,MA.2.111,3.7.1,,,,,,
MA-2,MA-2.9,MA.2.111,3.7.1,,,,,,
MA-3(1),MA-3(1).1,MA.2.112,3.7.2,,,,,,
MA-3(2),MA-3(2).1,MA.2.112,3.7.2,,,,,,
MA-3(3),MA-3(3).1,,,,,,,,
MA-3(3),MA-3(3).2,,,,,,,,
MA-3(4),MA-3(4).1,,,,,,,,
MA-3,,,,,CIS Safeguard 2.1,A3.A: Asset Management,,,
MA-3,,,,,,,ISM-0305,,
MA-3,MA-3.1,MA.2.112,3.7.2,,,,,,
MA-3,MA-3.2,MA.2.112,3.7.2,,,,,,
MA-3,MA-3.3,MA.2.112,3.7.2,,,,,,
MA-3,MA-3.1,,,,,,,,
MA-3,MA-3.2,,,,,,,,
MA-3,MA-3.3,,,,,,,,
MA-4(3),MA-4(3).1,,,,,,,,
MA-4(3),MA-4(3).2,,,,,,,,
MA-4(3),MA-4(3).3,,,,,,,,
MA-4,,,,,CIS Safeguard 4.6,,,,
MA-4,,,,,,,ISM-0305,,
MA-4,MA-4.1,MA.2.113,3.7.5,,,,,,
MA-4,MA-4.2,MA.2.113,3.7.5,,,,,,
MA-4,MA-4.3,MA.2.113,3.7.5,,,,,,
MA-4,MA-4.4,MA.2.113,3.7.5,,,,,,
MA-4,MA-4.5,MA.2.113,3.7.5,,,,,,
MA-4,MA-4.6,MA.2.113,3.7.5,,,,,,
MA-5(1),MA-5(1).1,,,,,,,,
MA-5(1),MA-5(1).2,,,,,,,,
MA-5(1),MA-5(1).3,,,,,,,,
MA-5(1),MA-5(1).4,,,,,,,,
MA-5,,,,,,,ISM-0305,,
MA-5,MA-5.1,MA.2.114,3.7.6,,,,,,
MA-5,MA-5.2,MA.2.114,3.7.6,,,,,,
MA-5,MA-5.3,MA.2.114,3.7.6,,,,,,
MA-5,MA-5.4,MA.2.114,3.7.6,,,,,,
MA-6,MA-6.1,MP.1.118,3.8.3,,,,,,
MA-6,MA-6.2,MP.1.118,3.8.3,,,,,,
MA-6,MA-6.3,MP.1.118,3.8.3,,,,,,
MP-1,MP-1.1,,,,,,,,
MP-1,MP-1.2,,,,,,,,
MP-1,MP-1.3,,,,,,,,
MP-1,MP-1.4,,,,,,,,
MP-1,MP-1.5,,,,,,,,
MP-1,MP-1.6,,,,,,,,
MP-1,MP-1.7,,,,,,,,
MP-1,MP-1.8,,,,,,,,
MP-1,MP-1.9,,,,,,,,
MP-2,,,,,CIS Safeguard 3.3,"B2.A: Identity Verification, Authentication and Authorisation",,,
MP-2,,,,,CIS Safeguard 3.3,B3.A: Understanding Data,,,
MP-2,,,,,,,ISM-1549,,
MP-2,,,,,,,ISM-1359,,
MP-2,MP-2.1,,,,,,,,
MP-2,MP-2.2,,,,,,,,
MP-2,MP-2.3,,,,,,,,
MP-3,MP-3.1,MP.3.122,3.8.4,,,,,,
MP-3,MP-3.2,MP.3.122,3.8.4,,,,,,
MP-3,MP-3.3,MP.3.122,3.8.4,,,,,,
MP-3,MP-3.4,MP.3.122,3.8.4,,,,,,
MP-4,MP-4.1,,,,,,,,
MP-4,MP-4.2,,,,,,,,
MP-4,MP-4.3,,,,,,,,
MP-4,MP-4.4,,,,,,,,
MP-5,,,,,CIS Safeguard 3.9,B3.D: Mobile Data,,,
MP-5,,,,,,,ISM-1549,,
MP-5,,,,,,,ISM-1359,,
MP-5,MP-5.1,MP.3.124,3.8.5,,,,,,
MP-5,MP-5.2,MP.3.124,3.8.5,,,,,,
MP-5,MP-5.3,MP.3.124,3.8.5,,,,,,
MP-5,MP-5.4,MP.3.124,3.8.5,,,,,,
MP-5,MP-5.5,MP.3.124,3.8.5,,,,,,
MP-5,MP-5.6,MP.3.124,3.8.5,,,,,,
MP-6(1),MP-6(1).1,,,,,,,,
MP-6(1),MP-6(1).2,,,,,,,,
MP-6(1),MP-6(1).3,,,,,,,,
MP-6(1),MP-6(1).4,,,,,,,,
MP-6(1),MP-6(1).5,,,,,,,,
MP-6(1),MP-6(1).6,,,,,,,,
MP-6(2),MP-6(2).1,,,,,,,,
MP-6(2),MP-6(2).2,,,,,,,,
MP-6(3),MP-6(3).1,,,,,,,,
MP-6(3),MP-6(3).2,,,,,,,,
MP-6,,,,,CIS Safeguard 3.5,A3.A: Asset Management,,,
MP-6,,,,,,,ISM-1199,,
MP-6,,,,,,,ISM-0313,,
MP-6,,,,,,,ISM-1741,,
MP-6,,,,,,,ISM-1550,,
MP-6,MP-6.1,,,,,,,,
MP-6,MP-6.2,,,,,,,,
MP-6,MP-6.3,,,,,,,,
MP-6,MP-6.4,,,,,,,,
MP-7,,,,,CIS Safeguard 3.9,B3.D: Mobile Data,,,
MP-7,,,,,CIS Safeguard 10.3,,,,
MP-7,,,,,CIS Safeguard 10.4,,,,
MP-7,,,,,,,ISM-1549,,
MP-7,,,,,,,ISM-1359,,
MP-7,MP-7.1,MP.2.121,3.8.7,,,,,,
MP-7,MP-7.2,MP.2.121,3.8.7,,,,,,
MP-7,MP-7.3,MP.2.121,3.8.7,,,,,,
MP-7,MP-7.4,MP.2.121,3.8.7,,,,,,
MP-8,,,,,,,ISM-1549,,
MP-8,,,,,,,ISM-1359,,
MP-8,,,,,,,ISM-0232,,
MP-8,,,,,,,ISM-0869,,
PS-1,PS-1.1,,,,,,,,
PS-1,PS-1.10,,,,,,,,
PS-1,PS-1.2,,,,,,,,
PS-1,PS-1.3,,,,,,,,
PS-1,PS-1.4,,,,,,,,
PS-1,PS-1.5,,,,,,,,
PS-1,PS-1.6,,,,,,,,
PS-1,PS-1.7,,,,,,,,
PS-1,PS-1.8,,,,,,,,
PS-1,PS-1.9,,,,,,,,
PS-2,PS-2.1,,,,,,,,
PS-2,PS-2.2,,,,,,,,
PS-2,PS-2.3,,,,,,,,
PS-2,PS-2.4,,,,,,,,
PS-3,,,,,,,ISM-0414,,
PS-3,PS-3.1,PS.2.127,3.9.1,,,,,,
PS-3,PS-3.2,PS.2.127,3.9.1,,,,,,
PS-3,PS-3.3,PS.2.127,3.9.1,,,,,,
PS-3,PS-3.4,PS.2.127,3.9.1,,,,,,
PS-4(2),PS-4(2).1,,,,,,,,
PS-4(2),PS-4(2).2,,,,,,,,
PS-4,PS-4.1,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.10,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.11,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.2,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.3,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.4,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.5,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.6,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.7,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.8,PS.2.127,3.9.1,,,,,,
PS-4,PS-4.9,PS.2.127,3.9.1,,,,,,
PS-5,PS-5.1,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.2,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.3,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.4,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.5,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.6,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.7,PS.2.128,3.9.2,,,,,,
PS-5,PS-5.8,PS.2.128,3.9.2,,,,,,
PS-6,PS-6.1,,,,,,,,
PS-6,PS-6.2,,,,,,,,
PS-6,PS-6.3,,,,,,,,
PS-6,PS-6.4,,,,,,,,
PS-6,PS-6.5,,,,,,,,
PS-6,PS-6.6,,,,,,,,
PS-7,,,,,,,ISM-0261,,
PS-7,,,,,,,ISM-0634,,
PS-7,,,,,,,ISM-0714,,
PS-7,PS-7.1,,,,,,,,
PS-7,PS-7.2,,,,,,,,
PS-7,PS-7.3,,,,,,,,
PS-7,PS-7.4,,,,,,,,
PS-7,PS-7.5,,,,,,,,
PS-7,PS-7.6,,,,,,,,
PS-7,PS-7.7,,,,,,,,
PS-8,PS-8.1,,,,,,,,
PS-8,PS-8.2,,,,,,,,
PS-8,PS-8.3,,,,,,,,
PS-8,PS-8.4,,,,,,,,
PE-1,PE-1.1,,,,,,,,
PE-1,PE-1.10,,,,,,,,
PE-1,PE-1.2,,,,,,,,
PE-1,PE-1.3,,,,,,,,
PE-1,PE-1.4,,,,,,,,
PE-1,PE-1.5,,,,,,,,
PE-1,PE-1.6,,,,,,,,
PE-1,PE-1.7,,,,,,,,
PE-1,PE-1.8,,,,,,,,
PE-1,PE-1.9,,,,,,,,
PE-10,PE-10.1,,,,,,,,
PE-10,PE-10.2,,,,,,,,
PE-10,PE-10.3,,,,,,,,
PE-10,PE-10.4,,,,,,,,
PE-11(1),PE-11(1).1,,,,,,,,
PE-11,PE-11.1,,,,,,,,
PE-12,PE-12.1,,,,,,,,
PE-13(1),PE-13(1).1,,,,,,,,
PE-13(1),PE-13(1).2,,,,,,,,
PE-13(1),PE-13(1).3,,,,,,,,
PE-13(1),PE-13(1).4,,,,,,,,
PE-13(2),PE-13(2).1,,,,,,,,
PE-13(2),PE-13(2).2,,,,,,,,
PE-13(2),PE-13(2).3,,,,,,,,
PE-13,PE-13.1,,,,,,,,
PE-14,PE-14.1,,,,,,,,
PE-14,PE-14.2,,,,,,,,
PE-14,PE-14.3,,,,,,,,
PE-14,PE-14.4,,,,,,,,
PE-15(1),PE-15(1).1,,,,,,,,
PE-15(1),PE-15(1).2,,,,,,,,
PE-15,PE-15.1,,,,,,,,
PE-15,PE-15.2,,,,,,,,
PE-15,PE-15.3,,,,,,,,
PE-16,,,,,,,ISM-1199,,
PE-16,,,,,,,ISM-0313,,
PE-16,,,,,,,ISM-1741,,
PE-16,,,,,,,ISM-1550,,
PE-16,PE-16.1,,,,,,,,
PE-16,PE-16.2,,,,,,,,
PE-16,PE-16.3,,,,,,,,
PE-16,PE-16.4,,,,,,,,
PE-16,PE-16.5,,,,,,,,
PE-17,PE-17.1,PE.3.136,3.10.6,,,,,,
PE-17,PE-17.2,PE.3.136,3.10.6,,,,,,
PE-17,PE-17.3,PE.3.136,3.10.6,,,,,,
PE-17,PE-17.4,PE.3.136,3.10.6,,,,,,
PE-18,PE-18.1,,,,,,,,
PE-18,PE-18.2,,,,,,,,
PE-18,PE-18.3,,,,,,,,
PE-2,,,,,,,ISM-0414,,
PE-2,,,,,,,ISM-1296,,
PE-2,PE-2.1,PE.1.131,3.10.1,,,,,,
PE-2,PE-2.2,PE.1.131,3.10.1,,,,,,
PE-2,PE-2.3,PE.1.131,3.10.1,,,,,,
PE-2,PE-2.4,PE.1.131,3.10.1,,,,,,
PE-2,PE-2.5,PE.1.131,3.10.1,,,,,,
PE-2,PE-2.6,PE.1.131,3.10.1,,,,,,
PE-2,PE-2.7,PE.1.131,3.10.1,,,,,,
PE-20,,,,,,,ISM-0520,,
PE-20,,,,,,,ISM-1714,,
PE-20,,,,,,,ISM-1509,Restrict Administrative Privileges - ISM-1509,
PE-20,,,,,,,ISM-1650,Restrict Administrative Privileges - ISM-1650,
PE-20,,,,,,,ISM-1613,,
PE-20,,,,,,,ISM-1537,,
PE-3(1),PE-3(1).1,,,,,,,,
PE-3(1),PE-3(1).2,,,,,,,,
PE-3,,,,,,,ISM-0520,,
PE-3,,,,,,,ISM-1714,,
PE-3,,,,,,,ISM-1509,Restrict Administrative Privileges - ISM-1509,
PE-3,,,,,,,ISM-1650,Restrict Administrative Privileges - ISM-1650,
PE-3,,,,,,,ISM-1613,,
PE-3,,,,,,,ISM-1537,,
PE-3,,,,,,,ISM-1296,,
PE-3,PE-3.1,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.10,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.11,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.12,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.13,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.14,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.15,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.16,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.17,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.18,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.19,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.2,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.3,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.4,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.5,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.6,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.7,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.8,PE.1.132,3.10.3,,,,,,
PE-3,PE-3.9,PE.1.132,3.10.3,,,,,,
PE-4,,,,,,,ISM-1296,,
PE-4,PE-4.1,PE.2.135,3.10.2,,,,,,
PE-4,PE-4.2,PE.2.135,3.10.2,,,,,,
PE-4,PE-4.3,PE.2.135,3.10.2,,,,,,
PE-5,PE-5.1,PE.2.135,3.10.2,,,,,,
PE-6(1),PE-6(1).1,,,,,,,,
PE-6(4),PE-6(4).1,,,,,,,,
PE-6(4),PE-6(4).2,,,,,,,,
PE-6,,,,,,,ISM-1296,,
PE-6,,,,,,,ISM-0520,,
PE-6,,,,,,,ISM-1714,,
PE-6,,,,,,,ISM-1509,Restrict Administrative Privileges - ISM-1509,
PE-6,,,,,,,ISM-1650,Restrict Administrative Privileges - ISM-1650,
PE-6,,,,,,,ISM-1613,,
PE-6,,,,,,,ISM-1537,,
PE-6,PE-6.1,PE.2.135,3.10.2,,,,,,
PE-6,PE-6.2,PE.2.135,3.10.2,,,,,,
PE-6,PE-6.3,PE.2.135,3.10.2,,,,,,
PE-6,PE-6.4,PE.2.135,3.10.2,,,,,,
PE-6,PE-6.5,PE.2.135,3.10.2,,,,,,
PE-6,PE-6.6,PE.2.135,3.10.2,,,,,,
PE-8(1),PE-8(1).1,,,,,,,,
PE-8,,,,,,,ISM-1296,,
PE-8,PE-8.1,,,,,,,,
PE-8,PE-8.2,,,,,,,,
PE-8,PE-8.3,,,,,,,,
PE-8,PE-8.4,,,,,,,,
PE-9,PE-9.1,,,,,,,,
PL-1,PL-1.1,,,,,,,,
PL-1,PL-1.10,,,,,,,,
PL-1,PL-1.2,,,,,,,,
PL-1,PL-1.3,,,,,,,,
PL-1,PL-1.4,,,,,,,,
PL-1,PL-1.5,,,,,,,,
PL-1,PL-1.6,,,,,,,,
PL-1,PL-1.7,,,,,,,,
PL-1,PL-1.8,,,,,,,,
PL-1,PL-1.9,,,,,,,,
PL-2,PL-2.1,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.10,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.11,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.12,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.13,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.14,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.15,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.16,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.17,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.18,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.19,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.2,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.3,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.4,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.5,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.6,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.7,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.8,CA.3.161,3.12.3,,,,,,
PL-2,PL-2.9,CA.3.161,3.12.3,,,,,,
PL-4(1),PL-4(1).1,,,,,,,,
PL-4(1),PL-4(1).2,,,,,,,,
PL-4,PL-4.1,,,,,,,,
PL-4,PL-4.2,,,,,,,,
PL-4,PL-4.3,,,,,,,,
PL-4,PL-4.4,,,,,,,,
PL-4,PL-4.5,,,,,,,,
PL-4,PL-4.6,,,,,,,,
PL-8,,,,,CIS Safeguard 12.2,,,,
PL-8,,,,,CIS Safeguard 12.4,,,,
PL-8,,,,,CIS Safeguard 16.10,,,,
PL-8,PL-8.1,,,,,,,,
PL-8,PL-8.2,,,,,,,,
PL-8,PL-8.3,,,,,,,,
PL-8,PL-8.4,,,,,,,,
PL-8,PL-8.5,,,,,,,,
PL-8,PL-8.6,,,,,,,,
PL-8,PL-8.7,,,,,,,,
PL-8,PL-8.8,,,,,,,,
PL-8,PL-8.9,,,,,,,,
PM-1,,,,,,,ISM-0714,,
PM-2,,,,,,,ISM-0714,,
PM-3,,,,,,,ISM-0726,,
PM-7,,,,,,,ISM-0726,,
PM-9,,,,,,,ISM-0726,,
PM-9,,,,,,,ISM-1786,,
PM-9,,,,,,,ISM-1785,,
PM-9,,,,,,,ISM-1452,,
PM-10,,,,,,,ISM-0726,,
PM-11,,,,,,,ISM-0720,,
PM-11,,,,,,,ISM-0039,,
PM-13,,,,,,,ISM-0252,,
PM-13,,,,,,,ISM-0229,,
PM-13,,,,,,,ISM-0230,,
PM-13,,,,,,,ISM-1565,,
PM-13,,,,,CIS Safeguard 14.1,,,,
PM-17,,,,,CIS Safeguard 15.3,,,,
PM-30,,,,,CIS Safeguard 15.2,,,,
PM-30(1),,,,,CIS Safeguard 15.1,,,,
PM-5,,,,,CIS Safeguard 1.1,,,,
PM-5,,,,,CIS Safeguard 12.4,,,,
PM-5,,,,,,,ISM-0336,,
PM-5,,,,,,,ISM-1493,,
PM-5,,,,,,,ISM-1643,,
PM-5(1),,,,,CIS Safeguard 3.2,,,,
PM-7,,,,,CIS Safeguard 12.2,,,,
RA-1,,,,,CIS Safeguard 16.2,,,,
RA-1,RA-1.1,,,,,,,,
RA-1,RA-1.10,,,,,,,,
RA-1,RA-1.2,,,,,,,,
RA-1,RA-1.3,,,,,,,,
RA-1,RA-1.4,,,,,,,,
RA-1,RA-1.5,,,,,,,,
RA-1,RA-1.6,,,,,,,,
RA-1,RA-1.7,,,,,,,,
RA-1,RA-1.8,,,,,,,,
RA-1,RA-1.9,,,,,,,,
RA-2,,,,,CIS Safeguard 3.2,B3.A: Understanding Data,,,
RA-2,,,,,CIS Safeguard 3.2,A3.A: Asset Management,,,
RA-2,,,,,CIS Safeguard 3.7,,,,
RA-2,,,,,,,ISM-1452,,
RA-2,RA-2.1,,,,,,,,
RA-2,RA-2.2,,,,,,,,
RA-2,RA-2.3,,,,,,,,
RA-3,,,,,,,ISM-1452,,
RA-3,,,,,,,ISM-1563,,
RA-3,RA-3.1,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.2,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.3,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.4,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.5,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.6,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.7,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.8,RM.2.141,3.11.1,,,,,,
RA-3,RA-3.9,RM.2.141,3.11.1,,,,,,
RA-5(2),,,,,CIS Safeguard 7.7,,,,
RA-5(2),RA-5(2).1,,,,,,,,
RA-5(2),RA-5(2).2,,,,,,,,
RA-5(4),RA-5(4).1,,,,,,,,
RA-5(4),RA-5(4).2,,,,,,,,
RA-5(4),RA-5(4).3,,,,,,,,
RA-5(5),RA-5(5).1,RM.2.142,3.11.2,,,,,,
RA-5(5),RA-5(5).2,RM.2.142,3.11.2,,,,,,
RA-5(5),RA-5(5).3,RM.2.142,3.11.2,,,,,,
RA-5,,,,,CIS Safeguard 7.1,B4.D: Vulnerability Management,,,
RA-5,,,,,CIS Safeguard 7.1,B1.A: Policy and Process Development,,,
RA-5,,,,,CIS Safeguard 7.2,,,,
RA-5,,,,,CIS Safeguard 7.3,,,,
RA-5,,,,,CIS Safeguard 7.4,,,,
RA-5,,,,,CIS Safeguard 7.5,,,,
RA-5,,,,,CIS Safeguard 7.6,,,,
RA-5,,,,,CIS Safeguard 7.7,,,,
RA-5,,,,,CIS Safeguard 16.2,,,,
RA-5,,,,,CIS Safeguard 16.6,,,,
RA-5,,,,,,,ISM-1808,Patch Applications - ISM-1808,
RA-5,,,,,,,ISM-1698,Patch Applications - ISM-1698,
RA-5,,,,,,,ISM-1699,Patch Applications - ISM-1699,
RA-5,,,,,,,ISM-1807,Patch Applications - ISM-1807,
RA-5,,,,,,,ISM-1700,Patch Applications - ISM-1700,
RA-5,,,,,,,ISM-1701,Patch Operating Systems - ISM-1701,
RA-5,,,,,,,ISM-1702,Patch Operating Systems - ISM-1702,
RA-5,,,,,,,ISM-1703,,
RA-5,,,,,,,ISM-1757,,
RA-5,,,,,,,ISM-1752,,
RA-5,,,,,,,ISM-1563,,
RA-5,RA-5.1,RM.2.142,3.11.2,Vulnerability Assessments,,,,,
RA-5,RA-5.10,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.11,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.2,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.3,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.4,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.5,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.6,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.7,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.8,RM.2.142,3.11.2,,,,,,
RA-5,RA-5.9,RM.2.142,3.11.2,,,,,,
RA-7,,,,,CIS Safeguard 7.3,,,,
RA-7,,,,,CIS Safeguard 7.4,,,,
RA-7,,,,,CIS Safeguard 7.7,,,,
RA-7,,,,,CIS Safeguard 16.2,,,,
SC-1,SC-1.1,,,,,,,,
SC-1,SC-1.10,,,,,,,,
SC-1,SC-1.2,,,,,,,,
SC-1,SC-1.3,,,,,,,,
SC-1,SC-1.4,,,,,,,,
SC-1,SC-1.5,,,,,,,,
SC-1,SC-1.6,,,,,,,,
SC-1,SC-1.7,,,,,,,,
SC-1,SC-1.8,,,,,,,,
SC-1,SC-1.9,,,,,,,,
SC-10,SC-10.1,SC.3.186,3.13.9,,,,,,
SC-10,SC-10.2,SC.3.186,3.13.9,,,,,,
SC-11,,,,,,,ISM-1085,,
SC-11,,,,,,,ISM-1781,,
SC-12(1),SC-12(1).1,,,,,,,,
SC-12,,,,,,,ISM-0232,,
SC-12,,,,,,,ISM-0869,,
SC-12,,,,,,,ISM-1085,,
SC-12,,,,,,,ISM-1781,,
SC-12,SC-12.1,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.10,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.11,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.12,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.13,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.14,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.15,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.2,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.3,SC.3.187,3.13.10,,,,,,
SC-12,SC-12.4,SC.3.187,3.13.10,,,,"ISM-0232,ISM-0869,ISM-1085,ISM-1781",,
SC-12,SC-12.5,SC.3.187,3.13.10,,,,"ISM-0232,ISM-0869,ISM-1085,ISM-1781",,
SC-12,SC-12.6,SC.3.187,3.13.10,,,,"ISM-0232,ISM-0869,ISM-1085,ISM-1781",,
SC-12,SC-12.7,SC.3.187,3.13.10,,,,"ISM-0232,ISM-0869,ISM-1085,ISM-1781",,
SC-12,SC-12.8,SC.3.187,3.13.10,,,,"ISM-0232,ISM-0869,ISM-1085,ISM-1781",,
SC-12,SC-12.9,SC.3.187,3.13.10,,,,"ISM-0232,ISM-0869,ISM-1085,ISM-1781",,
SC-13,SC-13.1,SC.3.177,3.13.11,,,,,,
SC-13,SC-13.2,SC.3.177,3.13.11,,,,,,
SC-15,SC-15.1,SC.2.178,3.13.12,,,,,,
SC-15,SC-15.2,SC.2.178,3.13.12,,,,,,
SC-15,SC-15.3,SC.2.178,3.13.12,,,,,,
SC-16,,,,,,,ISM-1598,,
SC-17,SC-17.1,,,,,,,,
SC-17,SC-17.2,,,,,,,,
SC-18,,,,,CIS Safeguard 9.1,,,,
SC-18,,,,,CIS Safeguard 9.4,,,,
SC-18,SC-18.1,SC.3.188,3.13.13,,,,,,
SC-18,SC-18.2,SC.3.188,3.13.13,,,,,,
SC-18,SC-18.3,SC.3.188,3.13.13,,,,,,
SC-18,SC-18.4,SC.3.188,3.13.13,,,,,,
SC-18,SC-18.5,SC.3.188,3.13.13,,,,,,
SC-18,SC-18.6,SC.3.188,3.13.13,,,,,,
SC-2,SC-2.1,SC.3.181,3.13.3,,,,,,
SC-20,,,,,CIS Safeguard 4.9,,,,
SC-20,SC-20.1,,,,,,,,
SC-20,SC-20.2,,,,,,,,
SC-20,SC-20.3,,,,,,,,
SC-20,SC-20.4,,,,,,,,
SC-21,SC-21.1,,,,,,,,
SC-21,SC-21.2,,,,,,,,
SC-21,SC-21.3,,,,,,,,
SC-21,SC-21.4,,,,,,,,
SC-22,SC-22.1,,,,,,,,
SC-22,SC-22.2,,,,,,,,
SC-23,,,,,CIS Safeguard 12.3,B4.C: Secure Management,,,
SC-23,,,,,CIS Safeguard 12.6,,,,
SC-23,SC-23.1,SC.3.190,3.13.15,,,,,,
SC-24,SC-24.1,,,,,,,,
SC-24,SC-24.2,,,,,,,,
SC-24,SC-24.3,,,,,,,,
