fisma,rmf,cmmc,dfars,omb,cis,caf,ism,e8,aescsf
,,,,,,,ISM-1815,Application Control - ISM-1815,
,,,,,,,ISM-1815,Configure Microsoft Office Macro Settings - ISM-1815,
,,,,,,,ISM-1815,Multi-Factor Authentication - ISM-1815,
,,,,,,,ISM-1507,Restrict Administrative Privileges - ISM-1651,
AC-1,AC-1.4,,,,,,,,
AC-1,,,,,CIS Safeguard 6.1,B2.D: Identity and Access Management (IdAM),,,
AC-1,,,,,CIS Safeguard 6.2,,,,
AC-1,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-1,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-1,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-1,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-1,,,,,,,ISM-0414,,
AC-1,,,,,,,ISM-0405,,
AC-1,,,,,,,ISM-0430,,
AC-1,,,,,,,ISM-1591,,
AC-1,AC-1.9,,,,,,,,
AC-1,AC-1.5,,,,,,,,
AC-1,AC-1.1,,,,,,,,
AC-1,AC-1.2,,,,,,,,
AC-1,AC-1.6,,,,,,,,
AC-1,AC-1.7,,,,,,,,
AC-1,AC-1.10,,,,,,,,
AC-1,AC-1.9,,,,,,,,
AC-1,AC-1.12,,,,,,,,
AC-10,,,,,,,ISM-1181,,
AC-10,,,,,,,ISM-1577,,
AC-10,AC-10.1,,,,,,,,
AC-10,AC-10.2,,,,,,,,
AC-10,AC-10.3,,,,,,,,
AC-11,,AC.2.010,3.1.10,,CIS Safeguard 4.3,,ISM-0414,,
AC-11,AC-11.2,,,,,,,,
AC-11,AC-11.3,,,,,,,,
AC-11,AC-11.4,,,,,,,,
AC-11(1),AC-11(1).1,AC.2.010,3.1.10,,CIS Safeguard 4.3,,,,
AC-12,,,,,CIS Safeguard 4.3,,ISM-0414,,
AC-12,AC-12.1,AC.3.019,3.1.11,,,,,,
AC-12,AC-12.2,AC.3.019,3.1.11,,,,,,
AC-14,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-14,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-14,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-14,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-14,,,,,,,ISM-0414,,
AC-14,AC-14.1,,,,,,,,
AC-14,AC-14.2,,,,,,,,
AC-16,,,,,,,,,
AC-17,,,,,CIS Safeguard 12.7,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-17,,,,,CIS Safeguard 13.5,,,,
AC-17,AC-17.1,AC.2.013,,,,,,,
AC-17,AC-17.2,AC.2.013,,,,,,,
AC-17,AC-17.3,,,,CIS Safeguard 12.8,B2.C: Privileged User Management,,,
AC-17,AC-17.3,AC.2.013,,,CIS Safeguard 12.8,B2.B: Device Management,,,
AC-17,AC-17.4,AC.2.013,,,,,,,
AC-17,AC-17.5,AC.2.013,,,,,,,
AC-17(1),,,,,CIS Safeguard 12.7,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-17(1),,,,,CIS Safeguard 13.5,,,,
AC-17(1),AC-17(1).1,AC.2.013,3.1.12,,,,,,
AC-17(1),AC-17(1).2,AC.2.013,3.1.12,,,,,,
AC-17(2),,,,,CIS Safeguard 3.10,B3.B: Data in Transit,,,
AC-17(2),AC-17(2).1,AC.3.014,3.1.13,,,,,,
AC-17(2),AC-17(2).2,AC.3.014,3.1.13,,,,,,
AC-17(3),,,,,CIS Safeguard 12.7,,,,
AC-17(3),AC-17(3).1,AC.2.015,3.1.14,,,,,,
AC-17(3),AC-17(3).2,AC.2.015,3.1.14,,,,,,
AC-17(3),AC-17(3).3,AC.2.015,3.1.14,,,,,,
AC-17(4),AC-17(4).1,AC.3.021,3.1.15,,,,,,
AC-17(4),AC-17(4).2,AC.3.021,3.1.15,,,,,,
AC-17(4),AC-17(4).3,AC.3.021,3.1.15,,,,,,
AC-17(4),AC-17(4).4,AC.3.021,3.1.15,,,,,,
AC-17(4),AC-17(4).5,AC.3.021,3.1.15,,,,,,
AC-17(4),AC-17(4).6,AC.3.021,3.1.15,,,,,,
AC-18(1),,,,,CIS Safeguard 4.2,,,,
AC-18(1),AC-18(1).1,AC.3.012,3.1.17,,,,,,
AC-18(1),AC-18(1).2,AC.3.012,3.1.17,,,,,,
AC-18(3),AC-18(3).1,,,,CIS Safeguard 4.2,,,,
AC-18(4),AC-18(4).1,,,,,,,,
AC-18(5),AC-18(5).1,,,,,,,,
AC-18,,,,,CIS Safeguard 4.2,B4.B: Secure Configuration,,,
AC-18,,,,,CIS Safeguard 12.6,,,,
AC-18,AC-18.1,AC.2.011,3.1.16,,,,,,
AC-18,AC-18.2,AC.2.011,3.1.16,,,,,,
AC-18,AC-18.3,AC.2.011,3.1.16,,,,,,
AC-18,AC-18.4,AC.2.011,3.1.16,,,,,,
AC-19(5),,,,,CIS Safeguard 4.12,B3.D: Mobile Data,,,
AC-19(5),AC-19(5).1,AC.3.022,3.1.19,,,,,,
AC-19(5),AC-19(5).2,AC.3.022,3.1.19,,,,,,
AC-19(5),AC-19(5).3,AC.3.022,3.1.19,,,,,,
AC-19,,,,,CIS Safeguard 4.10,,,,
AC-19,,,,,CIS Safeguard 4.11,B3.D: Mobile Data,,,
AC-19,,,,,CIS Safeguard 6.4,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-19,,,,,,,ISM-0414,,
AC-19,AC-19.1,AC.3.020,3.1.18,,,,,,
AC-19,AC-19.2,AC.3.020,3.1.18,,,,,,
AC-19,AC-19.3,AC.3.020,3.1.18,,,,,,
AC-19,AC-19.4,AC.3.020,3.1.18,,,,,,
AC-19,AC-19.5,AC.3.020,3.1.18,,,,,,
AC-2(1),,,,,CIS Safeguard 5.6,,,,
AC-2(1),,,,,CIS Safeguard 6.1,,,,
AC-2(1),,,,,CIS Safeguard 6.2,,,,
AC-2(1),,,,,CIS Safeguard 6.7,,,,
AC-2(1),,,,,CIS Safeguard 12.5,,,,
AC-2(1),AC-2(1).1,,,,,,,,
AC-2(11),AC-2(11).1,,,,,,,,
AC-2(11),AC-2(11).2,,,,,,,,
AC-2(11),AC-2(11).3,,,,,,,,
AC-2(12),AC-2(12).1,,,,,,,,
AC-2(12),AC-2(12).2,,,,,,,,
AC-2(12),AC-2(12).3,,,,,,,,
AC-2(12),AC-2(12).4,,,,,,,,
AC-2(13),AC-2(13).1,,,,,,,,
AC-2(13),AC-2(13).2,,,,,,,,
AC-2(2),AC-2(2).1,,,,,,,,
AC-2(2),AC-2(2).2,,,,,,,,
AC-2(2),AC-2(2).3,,,,,,,,
AC-2(2),AC-2(2).4,,,,,,,,
AC-2(3),,,,,CIS Safeguard 5.3,,,,
AC-2(3),AC-2(3).1,,,,,,,,
AC-2(3),AC-2(3).2,,,,,,,,
AC-2(4),AC-2(4).1,,,,,,,,
AC-2(4),AC-2(4).10,,,,,,,,
AC-2(4),AC-2(4).11,,,,,,,,
AC-2(4),AC-2(4).2,,,,,,,,
AC-2(4),AC-2(4).3,,,,,,,,
AC-2(4),AC-2(4).4,,,,,,,,
AC-2(4),AC-2(4).5,,,,,,,,
AC-2(4),AC-2(4).6,,,,,,,,
AC-2(4),AC-2(4).7,,,,,,,,
AC-2(4),AC-2(4).8,,,,,,,,
AC-2(4),AC-2(4).9,,,,,,,,
AC-2(5),,,,,CIS Safeguard 4.3,,,,
AC-2(5),AC-2(5).1,,,,,,,,
AC-2(5),AC-2(5).2,,,,,,,,
AC-2(5),AC-2(5).3,,,,,,,,
AC-2,,,,,CIS Safeguard 5.1,B2.C: Privileged User Management,,,
AC-2,,,,,CIS Safeguard 5.5,,,,
AC-2,,,,,CIS Safeguard 6.1,B2.D: Identity and Access Management (IdAM),,,
AC-2,,,,,CIS Safeguard 6.2,,,,
AC-2,,,,,CIS Safeguard 6.8,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-2,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-2,,,,,,,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-2,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-2,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-2,,,,,,,ISM-0414,,
AC-2,,,,,,,ISM-0405,,
AC-2,,,,,,,ISM-0430,,
AC-2,,,,,,,ISM-1591,,
AC-2,,,,,,,ISM-1714,,
AC-2,,,,,,,ISM-1509,Restrict Administrative Privileges - ISM-1509,
AC-2,,,,,,,ISM-1650,Restrict Administrative Privileges - ISM-1650,
AC-2,,,,,,,ISM-1613,,
AC-2,AC-2.1,AC.1.001,3.1.1,Identity and Credential Management,,,,,
AC-2,AC-2.10,AC.1.001,3.1.1,Administrative,,,,,
AC-2,AC-2.11,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.12,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.13,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.14,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.15,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.16,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.17,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.18,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.19,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.2,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.20,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.21,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.22,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.23,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.24,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.3,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.4,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.5,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.6,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.7,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.8,AC.1.001,3.1.1,,,,,,
AC-2,AC-2.9,AC.1.001,3.1.1,,,,,,
AC-20(1),,,,,CIS Safeguard 15.3,,,,
AC-20(1),,,,,CIS Safeguard 15.5,,,,
AC-20(1),AC-20(1).1,AC.1.003,3.1.20,,,,,,
AC-20(1),AC-20(1).2,AC.1.003,3.1.20,,,,,,
AC-20(1),AC-20(1).3,AC.1.003,3.1.20,,,,,,
AC-20(1),AC-20(1).4,AC.1.003,3.1.20,,,,,,
AC-20(1),AC-20(1).5,AC.1.003,3.1.20,,,,,,
AC-20(2),AC-20(2).1,AC.2.006,3.1.21,,CIS Safeguard 15.3,,,,
AC-20,,,,,CIS Safeguard 4.11,B3.D: Mobile Data,,,
AC-20,,,,,CIS Safeguard 15.2,A4.A: Supply Chain,,,
AC-20,AC-20.1,AC.1.003,3.1.20,,,,,,
AC-20,AC-20.2,AC.1.003,3.1.20,,,,,,
AC-21,,,,,CIS Safeguard 15.2,A4.A: Supply Chain,,,
AC-21,AC-21.1,,,,,,,,
AC-21,AC-21.2,,,,,,,,
AC-21,AC-21.3,,,,,,,,
AC-21,AC-21.4,,,,,,,,
AC-22,,,,,CIS Safeguard 14.5,,,,
AC-22,AC-22.1,AC.1.004,3.1.22,,,,,,
AC-22,AC-22.2,AC.1.004,3.1.22,,,,,,
AC-22,AC-22.3,AC.1.004,3.1.22,,,,,,
AC-22,AC-22.4,AC.1.004,3.1.22,,,,,,
AC-22,AC-22.5,AC.1.004,3.1.22,,,,,,
AC-22,AC-22.6,AC.1.004,3.1.22,,,,,,
AC-24,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-24,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-24,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-24,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-24,,,,,,,ISM-0414,,
AC-3,,,,,CIS Safeguard 3.3,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-3,,,,,CIS Safeguard 3.3,B3.A: Understanding Data,,,
AC-3,,,,,CIS Safeguard 6.7,,,,
AC-3,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-3,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-3,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-3,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-3,,,,,,,ISM-0414,,
AC-3,AC-3.1,AC.1.002,3.1.2,Administrative,,,,,
AC-4(4),AC-4(4).1,,,,,,,,
AC-4(4),AC-4(4).2,,,,,,,,
AC-4,,,,,CIS Safeguard 3.8,B3.A: Understanding Data,,,
AC-4,,,,,,,ISM-1181,,
AC-4,,,,,,,ISM-1577,,
AC-4,,,,,,,ISM-1213,,
AC-4,AC-4.1,AC.2.016,3.1.3,,,,,,
AC-4,AC-4.2,AC.2.016,3.1.3,,,,,,
AC-4,AC-4.3,AC.2.016,3.1.3,,,,,,
AC-4,AC-4.4,AC.2.016,3.1.3,,,,,,
AC-4,AC-4.5,AC.2.016,3.1.3,,,,,,
AC-4,AC-4.6,AC.2.016,3.1.3,,,,,,
AC-5,,,,,CIS Safeguard 3.3,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-5,,,,,CIS Safeguard 3.3,B3.A: Understanding Data,,,
AC-5,,,,,CIS Safeguard 6.8,,,,
AC-5,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-5,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-5,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-5,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-5,AC-5.1,AC.3.017,3.1.4,,,,,,
AC-5,AC-5.2,AC.3.017,3.1.4,,,,,,
AC-5,AC-5.3,AC.3.017,3.1.4,,,,,,
AC-5,AC-5.4,AC.3.017,3.1.4,,,,,,
AC-6(1),,,,,CIS Safeguard 6.8,,,,
AC-6(1),AC-6(1).1,AC.2.007,3.1.5,,,,,,
AC-6(1),AC-6(1).2,AC.2.007,3.1.5,,,,,,
AC-6(1),AC-6(1).3,AC.2.007,3.1.5,,,,,,
AC-6(1),AC-6(1).4,AC.2.007,3.1.5,,,,,,
AC-6(10),AC-6(10).1,AC.3.018,3.1.7,,,,,,
AC-6(2),,,,,CIS Safeguard 5.4,,,,
,,AC.2.008,,,,,ISM-1508,,
,,AC.2.008,,,,,ISM-1566,,
,,AC.2.008,,,,,ISM-1714,,
AC-6(2),AC-6(2).1,AC.2.008,3.1.6,,,B2.C: Privileged User Management,,,
AC-6(2),AC-6(2).2,AC.2.008,3.1.6,,,,,,
AC-6(3),AC-6(3).1,,,,,,,,
AC-6(3),AC-6(3).2,,,,,,,,
AC-6(3),AC-6(3).3,,,,,,,,
AC-6(3),AC-6(3).4,,,,,,,,
AC-6(5),,,,,CIS Safeguard 5.4,,,,
AC-6(5),AC-6(5).1,AC.2.007,3.1.5,,,,,,
AC-6(5),AC-6(5).2,AC.2.007,3.1.5,,,,,,
AC-6(7),,,,,CIS Safeguard 6.8,,,,
AC-6(7),AC-6(7).1,,,,,,,,
AC-6(7),AC-6(7).2,,,,,,,,
AC-6(7),AC-6(7).3,,,,,,,,
AC-6(7),AC-6(7).4,,,,,,,,
AC-6(9),AC-6(9).1,AC.3.018,3.1.7,,CIS Safeguard 3.14,,,,
AC-6,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-6,,,,,CIS Safeguard 3.3,"B2.A: Identity Verification, Authentication and Authorisation",,,
AC-6,,,,,CIS Safeguard 3.3,B3.A: Understanding Data,,,
AC-6,,,,,CIS Safeguard 6.8,,,,
AC-6,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-6,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-6,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-6,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-6,AC-6.1,AC.2.007,3.1.5,,,,,,
AC-7,,,,,CIS Safeguard 4.10,,,,
AC-7,,,,,,,ISM-0414,,
AC-7,AC-7.1,AC.2.009,3.1.8,,,,,,
AC-7,AC-7.2,AC.2.009,3.1.8,,,,,,
AC-7,AC-7.3,AC.2.009,3.1.8,,,,,,
AC-7,AC-7.4,AC.2.009,3.1.8,,,,,,
AC-7,AC-7.5,AC.2.009,3.1.8,,,,,,
AC-7,AC-7.6,AC.2.009,3.1.8,,,,,,
AC-8,,,,,,,ISM-0414,,
AC-8,AC-8.1,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.10,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.11,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.12,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.13,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.2,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.3,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.4,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.5,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.6,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.7,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.8,AC.2.005,3.1.9,,,,,,
AC-8,AC-8.9,AC.2.005,3.1.9,,,,,,
AC-9,,,,,,,ISM-0414,,
CA-1,CA-1.1,,,,,,,,
CA-1,CA-1.10,,,,,,,,
CA-1,CA-1.2,,,,,,,,
CA-1,CA-1.3,,,,,,,,
CA-1,CA-1.4,,,,,,,,
CA-1,CA-1.5,,,,,,,,
CA-1,CA-1.6,,,,,,,,
CA-1,CA-1.7,,,,,,,,
CA-1,CA-1.8,,,,,,,,
CA-1,CA-1.9,,,,,,,,
CA-2(1),CA-2(1).1,,,,,,,,
CA-2(1),CA-2(1).2,,,,,,,,
CA-2(2),CA-2(2).1,,,,,,,,
CA-2(2),CA-2(2).2,,,,,,,,
CA-2(2),CA-2(2).3,,,,,,,,
CA-2(2),CA-2(2).4,,,,,,,,
CA-2(2),CA-2(2).5,,,,,,,,
CA-2,,,,,,,ISM-1563,,
CA-2,CA-2.1,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.10,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.2,CA.2.157,3.12.4,,,,,,
