name,description,icon,code
Guidelines for Cyber Security Roles,"Offers strategic guidance on roles and responsibilities at a technical and soft skill level for this within the information technology, business acumen, leadership, communication and relationship space.",,SR
Guidelines for Cyber Security Incidents,"Organised strategic approach to detecting and managing cyber attacks in a way that minimizes damage including reputational, recovery time and total costs",,SI
Guidelines for Procurement and Outsourcing,"Risk management approach to the procurement and acceptance of IT equipment, services and solutions including supply chain considerations and timing",,PO
Guidelines for Security Documentation,"Specification of documented artifacts to drive, support and monitor security strategies and execution within an organisation",,SD
Guidelines for Physical Security,Application of defence-in-depth principles for the protection of systems enhanced through the use of physical controls,,PS
Guidelines for Personnel Security,Outlines continous educational requirements for all government personnel including contractors and volunteers to assist with understanding of their security responsibilities,,PerSec
Guidelines for Communications Infrastructure,Recommended approach for the installation and maintenance of required services within facilities located on Australian soil,,CI
Guidelines for Communications Systems,Identifies techniques and procedures for the maintenance and management of communication infrastructure and services supporting operational outcomes,,CS
Guidelines for Enterprise Mobility,"Guidance on implementation, maintenace and use of mobile devices for official government purposes on Australian and Foriegn soil",,EM
Guidelines for Evaluated Products,Sets forth recommendations for the selection and implementation of Evaluated Products identified through Common Criteria or the Evaluated Product Listing,,EP
Guidelines for ICT Equipment,Recommended practical approach to lifecycle management of the physcial ICT Equipment,,ICTE
Guidelines for Media,Focused guidance on the management and maintenance of volatile and non volatile media,,ME
Guidelines for System Hardening,"Recommended approach to tools technqiues and prefernital practices to reducing vulnerability in technology, applications, systems, infrastructure, firmware and other areas. ",,SH
Guidelines for System Management,Guided administration management of information management systems in the enterprise network to facilitate secure delivery of IT Services,,SM
Guidelines for System Monitoring,"Provides practical guidance on keeping track of performance, availability, monitoring and other key metrics of an information technology system  ",,SMON
Guidelines for Software Development,"Provides key frameworks for developing software in a structured, systematic and efficient manner",,SDev
Guidelines for Database Systems,"Outlines key factors for the desiging, implementing, and managing of databases in a structured manner",,DS
Guidelines for Email,"Framework for using email in a official capacity including covering aspects such as email etiquette, email security, email retention, and email management. ",,EM
Guidelines for Networking,"Recommended approach for the implementation for network topology, network protocols, network security, network performance, and network management",,NE
Guidelines for Cryptography,"Considerations when applying cryptographic techniques covering encryption algorithms, key management, cryptographic protocols, and cryptographic implementations. ",,CRYPT
Guidelines for Gateways,"Key objectives when designing, implementing, and managing gateways that facilitate communication between different networks or devices. ",,GATE
Guidelines for Data Transfers,"Applied techniques and considerations for transferring data between different systems or devices in a secure, efficient, and compliant manner. ",,DT
