vendor_action,action,change_type,status
installed new VPM Policy File and VPM XML File,modified,policy,success
initiated restart upgrade,modified,reboot,success
packet capture started,modified,configuration,success
packet capture stopped,modified,configuration,success
set system 2 as default,modified,configuration,success
failed,failure,,failure
Accepted,success,,success
