Feature,EventCode,signature,action
Controlled folder access,1124,Audited Controlled folder access event,
Controlled folder access,1128,Audited Controlled folder access sector write block event,blocked
Controlled folder access,1123,Blocked Controlled folder access event,
Controlled folder access,1127,Blocked Controlled folder access sector write block event,blocked
Network protection,1125,Event when Network protection fires in Audit-mode,
Network protection,1126,Event when Network protection fires in Block-mode,blocked
Attack surface reduction,1122,Event when rule fires in Audit-mode,
Attack surface reduction,1121,Event when rule fires in Block-mode,blocked
Network protection,5007,Event when settings are changed,
Controlled folder access,5007,Event when settings are changed,
Attack surface reduction,5007,Event when settings are changed,modified
Connection security rule,2014,Event when a connection security rule is deleted from IPsec settings.,deleted
