vendor_action, definition
@block,Either the default Distil or Custom Block page was served to the user.
@captcha,Either the default Distil or custom CAPTCHA page was served to the user.
@captcha_correct,The user correctly completed a CAPTCHA.
@captcha_incorrect,The user completed a CAPTCHA incorrectly and was then served another CAPTCHA.
@captcha_update_fail,The user correctly completed a CAPTCHA but an internal process failed updating their traffic record. The user was then served another CAPTCHA.
@domain_not_found,The user made a request to a domain that was not configured in the Distil Portal.
@drop,Either the default Distil or Custom Drop page was served to the user.
@error,The user encountered an error generated by Distil. This could be related to an HTTP or TCP timeout.
@force_identify,The user was served the Distil identification page.
@force_ssl,A request was made over HTTP when all traffic should be HTTPS. A 301 redirect to the HTTPS version of the website was served.
@hpl,A request was made to the Distil honeypot link which then triggered violation 32 for a GET request and 65536 for a POST request.
@identify_block,A request was served the Distil identification page. If JavaScript was not running the user was shown the Distil Block page or Custom Block page.
@identify_captcha, A request served the Distil identification page. If JavaScript was not running the user was shown the default Distil or custom CAPTCHA page.
@identify_cookie, A request was made to the Distil identify cookie page which validate that a user was running JavaScript and using a valid cookie (if available).
@identify_drop,A request served the Distil identification page. If JavaScript was not running the user was shown the Distil Drop page or Custom Drop page.
@invalid_domain, The user made a request to an invalid domain.
@js_validate,The user was served the default Distil Validation page or Custom JavaScript Validation page.
@jst,The user was served the full JavaScript test.
@jst_head, The user was served the JavaScript AJAX Token Refresh.
@jst_invalid,The user submitted invalid data in the JavaScript POST that prevents clearing of JavaScript.
@jst_miss,The user made a request to a page that matches the pattern set by the Distil JavaScript URL path however it was no longer an active path.
@jst_post,The user completed the Distil JavaScript test.
@pjst,The user was served the partial JavaScript test.
@proxy,A request was made that was proxied to origin/cache. It was not subject to Distil injections either because it was found to be non-injectable based on Content-Type or was whitelisted.
@proxy_ajax,A request was made that includes the active Distil AJAX tokens disabling injections.
@proxy_inject,A request was made to a page that was subject to Distil's injections.
@test_block,A request was made to the test Block page and the user was served either the default Distil Block page or Custom Block page.
@test_captcha,A request was made to the test CAPTCHA page and the user was served either the default Distil or custom CAPTCHA page.
@test_drop,A request was made to the test Drop page and the user was served either the default Distil Drop page or Custom Drop page.
@test_error,A request was made to the test Error page and the user was served either the default Distil Error or Custom Error page.
@test_js_validate,A request was made to the test JavaScript Validate page and the user was served either the default Distil JavaScript Validation or Custom JavaScript Validation page.
@test_unable_to_identify,A request was made to the test Unable to Identify page and the user was served either the default Distil Unable to Identify page or Custom Unable to Identify page.
@unable_to_identify, Either the default Distil Unable to Identify page or Custom Unable to Identify page was served to the user.
@upstream_not_found,A request was made to Distil however we are unable to find an appropriate upstream to forward the request.
@www_redirect, A request was made to a root domain (e.g. domain.com) and Distil returned a 301 redirect to the the www hostname (e.g. www.domain.com)
