uuid,indicatorName,description
MS.analyticsaggregator::LastActivityStatic,Last Activity Check,"Checks for the last activity to determine if the service is working as expected."
MS.analyticsaggregator::LastActivity,Last Activity Check,"Checks for the last activity to determine if the service instance is working as expected."
indicatorId,name,description
ANL_WRT.analyticswriter::AnalyticsTopicTimeLag,Time Lag on AnalyticsTopic,"Time lag of the instance on AnalyticsTopic"
ANL_WRT.analyticswriter::IRTopicTimeLag,Time Lag on IRTopic,"Time lag of the instance on IRTopic"
ANL_WRT.analyticswriter::epsStaticAnalyticsTopic,EPS on AnalyticsTopic,"Events processed per second by the service on AnalyticsTopic"
ANL_WRT.analyticswriter::eventLagStaticAnalyticsTopic,Event Lag on AnalyticsTopic,"Events waiting to be ingested on AnalyticsTopic"
ANL_WRT.analyticswriter::epsIRTopic,EPS on IRTopic,"Events processed per second by the service on IRTopic"
ANL_WRT.analyticswriter::notIngestedIRTopic,Events dropped from Kafka on IRTopic,"Percentage of events dropped from Kafka on  IRTopic"
ANL_WRT.analyticswriter::notIngestedStaticAnalyticsTopic,Events dropped from Kafka on AnalyticsTopic,"Percentage of events dropped from Kafka on  AnalyticsTopic"
ANL_WRT.analyticswriter::notIngestedAnalyticsTopic,Events dropped from Kafka on AnalyticsTopic,"Percentage of events dropped from Kafka on  AnalyticsTopic"
ANL_WRT.analyticswriter::epsAnalyticsTopic,EPS on AnalyticsTopic,"Events processed per second by the service on AnalyticsTopic"
ANL_WRT.analyticswriter::IRTopictimeLagStatic, Time Lag on IRTopic,"Time lag of  on IRTopic"
ANL_WRT.analyticswriter::AnalyticsTopictimeLagStatic, Time Lag on AnalyticsTopic,"Time lag of  on AnalyticsTopic"
ANL_WRT.analyticswriter::epsStaticIRTopic,EPS on IRTopic,"Events processed per second by the service on IRTopic"
ANL_WRT.analyticswriter::eventLagStaticIRTopic,Event Lag on IRTopic,"Events waiting to be ingested on IRTopic"
ANL_WRT.analyticswriter::notIngestedStaticIRTopic,Events dropped from Kafka on IRTopic,"Percentage of events dropped from Kafka on  IRTopic"
indicatorId,name,description
MS.analyticsviewsbuilder::LastActivityStatic,Last Activity Check,"Checks for the last activity to determine if the service is working as expected."
MS.analyticsviewsbuilder::LastActivity,Last Activity Check,"Checks for the last activity to determine if the service instance is working as expected."
indicatorId,name,description
SML.anomalyaggregationmodel::AnomalyTopicTimeLag,Time Lag on AnomalyTopic,"Time lag of the instance on AnomalyTopic"
SML.anomalyaggregationmodel::epsStaticAnomalyTopic,EPS on AnomalyTopic,"Events processed per second by the service on AnomalyTopic"
SML.anomalyaggregationmodel::epsAnomalyTopic,EPS on AnomalyTopic,"Events processed per second by the service on AnomalyTopic"
SML.anomalyaggregationmodel::eventLagStaticAnomalyTopic,Event Lag on AnomalyTopic,"Events waiting to be ingested on AnomalyTopic"
SML.anomalyaggregationmodel::notIngestedAnomalyTopic,Events dropped from Kafka on AnomalyTopic,"Percentage of events dropped from Kafka on  AnomalyTopic"
SML.anomalyaggregationmodel::AnomalyTopictimeLagStatic, Time Lag on AnomalyTopic,"Time lag of  on AnomalyTopic"
SML.anomalyaggregationmodel::notIngestedStaticAnomalyTopic,Events dropped from Kafka on AnomalyTopic,"Percentage of events dropped from Kafka on  AnomalyTopic"
indicatorId,name,description
SML.deviceexploitchainmodel::notIngestedDeviceTopic,Events dropped from Kafka on DeviceTopic,"Percentage of events dropped from Kafka on  DeviceTopic"
SML.deviceexploitchainmodel::epsStaticDeviceTopic,EPS on DeviceTopic,"Events processed per second by the service on DeviceTopic"
SML.deviceexploitchainmodel::DeviceTopicTimeLag,Time Lag on DeviceTopic,"Time lag of the instance on DeviceTopic"
SML.deviceexploitchainmodel::epsDeviceTopic,EPS on DeviceTopic,"Events processed per second by the service on DeviceTopic"
SML.deviceexploitchainmodel::DeviceTopictimeLagStatic, Time Lag on DeviceTopic,"Time lag of  on DeviceTopic"
