vendor_action,vendor_action_description
CREATE_TRUST,Request to create a new legacy realm.
ADJUDICATOR_FAILOVER,The adjudicator was set to offline mode.
ADJUDICATOR_PROCESS,Attempting to adjudicate an authentication.
ADJUDICATOR_SERVICE_SHUTDOWN,The adjudicator service was shutdown.
ADJUDICATOR_CONFIGURATION,Reloading the adjudicator configuration
ADJUDICATOR_REHOMING,Scheduling a rehoming operation.
ADJUDICATOR_INSTANCE_CONFIGURATION,Attempting to fetch the configuration during a replica add/remove.
UPDATE_AM_PRINCIPAL,Update principal.
ADJUDICATOR_CLOCK_SETBACK,The system time was set back.
ADJUDICATOR_TIME_CHECK,Time check request.
AUTHMGR_BEAN_CONVERT,Copying properties from one object to another.
AUTHMGR_AGENT_READ,View an agent.
AUTHMGR_AGENT_UPDATE,Update an agent.
AUTHMGR_REALM_PREDELETE_AGENT_DELETE,An exception occurred while deleting agents as part of a realm removal.
AUTHMGR_AGENT_LINK_APSLIST,An unexpected exception occurred while modifying the agent/server list association.
SYNC_TOKENS,Synchronize tokens.
FEATURE_LICENSE_CHECK,Checking the product license.
AUTHMGR_SD_PREDELETE_VALIDATION,Attempting to delete a realm that still contains domain objects.
PROCESS_REFERENTIAL_INTEGRITY_MESSAGES,An unexpected exception occurred while checking referential integrity of the database.
TRUSTED_USER_GROUP_CREATE,Create a trusted users group.
TRUSTED_USER_GROUP_UPDATE,Update a trusted users group.
TRUSTED_USER_GROUP_READ,View a trusted users group.
AUTHMGR_HOST_DELETE,Delete a host.
AUTHMGR_APS_DELETE,Delete an Agent Protocol Server.
LOCATE_SMS_AUTHENTICATOR_COUNT,Get number of on demand tokencode users.
GET_REG_USERS,Get number of registered users.
LOCATE_REALM_DEFAULT_OA_POLICY,Get default offline authentication policy for the realm.
CREATE_REALM,Create a new realm.
LOCATE_REALM_DEFAULT_TOKEN_POLICY,Get a realm's default token authentication policy.
READ_OA_POLICY,Read offline authentication policy applying to a principal.
CREATE_AM_PRINCIPAL,Create Authentication Manager User.
AUTHMGR_TRUST_PREDELETE_VALIDATION,Attempting to delete a trust that still contains remote principals.
REMOTE_PRINCIPAL_READ,View a remote principal.
AUTHMGR_APS_LIST_CONFIG_READ,Trying to read agent protocol server lists.
AUTHMGR_APS_LIST_UPDATE,Refreshing the agent protocol server list.
READ_SERVER_LIST,Attempting to read server list.
AUTHMGR_APS_SYNCHRONIZATION,Agent protocol server synchronization.
PROCESS_REFERENTIAL_INTEGRITY_MESSAGES,Processing a referential integrity message.
IMPORT_TOKEN,Importing tokens.
EXPORT_SOFT_TOKEN,Export a software token.
READ_AM_TOKEN_EMERGENCY_ACCESS_INFO,Read Tokens offline authentication policy.
UPDATE_AM_TOKEN_OFFLINE_EMERGENCY_ACCESS_INFO,Updating the token's offline authentication policy.
AM_LINK_TOKEN_PRINCIPAL,Attempting to assign a token to a user.
AUTHMGR_REALM_PREDELETE_TOKEN_DELETE,Attempting to delete the token in order to delete the security domain.
ARCHIVE_LOG,Attempting to perform a log archive batch job.
AGENT_REQUEST_HANDLE,Attempting to retransmit data.
AGENT_RESPONSE_SEND,Attempting to send the response.
READ_TOKEN,Attempting to read the principal's tokens.
READ_REPLACEMENT_TOKEN,Attempting to find a replacement token.
READ_AGENT,Trying to lookup an agent.
AUTHMGR_AGENT_UPDATE,Attempting to update an agent.
READ_AGENT_ACTIVATED_GROUPS,Attempting to get agents activated for a group.
READ_TOKEN_POLICY,Retrieving the token policy for a principal.
READ_AM_PRINCIPAL,Attempting to view the principal.
READ_OA_POLICY,Attempting to search for the principal's offline authentication policy.
READ_SERVER_CONFIG,Attempting to retrieve the server's configuration.
LICENSE_CHECK,Checking product license.
VALIDATE_PASSCODE,Attempting to authenticate via SecurID.
VALIDATE_NEW_STATIC_PASSCODE,Attempting to authenticate with a static passcode.
VALIDATE_NEW_PIN,Attempting to validate the user supplied new pin.
VALIDATE_NEXT_TOKENCODE,Attempting to validate the second tokencode during authentication.
READ_AM_PRINCIPAL,Looking up the principal during a SecurID authentication.
ON_DEMAND_LOGIN_FAILURE,An unexpected exception occurred while processing an On-Demand authentication.
AUTH_AGENT_LOOKUP,Agent lookup while attempting to authenticate.
AUTHMGR_SERVER_STARTUP,Starting the Authentication Manager server.
OA_SERVER_START,Starting the offline authentication server.
TCP_SERVER_SHUTDOWN,The tcp server was stopped.
CONNECTION_ERROR,A connection request was rejected due to a connection error.
TCP_SERVER_STARTUP,The tcp server was started.
APS_SERVER_START,The agent protocol server was started.
UDP_SERVER_SHUTDOWN,The udp server was stopped.
UDP_SERVER_STARTUP,The udp server was started.
READ_GROUP,Looking up group.
LOOKUP_OBJECT,Looking up object.
SESSION_CREATE,Creating a new session.
CTKIP_SERVICE_PROCESS_REQUEST,Processing CTKIP request.
AUTHMGR_BEAN_CONVERT,Copying properties from one object to another during migration.
CREATE_RADIUS_SERVER,An unexpected datastore exception occurred while attempting to create a RADIUS server.
CREATE_RADIUS_CLIENT,License check failed while creating a radius client.
CREATE_RADIUS_POLICY,License check failed while creating a radius policy.
CREATE_RADIUS_PROFILE,License check failed while creating a radius profile.
DELETE_RADIUS_SERVER,License check failed while deleting a radius server.
DELETE_RADIUS_CLIENT,License check failed while creating a radius client.
DELETE_RADIUS_POLICY,License check failed while creating a radius policy.
DELETE_RADIUS_PROFILE,License check failed while creating a radius profile.
LIST_RADIUS_CLIENTS_STATS,License check failed while fetching radius client statistics.
CREATE_RADIUS_PROFILE,License check failed while getting a list of all radius attributes.
LIST_RADIUS_SERVER_STATS,License check failed while getting systemwide radius statistics.
LINK_RADIUS_CLIENT_AND_AGENT,License check failed while linking an agent to a radius client.
VIEW_RADIUS_SERVER,License check failed while looking up a radius server.
VIEW_RADIUS_CLIENT,License check failed while looking up a radius client.
VIEW_RADIUS_POLICY,License check failed while looking up a radius policy.
VIEW_RADIUS_PROFILE,License check failed while looking up a radius profile.
RADIUS_NOTIFY_REPLICATION_PKG,License check failed while notifying a radius replica about the replica package
RADIUS_PUBLISH_REPLICATION_PKG,License check failed while forcing replication to radius servers.
UPDATE_RADIUS_SERVER,License check failed while updating a radius server.
LINK_RADIUS_PROFILE_WITH_AGENT,License check failed while linking a radius profile with an agent.
LINK_RADIUS_PROFILE_WITH_USER,License check failed while linking a radius profile with a user.
UPDATE_RADIUS_CLIENT,License check failed while updating a radius client.
UPDATE_RADIUS_POLICY,License check failed while updating a radius policy.
UPDATE_RADIUS_PROFILE,License check failed while updating a radius profile.
UPDATE_RADIUS_SERVER,License check failed while updating a radius server.
GENERATE_REPORT,An unexpected exception occurred while generating a report.
ADD_BATCH_JOB,An unexpected exception occurred while trying to start a On-Demand authenticator cleanup batch job.
