vendor_action,vendor_action_description
TR_R_REMOTE_PRINCIPAL_NOT_DISCOVERED,The user could not be discovered on any Trusted Realms.
TR_R_REALM_DISABLED,The remote Trusted Realm is disabled for authentication.
TR_R_LOCAL_REALM_DISABLED,The local realm is disabled for remote authentications.
ACM_NEW_PIN_REJECTED,The remote realm rejected the new pin.
ACM_ACCESS_DENIED,The authentication attempt failed in the remote realm.
AUTH_AGENT_LOOKUP,Agent lookup request.
AUTH_UDP_PACKET_PROCESSING,Processing the authentication packet.
AUTH_LOG_REQUEST,A Log request was sent.
AUTH_UNSUPPORTED_PROTOCOL,An authentication was requested using an unsupported protocol.
AUTH_AGENT_LOG_REQUEST_FAIL,An unexpected exception occurred while processing an agent log request.
AUTH_AGENT_TRUSTED_USER_ACCESS_CHECK,Trusted user does not belong to a trusted user group that has been activated for the agent.
AUTH_AGENT_ACCESS_CHECK,The agent is disabled.
AUTH_NODE_VERIFICATION,Verifying Agents node secret stored on the server is the node secret used to encrypt the packet.
AUTH_PRINCIPAL_RESOLUTION,Verifying trusted user.
AUTH_SESSION_OPEATION_FAILURE,An unexpected exception occurred while retrieving the session data for the second step of an authentication.
AUTH_SECONDARY_SEGMENT_PROCESSING_FAILURE,There was an error while processing the secondary segments of an authentication request.
AUTHMGR_PASSCODE_REUSE,Authentication failed because the passcode had already been used.
AUTOREG_UPDATE_FAILED,Automatically updating agent IPs has been disabled for the realm.
AGENT_AUTO_REG_START,Auto registration was not started on an SSL socket.
AUTOREG_VERIFY_NODESECRET,During agent auto registration the node secret sent by the agent did not match the secret on the server.
AUTOREG_UNASSIGN_IP,Auto registration attempted to register a new agent that has the same IP as a server instance.
AUTOREG_DHCP_ERROR,While looking up an agent as part of auto registration an unrecoverable DHCP configuration error was encountered.
AUTOREG_AGENT_NOT_FOUND,The agent sent a node secret during an auto registration but the agent record could not be found.
AUTO_REG_DUPLICATE_AGENT,Auto registration tried to update an agent that was never used for authentication.
AUTO_REG_DUPLICATE_IP,An agent with no node secret tried to register as a new agent but an existing agent with the same IP was found.
NO_MORE_OTT,The principal trying to authenticate does not have any more one time tokencodes to use.
TFT_EXPIRED,A temporary fixed tokencode was deleted because it had expired.
OTTS_EXPIRED,A one time tokencode was deleted because it had expired.
TOKEN_EXPIRED,Authentication failed because the token had expired.
AUTH_FAILED_BAD_TOKENCODE_GOOD_PIN,Authentication failed because the pin was correct but the tokencode was incorrect.
AUTH_FAILED_BAD_PIN_GOOD_TOKENCODE,Authentication failed because the tokencode was correct but the pin was not.
AUTH_FAILED_BAD_PIN_PREVIOUS_TOKENCODE,Authentication failed because the pin was bad and the tokencode was previously used.
AUTHN_LOGIN_EVENT,User Login event.
AUTHN_LOGOUT_EVENT,User Logout event.
TR_H_AUTHMGR_PIN_CHANGE,Pin change attempt failed.
AUTHMGR_PIN_CHANGE,Pin change attempt failed.
AUTHMGR_SMS_PIN_CHANGE,Pin change attempt failed.
OA_DATA_DOWNLOAD_FAILED,An unexpected exception occurred while attempting to send the agent its offline authentication data.
