eventcode,explanation
AM_RADIUS_CREATE_POLICY,Create a radius policy.
AM_RADIUS_UPDATE_POLICY,Update a radius policy.
AM_RADIUS_VIEW_POLICY,View a radius policy.
AM_RADIUS_DELETE_POLICY,Delete a radius policy.
AM_REPORT_SECDOMAIN_LOOKUP,View the specified security domain while running a report on tokens and users.
AM_REPORT_IDENTITY_LOOKUP,View the specified identity source while running a report on tokens and users.
MANAGE_SMS_AUTHENTICATOR,Manage SMS On-Demand authenticators.
MANAGE_SMS_PIN,Manage SMS On-Demand authentication PINs.
AM_ON_DEMAND_CONFIGURATION_UPDATE,Update SMS On-Demand configuration.
TRANSMIT_TEST_TXT_MSG_SMS,Test On-Demand authentication text message.

