AMOUNT
".01"
".39"
".5"
0
1
"1.5"
10
"10.31"
"10.68"
100
1000
10000
100000
1000000
10000000
100000000
1000000000
10000000000
100000001
100000008
100000009
10000001
1000000100
100000017
10000002
100000029
1000000290
10000003
10000004
1000000500
10000006
10000008
100000080
1000000800
100000083
100000089
10000009
1000001
10000010
100000100
10000011
10000012
100000131
10000014
1000002
10000020
100000200
10000023
100000280
1000003
100000301
10000033
10000038
1000004
10000041
1000005
10000050
1000006
10000062
10000064
100000666
10000068
1000007
1000008
10000080
100000800
10000088
1000009
10000090
100000900
10000096
10000099
100001
1000010
10000100
100001000
10000104
1000011
1000012
10000120
100001200
10000121
10000132
10000135
1000015
10000160
10000177
100002
1000020
10000200
100002000
1000021
10000215
1000022
10000222
100002320
1000025
10000265
100002700
10000274
100003
1000030
10000300
100003000
10000302
10000306
10000320
100003310
100003374
1000035
10000350
10000365
100003700
10000375
1000039
1000040
10000400
100004000
1000040000
1000041
100004104
1000042
1000044
100004400
1000045
1000046
10000462
1000048
100005
1000050
10000500
100005000
1000050000
100005050
1000052
10000526
100005300
10000536
100005485
10000555
100005565
1000056
100006
1000060
100006171
1000062
10000621
10000648
10000666
10000679
1000068
100006898
1000069
10000693
10000700
10000710
1000072
1000074
10000740
100007487
1000075
10000760
1000077
1000078
10000780
10000784
1000079
100008
1000080
10000800
100008000
10000800000
10000808
100008088
10000850
10000878
1000088
10000880
100008800
10000888
1000089
100009
1000090
10000900
100009000
100009219
10000939
1000096
10000986
1000099
10001
100010
1000100
10001000
100010000
1000100000
1000101
100010187
1000102
1000104
1000105
1000108
100010845
1000110
10001100
100011000
1000111
1000115
10001154
1000118
10001190
100012
1000120
100012000
1000120000
1000121
1000123
1000124
10001250
10001255
1000129
100013
10001300
1000131
10001319
1000133
1000137
10001385
10001399
100014
10001400
10001420
10001427
1000144
1000145
100014500
1000147
100014800
10001500
100015000
1000152
10001539
1000155
10001564
1000157
1000159
100016
10001600
10001625
1000166
10001699
100017
1000172
1000176
100017600
1000178
1000180
10001800
100018215
1000184
1000186
1000187
100018781
10001880
10001882
1000189
100019
10001900
1000192
100019370
10001950
100019600
1000197
1000199
10002
100020
1000200
10002000
100020000
10002020
1000203
10002050
1000208
10002086
100021
10002100
10002113
1000212
10002161
1000218
100021900
100022
1000220
10002200
10002203
1000222
100023
1000230
10002300
100023000
10002330
1000236
10002360
100023600
1000239
100024
1000240
100024320
1000244
1000248
100025
1000250
10002500
100025092
1000251
10002567
10002595
100026
10002673
1000268
1000270
10002700
1000270200
1000272
1000277
100027954
100028
1000280
100028000
1000284
1000285
1000288
1000290
1000292
1000293
10002949
10002960
1000299
10003
100030
1000300
10003000
100030000
1000300000
1000301
10003020
1000303
10003080
100031
100031120
1000317
100032
1000320
100032000
10003221
100032800
10003299
100033
1000334
10003360
1000337700
10003389
100034000
1000343
1000350
10003500
100035000
100035480
10003591
100036
1000360
10003600
1000361
1000363
1000365
10003665
1000367
10003700
100037439
10003746
1000377
1000379
100038
1000382
1000383
100038514
10003860
10003875
100038800
100039
10003900
1000396
10004
1000400
10004000
100040000
1000400000
100041
1000410
10004100
10004125
1000418
100041906
10004300
1000440
10004400
100044000
1000441
10004448
10004458
10004459
100045
10004500
1000453
1000454
10004564
10004594
100046
1000460
100046095
1000461
10004672
10004692
100047
1000470
10004700
1000472
1000472500
10004728
100047300
1000474
10004788
100048
10004800
10004875
100048800
100049
1000492
1000496
10004969
10004979
100049828
1000499
10005
100050
1000500
10005000
100050000
1000500000
1000502
100051
1000514
1000518
100051800
100052000
100053000
1000533
10005350
1000536
100054
1000540
10005400
10005419
10005434
1000544
10005490
100055
10005500
1000554
1000558
1000560
10005638
100057
10005700
100057800
100057900
100058
1000580
10005835
1000595
100059500
1000598
10006
100060
1000600
