"LOCAL_DATE"
"01-08-2018"
"01-09-2018"
"02-08-2018"
"02-09-2018"
"03-08-2018"
"03-10-2018"
"04-10-2018"
"05-09-2018"
"05-10-2018"
"06-09-2018"
"06-11-2018"
"07-10-2018"
"07-11-2018"
"08-10-2018"
"08-11-2018"
"08-12-2018"
"09-10-2018"
"09-11-2018"
"09-12-2018"
"10-07-2018"
"10-08-2018"
"10-11-2018"
"10-12-2018"
"11-07-2018"
"11-08-2018"
"11-09-2018"
"11-10-2018"
"11-11-2018"
"12-08-2018"
"12-09-2018"
"12-10-2018"
"13-09-2018"
"13-10-2018"
"13-11-2018"
"13-12-2018"
"14-09-2018"
"14-11-2018"
"14-12-2018"
"15-09-2018"
"15-12-2018"
"16-11-2018"
"16-12-2018"
"17-10-2018"
"17-11-2018"
"17-12-2018"
"18-09-2018"
"18-10-2018"
"18-11-2018"
"18-12-2018"
"19-09-2018"
"19-10-2018"
"19-11-2018"
"20-10-2018"
"20-11-2018"
"20-12-2018"
"21-09-2018"
"21-10-2018"
"21-11-2018"
"21-12-2018"
"22-09-2018"
"22-11-2018"
"22-12-2018"
"23-07-2018"
"23-09-2018"
"23-10-2018"
"23-12-2018"
"24-07-2018"
"24-09-2018"
"24-10-2018"
"24-11-2018"
"25-09-2018"
"25-10-2018"
"25-11-2018"
"26-09-2018"
"26-10-2018"
"26-11-2018"
"26-12-2018"
"27-09-2018"
"27-11-2018"
"27-12-2018"
"28-09-2018"
"28-10-2018"
"28-11-2018"
"28-12-2018"
"29-09-2018"
"29-10-2018"
"30-10-2018"
"30-12-2018"
"31-07-2018"
"31-08-2018"
"31-12-2018"
"LOCAL_DATE"
null
