"RESPONSE_CODE"
0
1
10
11
110
113
115
12
13
14
15
16
17
18
19
2
20
21
22
23
24
25
26
27
28
29
3
30
31
33
34
36
38
39
4
40
41
42
43
44
45
47
5
51
511
513
515
517
52
525
53
54
55
56
57
58
59
6
61
62
63
65
67
68
69
7
70
73
75
76
77
79
8
80
81
82
83
86
87
88
89
9
90
900
91
92
93
94
95
96
97
98
99
RESPCODE
