advice,"bp_name","bp_value",judgement,link,points
,prefix,EXEMPT,"Light Green",,"0.95"
,prefix,"N/A",Green,,1
"There was an error evaluating this best practice",prefix,NO,Red,,0
"Mention the prefix field in notable title",prefix,notable,Amber,,"0.25"
"Make sure the prefix field is in the SPL results and is mentioned explicitly in the SPL.",prefix,SPL,Amber,,"0.25"
,prefix,yes,Green,,1
,redteam,EXEMPT,"Light Green",,"0.95"
,redteam,good,Green,,1
"Consider handling redteam activity",redteam,NO,Yellow,,"0.8"
"Risk and/or notable needs to be tweaked based on is_redteam",redteam,NoTweak,Red,,0
"Check investigation can be easily started with functional dashboard(s) in place. Manually edit this best practice in the exception lookup.",dashboard,bad,Red,"/app/lookup_editor/lookup_edit?owner=nobody&namespace=SA-ES-Choreographer&lookup=ESC_correlation_searches.csv&type=csv",0
,dashboard,EXEMPT,"Light Green",,"0.95"
,dashboard,good,Green,"/app/lookup_editor/lookup_edit?owner=nobody&namespace=SA-ES-Choreographer&lookup=ESC_correlation_searches.csv&type=csv",1
"Edit the exception lookup if there is a satisfactory investigation dashboard",dashboard,NONE,Red,"/app/lookup_editor/lookup_edit?owner=nobody&namespace=SA-ES-Choreographer&lookup=ESC_correlation_searches.csv&type=csv",0
"Drilldown SPL should identical to the correlation SPL",drilldown,BAD,Red,,0
"Drilldown name should be ""Run the correlation search again""",drilldown,BadName,Yellow,,"0.8"
"?",drilldown,EXEMPT,"Light Green",,"0.95"
"Irrelevant as no notable raised",drilldown,"N/A",Green,,1
"Add a drilldown",drilldown,NONE,Red,,0
"The SPL should list key fields explicitly and hide non-key fields behind *. If a notable is raised, IR must display all key fields.",fields,BAD,Red,"/app/SplunkEnterpriseSecuritySuite/ess_incident_review_configuration",0
,fields,EXEMPT,"Light Green",,"0.95"
,fields,good,Green,"/app/SplunkEnterpriseSecuritySuite/ess_incident_review_configuration",1
"Irrelevant as not raising risks or notables",fields,"N/A",Green,"/app/SplunkEnterpriseSecuritySuite/ess_incident_review_configuration",1
"SPL is missing linebreaks before keywords or within tstats",format,BAD,Amber,,"0.25"
,format,EXEMPT,"Light Green",,"0.95"
,format,good,Green,,1
"Error calculating how often the search is scheduled",frequency,BAD,Red,,0
"Negative overlap between subsequent runs",frequency,BlindSpots,Red,,0
,frequency,EXEMPT,"Light Green",,"0.95"
"Search runs very often. Is this time critical?",frequency,Frequent,Yellow,,"0.8"
,frequency,good,Green,,1
"Search runs very often. Schedule it less often",frequency,TooFrequent,Amber,,"0.25"
"Check a satisfactory analyst guide is in place. Manually edit this best practice in the exception lookup.",guide,bad,Red,"/app/lookup_editor/lookup_edit?owner=nobody&namespace=SA-ES-Choreographer&lookup=ESC_correlation_searches.csv&type=csv",0
,guide,EXEMPT,"Light Green",,"0.95"
,guide,good,Green,"/app/lookup_editor/lookup_edit?owner=nobody&namespace=SA-ES-Choreographer&lookup=ESC_correlation_searches.csv&type=csv",1
"Edit the exception lookup if there is a satisfactory analyst guide",guide,NONE,Red,"/app/lookup_editor/lookup_edit?owner=nobody&namespace=SA-ES-Choreographer&lookup=ESC_correlation_searches.csv&type=csv",0
"All assets and identities must be looked up.",identities,BAD,Red,,0
,identities,EXEMPT,"Light Green",,"0.95"
,identities,good,Green,,1
"It is unexpected for a detection not to mention any asset or identity.",identities,NONE,Amber,,"0.25"
"Non-CIM fields are being looked up, consider using CIM-compliant fields for assets and identities",identities,Odd,Yellow,,"0.8"
"Add `remove_empty_or_null_fields`",identities,Verbose,Yellow,,"0.8"
"Either not enough overlap or latest is too recent",latest,BAD,Red,,0
"No overlap between runs and latest is too recent to ensure all the data is there. Increase overlap.",latest,"blind?",Amber,,"0.25"
"Latest is needlessly set back. Set latest to ""now""",latest,delay,Yellow,,"0.8"
,latest,EXEMPT,"Light Green",,"0.95"
,latest,good,Green,,1
,mitre,EXEMPT,"Light Green",,"0.95"
"Add at least one Mitre Att&ck technique",mitre,NO,Red,,0
,mitre,yes,Green,,1
,"morning_check",EXEMPT,"Light Green",,"0.95"
,"morning_check",good,Green,,1
"Consider adding a morning check","morning_check",NO,Yellow,,"0.8"
"Risk and/or notable needs to be tweaked based on is_morning_check","morning_check",NoTweak,Red,,0
"There doesn't appear to be a morning check check in the monitor dashboard.","morning_check",Unmonitored,Amber,,"0.25"
"Notables are not raised to the default owner and status",queue,BAD,Red,,0
,queue,EXEMPT,"Light Green",,"0.95"
,queue,good,Green,,1
"Irrelevant as no notable raised",queue,"N/A",Green,,1
"Notables are currently going to a test queue",queue,test,Yellow,,"0.8"
"Make sure to set description in the SPL. Make sure to mvjoin asset fields.",rba,desc,Red,,0
,rba,EXEMPT,"Light Green",,"0.95"
,rba,good,Green,,1
"Make sure to set risk_message. If doing so in the SPL, make sure to mvjoin asset fields",rba,msg,Amber,,"0.25"
"All detections should raise a risk, with very few exceptions",rba,NONE,Red,,0
