eventType,category,eventId,dataset_name,type,ids_type
MALICIOUS_APP_IN_INVENTORY,Malware,101,malware,,
ADWARE_APP_IN_INVENTORY,Malware,101,malware,,
BANKER_MALWARE_APP_IN_INVENTORY,Malware,101,malware,,
POTENTIALLY_UNWANTED_APP_IN_INVENTORY,Malware,101,malware,,
RANSOMWARE_APP_IN_INVENTORY,Malware,101,malware,,
ROOTING_MALWARE_APP_IN_INVENTORY,Malware,101,malware,,
SMS_MALWARE_APP_IN_INVENTORY,Malware,101,malware,,
SPYWARE_APP_IN_INVENTORY,Malware,101,malware,,
TROJAN_MALWARE_APP_IN_INVENTORY,Malware,101,malware,,
THIRD_PARTY_APP_STORES_IN_INVENTORY,Third-Party App Stores Installed,102,alert,alarm,
ADMIN_APP_IN_INVENTORY,Device Admin App Installed,103,alert,alarm,
SIDE_LOADED_APP_IN_INVENTORY,Sideloaded App Installed,104,alert,alarm,
VULNERABLE_APP_IN_INVENTORY,Vulnerable App,105,alert,alarm,
SSL_TRUST_COMPROMISE,Dangerous Certificate,201,ids,,application
JAILBREAK,Jailbreak Root,202,ids,,application
IOS_PROFILE,Risky iOS Profile,203,alert,alert,
OUTDATED_OS,Vulnerable OS,204,alert,alert,
OUTDATED_OS_LOW,Vulnerable OS,205,alert,alert,
LOCK_SCREEN_DISABLED,Lock screen disabled,206,alert,alert,
STORAGE_ENCRYPTION_DISABLED,Device encryption disabled,207,alert,alert,
UNKNOWN_SOURCES_ENABLED,Unknown app sources enabled,208,alert,alert,
DEVELOPER_MODE_ENABLED,Developer mode enabled,209,alert,alert,
USB_DEBUGGING_ENABLED,USB debugging enabled,210,alert,alert,
USB_APP_VERIFICATION_DISABLED,USB app verification disabled,211,alert,alert,
MISSING_ANDROID_SECURITY_PATCHES,Android security patches missing,212,alert,alert,
OUT_OF_DATE_OS,Out-Of-Date OS,213,alert,alert,
FIREWALL_DISABLED,Firewall Disabled,214,alert,alarm,
USER_PASSWORD_DISABLED,User Password Disabled,215,alert,alarm,
ANTIVIRUS_DISABLED,Antivirus Protection Disabled,216,alert,alarm,
APP_INACTIVITY,Inactive Device - App,217,alert,alert,
ACCESS_SPAM_HOST,Domain - Spam,301,ids,,application
ACCESS_PHISHING_HOST,Domain - Phishing,302,ids,,application
ACCESS_BAD_HOST,Domain - Malware,303,ids,,application
RISKY_APP_DOWNLOAD,Third-Party App Store Traffic,304,alert,alert,
ACCESS_CRYPTOJACKING_HOST,Domain - Cryptojacking,305,ids,,application
SSL_MITM_TRUSTED_VALID_CERT,Man-in-the-Middle,401,ids,,application
SSL_MITM_UNTRUSTED_VALID_CERT,Man-in-the-Middle,401,ids,,application
SSL_STRIP_MITM,Man-in-the-Middle,401,ids,,application
SSL_MITM_UNTRUSTED_INVALID_CERT,Risky Hotspot,402,ids,,application
SSL_MITM_TRUSTED_INVALID_CERT,Risky Hotspot,402,ids,,application
LEAK_CREDIT_CARD,Credit Card Leak,501,ids,,application
LEAK_PASSWORD,Password Leak,502,ids,,application
LEAK_EMAIL,E-Mail Address Leak,503,ids,,application
LEAK_USERID,Username Leak,504,ids,,application
LEAK_LOCATION,Location Leak,505,ids,,application
