sourcetype,vendor,product,format,category
syslog,Generic,Syslog,syslog,Linux
linux_secure,Red Hat / CentOS,Linux Auth (secure),syslog,Linux
linux:audit,Linux,Linux Auditd,audit,Linux
WinEventLog:Security,Microsoft,Windows Security Event Log,evtx,Windows
WinEventLog:System,Microsoft,Windows System Event Log,evtx,Windows
WinEventLog:Application,Microsoft,Windows Application Event Log,evtx,Windows
cisco:asa,Cisco,ASA Firewall,syslog,Network
pan:traffic,Palo Alto Networks,PAN-OS Traffic,CSV,Network
f5:bigip:ltm:access,F5 Networks,BIG-IP LTM Access,syslog,Network
fgt_traffic,Fortinet,FortiGate Traffic,KV,Network
cp_log,Check Point,Check Point Firewall,KV,Network
cisco:meraki,Cisco,Meraki,syslog,Network
access_combined,Apache,Apache HTTP Access Log,CLF,Web
nginx:plus:kv,NGINX,NGINX Plus Access,KV,Web
apache:error,Apache,Apache HTTP Error Log,custom,Web
named,ISC,BIND DNS,syslog,DNS
microsoft:dns,Microsoft,Windows DNS Server,text,DNS
cisco:asa:vpn,Cisco,Cisco AnyConnect VPN,syslog,VPN
pan:globalprotect,Palo Alto Networks,GlobalProtect VPN,KV,VPN
aws:cloudtrail,Amazon Web Services,CloudTrail,JSON,Cloud
google:gcp:audit,Google Cloud,GCP Audit Logs,JSON,Cloud
suricata,Open Information Security Foundation,Suricata IDS/IPS,JSON,IDS
postfix:syslog,Postfix,Postfix Mail Server,syslog,Email
o365:management:activity,Microsoft,Office 365 Audit,JSON,O365
azure:aad:signin,Microsoft,Azure Active Directory,JSON,O365
mysql:generalquery,Oracle / MariaDB,MySQL General Query Log,JSON,Database
postgresql,PostgreSQL Global Dev Group,PostgreSQL Audit,JSON,Database
squid,Squid,Squid Proxy,text,Proxy
zscalernss-web,Zscaler,Zscaler Internet Access,KV,Proxy
kube:apiserver:audit,Cloud Native Computing Foundation,Kubernetes API Server Audit,JSON,Kubernetes
docker:events,Docker,Docker Events,JSON,Kubernetes
crowdstrike:falcon:json,CrowdStrike,Falcon Endpoint Protection,JSON,EDR
ms:defender:atp,Microsoft,Microsoft Defender for Endpoint,KV,EDR
sentinelone:activity,SentinelOne,SentinelOne Activity,KV,EDR
OktaIM2:log,Okta,Okta Identity Engine,JSON,Identity
vmware:esxi:syslog,VMware,ESXi Hypervisor,syslog,Virtualization
salesforce:eventlogfile,Salesforce,Salesforce Event Log File,JSON,SaaS
zabbix:alerts,Zabbix,Zabbix Monitoring,text,Monitoring
elasticsearch:log,Elastic,Elasticsearch Server Log,JSON,Monitoring
snow:incident,ServiceNow,ServiceNow Incident,JSON,ITSM
cyberark:epv:audit,CyberArk,Enterprise Password Vault,KV,PAM
hashicorp:vault:audit,HashiCorp,Vault Secret Manager,JSON,PAM
