index,domain,domain_label,icon,color
web,application,Web & Application,web,#00B5F5
network,infrastructure,Network & Firewall,networking,#FF8C00
linux,endpoint,Linux Endpoint,linux,#F3A712
windows,endpoint,Windows Endpoint,windows,#0078D4
dns,network,DNS,dns,#8A2BE2
vpn,network,VPN & Remote Access,lock,#20B2AA
aws,cloud,Amazon Web Services,cloud,#FF9900
gcp,cloud,Google Cloud Platform,cloud,#4285F4
ids,security,IDS / IPS,shield,#DC143C
email,communication,Email Gateway,email,#32CD32
o365,cloud,Microsoft 365,cloud,#D83B01
database,data,Database,database,#6495ED
proxy,network,Web Proxy,proxy,#9370DB
kubernetes,cloud,Kubernetes / Containers,containers,#326CE5
edr,security,Endpoint Detection,shield,#FF4500
identity,security,Identity & Access,identity,#FF69B4
virtualization,infrastructure,Virtualization,server,#708090
saas,cloud,SaaS Applications,cloud,#00CED1
monitoring,infrastructure,Monitoring & Alerting,monitoring,#ADFF2F
itsm,operations,ITSM,itsm,#F08080
pam,security,Privileged Access,lock,#FFD700
