pn,dp,transport,desc
svchost.exe,0,udp,
svchost2exe,22,udp,
svchost.exe,53,udp,
iexplore.exe,53,tcp,
svchost.exe,53,udp,
iexplore.exe,53,tcp,
skype.exe,53,tcp,
iexplore.exe,53,tcp,
backgroundtaskhost.exe,53,tcp,
backgroundtaskhost.exe,53,tcp,
iexplore.exe,67,tcp,
iexplore.exe,68,tcp,
unknown,80,udp,
svchost.exe,80,udp,
svchost.exe,80,udp,
adsfasdf,80,udp,
adsfasdf,80,udp,
svchost.exe,80,tcp,
svchost.exe,80,tcp,
lsass.exe,80,udp,
svchost.exe,80,udp,
browser_broker.exe,80,tcp,
svchost.exe,80,tcp,
System,80,tcp,
smartscreen.exe,80,tcp,
firefox.exe,80,tcp,
gwxconfigmanager.exe,80,tcp,
gwxconfigmanager.exe,80,tcp,
lsass.exe,80,tcp,
svchost.exe,80,tcp,
msfeedssync.exe,80,tcp,
lsass.exe,80,tcp,
microsoftedgecp.exe,80,tcp,
skypeapp.exe,80,tcp,
googleupdate.exe,80,tcp,
microsoftedge.exe,80,tcp,
microsoftedgecp.exe,80,tcp,
microsoftedge.exe,80,tcp,
svchost.exe,80,udp,
System,80,udp,
vpnagent.exe,80,udp,
vpnui.exe,80,tcp,
vpnagent.exe,80,tcp,
skypeapp.exe,81,tcp,
systemsettings.exe,123,tcp,
skypeapp.exe,123,udp,
firefox.exe,135,tcp,
System,137,udp,
backgroundtransferhost.exe,138,tcp,
backgroundtransferhost.exe,139,tcp,
updatenotificationmgr.exe,389,tcp,
werfault.exe,389,tcp,
explorer.exe,389,tcp,
mDNSResponder,389,udp,
commerce,389,tcp,
vmnet-natd,443,udp,
com.apple.WebKit.Networking,443,tcp,
Microsoft Outlook,443,tcp,
Webex Teams,443,tcp,
firefox,443,tcp,
com.apple.Safari.SearchHelper,443,tcp,
parsecd,443,tcp,
vmnet-natd,443,tcp,
osqueryd,443,tcp,
Skype,443,tcp,
firefox,443,tcp,
com.apple.WebKit.Networking,443,tcp,
Cisco Webex Meetings,443,tcp,
ampdaemon,443,tcp,
vmnet-natd,443,tcp,
Snagit 2019,443,tcp,
Mail,443,tcp,
Microsoft Remote Desktop,443,tcp,
Snagit 2019,443,tcp,
com.apple.geod,443,tcp,
SnagitHelper2019,443,tcp,
trustd,443,tcp,
mDNSResponder,443,tcp,
Microsoft PowerPoint,443,tcp,
Safari,443,tcp,
CiscoSparkHelper,443,tcp,
CiscoSparkHelper,443,tcp,
CiscoSparkHelper,443,tcp,
CiscoSparkHelper,443,udp,
CiscoSparkHelper,443,udp,
CiscoSparkHelper,443,udp,
svchost.exe,443,udp,
taskhostw.exe,443,tcp,
skype.exe,443,tcp,
mpcmdrun.exe,443,tcp,
compattelrunner.exe,443,tcp,
vmnet-natd,443,udp,
skype.exe,443,udp,
skypeapp.exe,443,udp,
vmnet-natd,443,udp,
vmnet-natd,443,udp,
skypeapp.exe,443,udp,
skypeapp.exe,443,udp,
skype.exe,443,udp,
skype.exe,443,udp,
skype.exe,443,udp,
skype.exe,443,udp,
vmnet-natd,443,udp,
skypeapp.exe,443,udp,
localbridge.exe,443,tcp,
Cisco WebEx Start,443,tcp,
backgroundtaskhost.exe,443,tcp,
taskhostw.exe,443,tcp,
jucheck.exe,443,tcp,
onedrive.exe,443,tcp,
hxtsr.exe,443,tcp,
hxtsr.exe,443,tcp,
Microsoft Update Assistant,443,tcp,
Box Edit,443,tcp,
OneDriveStandaloneUpdater,443,tcp,
timed,443,udp,
nsurlsessiond,443,tcp,
sihclient.exe,443,tcp,
accountsd,443,tcp,
Microsoft Outlook,443,tcp,
microsoftedgecp.exe,443,tcp,
microsoftedgecp.exe,443,tcp,
apphostregistrationverifier.exe,443,tcp,
apphostregistrationverifier.exe,443,tcp,
smartscreen.exe,443,tcp,
System,443,tcp,
vmnet-natd,443,tcp,
vmnet-natd,443,tcp,
syspolicyd,443,tcp,
