"_bkt","_cd","_eventtype_color","_indextime","_kv","_raw","_si","_sourcetype","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,fv,host,index,linecount,ose,osn,osv,punct,sm,source,sourcetype,"splunk_server","splunk_server_group",st,tag,"tag::eventtype",timeendpos,timestartpos,udid,vsn
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9698",,1587854248,1,"Dec 10 2019 13:34:11 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576002851,13,10,34,december,11,tuesday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9689",,1587854248,1,"Dec 11 2019 13:34:10 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576089250,13,11,34,december,10,wednesday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9681",,1587854248,1,"Dec 12 2019 13:34:12 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576175652,13,12,34,december,12,thursday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9673",,1587854248,1,"Dec 13 2019 13:34:14 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576262054,13,13,34,december,14,friday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9665",,1587854248,1,"Dec 14 2019 13:34:16 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576348456,13,14,34,december,16,saturday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9656",,1587854248,1,"Dec 15 2019 13:34:17 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576434857,13,15,34,december,17,sunday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9648",,1587854248,1,"Dec 15 2019 15:39:34 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576442374,15,15,39,december,34,sunday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9640",,1587854248,1,"Dec 15 2019 15:39:51 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576442391,15,15,39,december,51,sunday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9632",,1587854248,1,"Dec 15 2019 15:39:51 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-72-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576442391,15,15,39,december,51,sunday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-72-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
"main~73~2E26CC28-1729-4634-9BDD-8D604C14D5D4","73:9624",,1587854248,1,"Dec 15 2019 15:41:26 nvm-collector  fv=""nvzFlow_v3"" vsn=""CESA-LINUX-MACHINE"" udid=""CB44F656D935295F00E8A90848A50F5A15C82C10"" osn=""Linux"" osv=""5.3.0-76-generic"" ose=""Ubuntu 18.04.4 LTS"" sm=""VMware, Inc."" st=""x64""","SKHADEMD-M-33LM
main","cisco:nvm:sysdata",1576442486,15,15,41,december,26,sunday,2019,local,,"nvzFlow_v3","SKHADEMD-M-33LM",main,1,"Ubuntu 18.04.4 LTS",Linux,"5.3.0-76-generic","___::_-__=""""_=""--""_=""""_=""""_=""..--""_=""_.._""_="",_.""_","VMware, Inc.","CESA_sysdata.txt","cisco:nvm:sysdata","SKHADEMD-M-33LM",,x64,,,21,0,CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE"
