pn,ph,vt_resource,vt_query_time,vt_classification,vt_scan_date,vt_permalink,vt_positives,vt_total,vt_threat_av,vt_threat_id,vt_hashes
svchost.exe,93B2ED4004ED5F7F3039DD7ECBD22C7E4E24B6373B4D9EF8D6E45A179B13A5E8,93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8,1580795510,0,2/3/20 13:40,https://www.virustotal.com/file/93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8/analysis/1580737228/,0,72,,,"c78655bc80301d76ed4fef1c1ea40a7d
619652b42afe5fb0e3719d7aeda7a5494ab193e8
93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8"
iexplore.exe,B4E5C2775DE098946B4E11ABA138B89D42B88C1DBD4D5EC879EF6919BF018132,b4e5c2775de098946b4e11aba138b89d42b88c1dbd4d5ec879ef6919bf018132,1580795510,0,2/3/20 8:13,https://www.virustotal.com/file/b4e5c2775de098946b4e11aba138b89d42b88c1dbd4d5ec879ef6919bf018132/analysis/1580717585/,0,73,,,"b3581f426dc500a51091cdd5bacf0454
8de30174cebc8732f1ba961e7d93fe5549495a80
b4e5c2775de098946b4e11aba138b89d42b88c1dbd4d5ec879ef6919bf018132"
svchost.exe,438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,438b6ccd84f4dd32d9684ed7d58fd7d1e5a75fe3f3d12ab6c788e6bb0ffad5e7,1580795510,0,1/29/20 13:02,https://www.virustotal.com/file/438b6ccd84f4dd32d9684ed7d58fd7d1e5a75fe3f3d12ab6c788e6bb0ffad5e7/analysis/1580302954/,0,70,,,"36f670d89040709013f6a460176767ec
0dac68816ae7c09efc24d11c27c3274dfd147dee
438b6ccd84f4dd32d9684ed7d58fd7d1e5a75fe3f3d12ab6c788e6bb0ffad5e7"
skype.exe,AAEC020F88CFF19D1B9C20BB87B44731A17FC4D041CEA8E8F5632D1D4BC41766,aaec020f88cff19d1b9c20bb87b44731a17fc4d041cea8e8f5632d1d4bc41766,1580795510,0,11/12/19 15:00,https://www.virustotal.com/file/aaec020f88cff19d1b9c20bb87b44731a17fc4d041cea8e8f5632d1d4bc41766/analysis/1573570811/,0,69,,,"2eee2de5692ca64275cb921d247210c2
4795ccc0b11ad4f5f3381ca9dd1e90091fdf2e8f
aaec020f88cff19d1b9c20bb87b44731a17fc4d041cea8e8f5632d1d4bc41766"
backgroundtaskhost.exe,B8E176FE76A1454A00C4AF0F8BF8870650D9C33D3E333239A59445C5B35C9A37,b8e176fe76a1454a00c4af0f8bf8870650d9c33d3e333239a59445c5b35c9a37,1580795511,0,2/3/20 13:36,https://www.virustotal.com/file/b8e176fe76a1454a00c4af0f8bf8870650d9c33d3e333239a59445c5b35c9a37/analysis/1580736987/,0,71,,,"50d5fd1290d94d46acca0585311e74d5
339e4e69d2120b97ce34b9a8d3597ff8e0a73561
b8e176fe76a1454a00c4af0f8bf8870650d9c33d3e333239a59445c5b35c9a37"
svchost.exe,7FD065BAC18C5278777AE44908101CDFED72D26FA741367F0AD4D02020787AB6,7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6,1580795511,0,2/3/20 13:36,https://www.virustotal.com/file/7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6/analysis/1580737013/,0,72,,,"8a0a29438052faed8a2532da50455756
a1385ce20ad79f55df235effd9780c31442aa234
7fd065bac18c5278777ae44908101cdfed72d26fa741367f0ad4d02020787ab6"
lsass.exe,9403E9FE8B13EE294CFBBD96649BBD54CF723CF5872E3E03DA4380379D677983,9403e9fe8b13ee294cfbbd96649bbd54cf723cf5872e3e03da4380379d677983,1580795511,0,1/27/20 17:34,https://www.virustotal.com/file/9403e9fe8b13ee294cfbbd96649bbd54cf723cf5872e3e03da4380379d677983/analysis/1580146489/,0,71,,,"6f8e95716c1a27ff2fe96d30b147f1c1
de02364202b1b770e46cc79ee1fb971522ce39c0
9403e9fe8b13ee294cfbbd96649bbd54cf723cf5872e3e03da4380379d677983"
browser_broker.exe,609A3A73A983A1C47511282D31D9FCFE7909950944AC5324344596215CD778AA,609a3a73a983a1c47511282d31d9fcfe7909950944ac5324344596215cd778aa,1580795511,0,1/29/20 21:33,https://www.virustotal.com/file/609a3a73a983a1c47511282d31d9fcfe7909950944ac5324344596215cd778aa/analysis/1580333615/,0,72,,,"08eae2a042c90db1dba4fb34e4d56264
8f1330d097a3a612dbbc7c1e39e1d1e2c06e6634
609a3a73a983a1c47511282d31d9fcfe7909950944ac5324344596215cd778aa"
System,0,0,1580795511,unknown_hash,,,,,,,0
smartscreen.exe,C31F8DEB950D401377FD342D3BCE363DDA150D86F512EB1A5F6F34CEECB81D6C,c31f8deb950d401377fd342d3bce363dda150d86f512eb1a5f6f34ceecb81d6c,1580795511,0,1/21/20 13:03,https://www.virustotal.com/file/c31f8deb950d401377fd342d3bce363dda150d86f512eb1a5f6f34ceecb81d6c/analysis/1579611808/,0,68,,,"7dfd2b02baea83ff2cb75094cc45eb42
cec281006b39a378fe221c73b59621d300b8f0eb
c31f8deb950d401377fd342d3bce363dda150d86f512eb1a5f6f34ceecb81d6c"
backgroundtaskhost.exe,23A80E09DAE6DB17909E81B1CA7E9BF43158BDEE69C1646125FC62E6BFE2745B,23a80e09dae6db17909e81b1ca7e9bf43158bdee69c1646125fc62e6bfe2745b,1580795511,0,1/2/20 1:41,https://www.virustotal.com/file/23a80e09dae6db17909e81b1ca7e9bf43158bdee69c1646125fc62e6bfe2745b/analysis/1577929265/,0,72,,,"0601f285dcff75e679bd91e39b6ebdbf
8b4e7d875398e67d5277d9c8c9bfa027f9705edc
23a80e09dae6db17909e81b1ca7e9bf43158bdee69c1646125fc62e6bfe2745b"
wermgr.exe,C86CA0D12B24F159BE5F5BA55C5CA233217E44F08F8DA2EE82882C8F93CDB967,c86ca0d12b24f159be5f5ba55c5ca233217e44f08f8da2ee82882c8f93cdb967,1580795511,0,1/5/20 13:48,https://www.virustotal.com/file/c86ca0d12b24f159be5f5ba55c5ca233217e44f08f8da2ee82882c8f93cdb967/analysis/1578232108/,0,72,,,"a86b46addcb4775d981eb40cea821cbe
0c0329767fd84b8d5a00c91925da6be954ae6610
c86ca0d12b24f159be5f5ba55c5ca233217e44f08f8da2ee82882c8f93cdb967"
