"PartyType", "Name", "Description"
"1", "Station User", "Extension which is currently assigned a home port; sometimes referred to as a 'logged in user'."
"2", "Trunk", "Trunk (of any kind)."
"3", "Virtual", "A user extension which does not currently have an assigned home port (sometimes referred to as a 'logged out user')."
"4", "Workgroup", "Workgroup extension."
"5", "AutoAttendant", "Auto-Attendant extension."
"6", "VMForward", "Voice mail forward extension (take a message)."
"7", "VMLogin", "Voice mail login extension."
"8", "BackupAA", "Backup auto-attendant (built into switch)."
"9", "AnonPhone", "Anonymous telephone."
"10", "Nightbell", "Nightbell extension."
"11", "Paging", "Paging extension."
"12", "WorkgroupAgent", "Records marked as WorkgroupAgent for calls transferred from a Workgroup to an Agent. Direct inbound calls to an agent are Station type."
"13", "Unknown", "Unknown type."
"14", "RoutePoint", "Route point."
"15", "AccountCode", "Account Code Service."
"16", "HuntGroups", "Hunt Groups."
"17", "GroupPaging", "Group Paging."
"18", "SIPServer", "SIP Server."
"19", "ACCLocal", "ACC Local."
"20", "QSIG Voice Mail", "QSIG Voice Mail."
"21", "ConfExt", "Conference Extension."
"22", "MOHLocal", "Music on Hold Local."
