field,type,table,description
AOC,categorical,call,"While available in the raw data, this field is not documented by Shoretel."
Archived,categorical,"call,mediastream",Flag indicating if this call has been archived.
BillingCode,categorical,call,Account code assigned to the call.
CallDuration,numeric,call,Elapsed time in seconds of the entire call from beginning to end. Calculated by subtracting StartTime from EndTime.  Start time begins when the first party is added to a call. End time is when the last party leaves resulting in the end of the call.
CallID,categorical,"call,mediastream",A unique identifier for the call as a whole.
CallLegType,categorical,mediastream,Reserved
CallNote,categorical,call,User entered Call Note. This can be added from the ShoreTel desktop client.
CallTableID,categorical,connect,Relational key connecting individual call legs with the call as a whole.
CallType,categorical,call,"An integer that indicates if the call was originally inbound, outbound, or internal."
CallerID,categorical,call,"For CallType=Inbound only.  CallerID number if present. If CallerID is blocked or unavailable and any text is provided by the PSTN to indicate caller ID as unavailable, it is included here; for example, the text may be 'blocked' or 'unavailable'."
CallerIDType,categorical,,TBD
CallerIDCountryCode,categorical,,The country code of the Dialed Number. 
CallerIDAreaCode,categorical,,Area code of the CallerID. 
CallerIDExchange,categorical,,the exchange of the CallerID. Present only for DNs in the North American Numbering Plan.
CallerIDCity,categorical,,The city most closely matching the area code and exchange. Present only for CallerID values in the DNs in the North American Numbering Plan.
CallerIDAreaDescription,categorical,,the AreaDescription field (ask us for details)
CallerIDCountryName,categorical,,the country name of the CallerID
CallerIDLat,categorical,,the latitude of the CallerID
CallerIDLong,categorical,,the longitude of the CallerID
CallerIDGroup,categorical,call,the group of the person associated with the number in CallerID (IF you have entered that number in the extensions lookup)
CallerIDName,categorical,call,the name of the person associated with the number in CallerID (IF you have entered that number in the extensions lookup)
CallerIDSubgroup,categorical,call,the subgroup of the person associated with the number in CallerID (IF you have entered that number in the extensions lookup)
ConfAdjConnectDuration,numeric,connect,The duration of this leg of the conference call in seconds.
ConfAdjConnectTime,time,connect,The time this leg of the conference call was connected in.
ConfAdjDuration,numeric,call,The duration of the conference call in seconds.
ConfAdjStartTime,time,call,The time the conference call was created.
ConfLeaderCode,categorical,call,The leader code for the conference call.  Since these remain the same for recurring calls they can be used to track recurring conference calls.
ConfName,categorical,call,This field represents the name of the conference call.
ConfParticipantCode,categorical,call,The participant code for the conference call. Since these remain the same for recurring calls they can be used to track recurring conference calls.
ConfType,categorical,call,Conference call type.
ConfUserType,categorical,connect,The user type of the conference call participant.
ConnectDescription,categorical,,Full description of the ConnectReason code.  See also ConnectName.
ConnectDuration,numeric,connect,Duration in seconds of this individual leg or party's part in the call. Note that in the Connect table this field is actually 'Duration' but the app renames it when the data is pulled into Splunk for consistency.
ConnectID,categorical,connect,Unique ID for the individual leg or party's part in the call.
ConnectLongDistance,categorical,connect,A flag indicating if this this leg or party's part in the call was long distance.  See 'LongDistance' for more information.
ConnectName,categorical,,Short description for ConnectReason code.
ConnectReason,categorical,connect,Numerical Connect Reason code. See ConnectName and ConnectDescription for more information.
ConnectTime,time,connect,Time when the party was added to the call.
CtrlPartyID,categorical,connect,Number of controlling party.
CtrlPartyIDFlags,categorical,connect,Flag that specifies the data that is available in the ID and Name field for the controlling party.
CtrlPartyIDLastName,categorical,connect,Last name of the controlling party.
CtrlPartyIDName,categorical,connect,Name of the controlling party.
DialedNumber,categorical,call,For extension-to-extension and outbound calls; the number dialed plus the trunk access code if any.
