countryCode,country,latitude,longitude
0,"Heard, McDonald, South Georgia and the South Sandwich Islands",-53.1,72.51666667
1, United States,38,-97
7, Russian Federation/Kazakhstan,60,100
20, Egypt,27,30
27, South Africa,-29,24
30, Greece,39,22
31, Netherlands,52.5,5.75
32, Belgium,50.83333333,4
33, France,46,2
34, Spain,40,-4
36, Hungary,47,20
39, Italy,42.83333333,12.83333333
40, Romania,46,25
41, Switzerland,47,8
43, Austria,47.33333333,13.33333333
44, United Kingdom,54,-2
45, Denmark,56,10
46, Sweden,62,15
47, Norway,62,10
48, Poland,52,20
49, Germany,51,9
51, Peru,-10,-76
52, Mexico,23,-102
53, Cuba,21.5,-80
54, Argentina,-34,-64
55, Brazil,-10,-55
56, Chile,-30,-71
57, Colombia,4,-72
58," Venezuela, Bolivarian Republic of",8,-66
60, Malaysia,2.5,112.5
61, Australia,-27,133
62, Indonesia,-5,120
63, Philippines,13,122
64, New Zealand,-41,174
65, Singapore,1.366666667,103.8
66, Thailand,15,100
81, Japan,36,138
82," Korea, Republic of",37,127.5
84, Viet Nam,16.16666667,107.8333333
86, China,35,105
90, Turkey,39,35
91, India,20,77
92, Pakistan,30,70
93, Afghanistan,33,65
94, Sri Lanka,7,81
95, Myanmar,22,98
98," Iran, Islamic Republic of",32,53
211, South Sudan,8,30
212, Morocco,32,-5
213, Algeria,28,3
216, Tunisia,34,9
218, Libyan Arab Jamahiriya,25,17
220, Gambia,13.46666667,-16.56666667
221, Senegal,14,-14
222, Mauritania,20,-12
223, Mali,17,-4
224, Guinea,11,-10
226, Burkina Faso,13,-2
227, Niger,16,8
229, Benin/Togo,9.5,2.25
230, Mauritius,-20.28333333,57.55
231, Liberia,6.5,-9.5
232, Sierra Leone,8.5,-11.5
233, Ghana,8,-2
234, Nigeria,10,8
235, Chad,15,19
236, Central African Republic,7,21
237, Cameroon/Gabon,6,12
238, Cape Verde,16,-24
239, Sao Tome and Principe,1,7
240, Equatorial Guinea,2,10
242, Congo,-1,15
243," Congo, The Democratic Republic of the",0.016666667,25
244, Angola,-12.5,18.5
245, Guinea-Bissau,12,-15
246, British Indian Ocean Territory,-6,71.5
248, Seychelles,-4.583333333,55.66666667
249, Sudan,15,30
250, Rwanda,-2,30
251, Ethiopia,8,38
252, Somalia,10,49
253, Djibouti,11.5,43
254, Kenya,1,38
255, United Republic of Tanzania  / Cote d'Ivoire,-6,35
256, Uganda,1,32
257, Burundi,-3.5,30
258, Mozambique,-18.25,35
260, Zambia,-15,30
261, Madagascar,-20,47
262, Reunion / French Southern Territories,-37.83333333,77.53333333
263, Zimbabwe,-20,30
264, Namibia,-22,17
265, Malawi,-13.5,34
266, Lesotho,-29.5,28.5
267, Botswana,-22,24
268, Swaziland,-26.5,31.5
269, Comoros / Mayotte,-12.16666667,44.25
290," Saint Helena, Ascension and Tristan da Cunha",-15.95,-5.7
291, Eritrea,15,39
297, Aruba,12.5,-69.96666667
298, Faroe Islands,62,-7
299, Greenland,72,-40
350, Gibraltar,36.13333333,-5.35
351, Portugal,39.5,-8
352, Luxembourg,49.75,6.166666667
353, Ireland,53,-8
354, Iceland,65,-18
355, Albania,41,20
356, Malta,35.83333333,14.58333333
357, Cyprus,35,33
358, Finland,64,26
359, Bulgaria,43,25
370, Lithuania,56,24
371, Latvia,57,25
372, Estonia,59,26
373," Moldova, Republic of",47,29
374, Armenia,40,45
375, Belarus,53,28
376, Andorra,42.5,1.5
377, Monaco,43.732778,7.419722
378, Holy See (Vatican City State) / San Marino,41.9,12.45
380, Ukraine,49,32
381, Serbia,44,21
382, Montenegro,42.5,19.3
385, Croatia,45.16666667,15.5
386, Slovenia,46.11666667,14.81666667
387, Bosnia and Herzegovina,44,18
389," Macedonia, The Former Yugoslav Republic of",41.83333333,22
420, Czech Republic,49.75,15.5
421, Slovakia,48.66666667,19.5
423, Liechtenstein,47.26666667,9.533333333
500, Falkland Islands (Malvinas),-51.75,-59
501, Belize,17.25,-88.75
502, Guatemala,15.5,-90.25
503, El Salvador,13.83333333,-88.91666667
504, Honduras,15,-86.5
505, Nicaragua,13,-85
506, Costa Rica,10,-84
507, Panama,9,-80
508, Saint Pierre and Miquelon,46.83333333,-56.33333333
509, Haiti,19,-72.41666667
590, Guadeloupe / Saint Barthelemy / Saint Martin,16.25,-61.58333333
591," Bolivia, Plurinational State of",-17,-65
592, Guyana,5,-59
593, Ecuador,-2,-77.5
594, French Guiana,4,-53
595, Paraguay,-23,-58
596, Martinique,14.6,-61.08333333
597, Suriname,4,-56
598, Uruguay,-33,-56
599, Curacao,12.16666667,-69
670, Timor-Leste,-8.833333333,125.9166667
672, Antarctica,-90,0
673, Brunei Darussalam,4.5,114.6666667
674, Nauru,-0.533333333,166.9166667
675, Papua New Guinea,-6,147
676, Tonga,-20,-175
677, Solomon Islands,-8,159
678, Vanuatu,-16,167
679, Fiji,-18,175
680, Palau,7.5,134.5
681, Wallis and Futuna,-13.3,-176.2
682, Cook Islands,-21.23333333,-159.7666667
683, Norfolk Island /  Niue,-29.03333333,167.95
685, Samoa,-13.58333333,-172.3333333
686, Kiribati,1.416666667,173
687, New Caledonia,-21.5,165.5
688, Tuvalu,-8,178
689, French Polynesia,-15,-140
690, Tokelau,-9,-172
691," Micronesia, Federated States of",6.916666667,158.25
692, Marshall Islands,9,168
699, United States Minor Outlying Islands,16.75,-169.5166667
850," Korea, Democratic People's Republic of",40,127
852, Hong Kong,22.25,114.1666667
853, Macao,22.16666667,113.55
855, Cambodia,13,105
856, Lao People's Democratic Republic,18,105
872, Pitcairn,-25.06666667,-130.1
880, Bangladesh,24,90
886," Taiwan, Province of China",23.5,121
960, Maldives,3.25,73
961, Lebanon,33.83333333,35.83333333
962, Jordan,31,36
963, Syrian Arab Republic,35,38
964, Iraq,33,44
965, Kuwait,29.366667,47.966667
966, Saudi Arabia,25,45
967, Yemen,15,48
968, Oman,21,57
970, Occupied Palestinian Territory,32,35.25
971, United Arab Emirates,24,54
972, Israel,31.5,34.75
973, Bahrain,26,50.55
974, Qatar,25.5,51.25
975, Bhutan,27.5,90.5
976, Mongolia,46,105
977, Nepal,28,84
992, Tajikistan,39,71
993, Turkmenistan,40,60
994, Azerbaijan,40.5,47.5
995, Georgia,42,43.5
996, Kyrgyzstan,41,75
998, Uzbekistan,41,64
