type,tier,max_size,region,location,rate,currency
S70,Standard_LRS,16384,IN Central,N/A,537.293258,GBP
S70,StandardSSD_LRS,N/A,US West,N/A,0.029067,GBP
S70,Premium_LRS,N/A,EU North,N/A,22.851173,GBP
S70,StandardSSD_LRS,N/A,BR Southeast,N/A,6349.794181,GBP
S70,StandardSSD_LRS,N/A,US East 2,N/A,0.670778,GBP
S20,Standard_LRS,512,NO East,N/A,17.839716,GBP
S80,Standard_LRS,32767,US Gov,N/A,1074.459813,GBP
E6,StandardSSD_LRS,64,IN West Jio,N/A,3.935231,GBP
S40,Standard_LRS,2048,US Gov AZ,N/A,67.152987,GBP
E30,StandardSSD_LRS,1024,UK West,N/A,62.963704,GBP
S60,Standard_LRS,8192,IN South,N/A,244.222853,GBP
S60,StandardSSD_LRS,N/A,JA East,N/A,27.612207,GBP
S4,Standard_LRS,32,US Gov AZ,N/A,1.144794,GBP
S4,Premium_LRS,N/A,IN West Jio,N/A,3.427676,GBP
E15,StandardSSD_LRS,256,FR Central,N/A,23.611389,GBP
S60,Standard_LRS,8192,US North Central,N/A,195.375301,GBP
S60,Premium_LRS,N/A,AU Central 2,N/A,236.672872,GBP
S60,StandardSSD_LRS,N/A,IN South,N/A,0.529169,GBP
S60,Premium_LRS,N/A,US Gov TX,N/A,3.060238,GBP
S6,Standard_LRS,64,US West,N/A,2.241889,GBP
P80,Premium_LRS,32767,ZA West,N/A,4102.940951,GBP
P80,Premium_LRS,32767,US West 3,N/A,2442.228531,GBP
P80,StandardSSD_LRS,N/A,NO East,N/A,116.700483,GBP
S4,Standard_LRS,32,CA Central,N/A,1.259572,GBP
E40,StandardSSD_LRS,2048,KR Central,N/A,114.479462,GBP
E40,StandardSSD_LRS,N/A,AP Southeast,N/A,0.455383,GBP
S15,Standard_LRS,256,JA West,N/A,8.44286,GBP
E20,StandardSSD_LRS,512,EU West,westeurope,42.929798,GBP
E20,Premium_LRS,N/A,US West Central,N/A,0.813877,GBP
E50,StandardSSD_LRS,4096,,N/A,0.0,GBP
E40,StandardSSD_LRS,2048,EU West,westeurope,171.719193,GBP
E40,StandardSSD_LRS,N/A,US Gov,N/A,3.06471,GBP
