type,region,cost,currency
standard,us-east-1,0.0500000000,USD
st1,eu-west-2,0.0530000000,USD
gp2,ap-northeast-1,0.1200000000,USD
sc1,ca-central-1,0.0168000000,USD
sc1,cn-northwest-1,0.0996000000,CNY
io1,ap-southheast-1,0.1380000000,USD
gp2,eu-central-1,0.0952000000,USD
gp2,ap-south-1,0.1140000000,USD
st1,eu-north-1,0.0475000000,USD
gp2,eu-west-2,0.1160000000,USD
gp2,ap-southeast-2,0.1200000000,USD
io1,cn-north-1,0.8580000000,CNY
io1,eu-central-1,0.1490000000,USD
sc1,us-east-1,0.0150000000,USD
io1,us-east-1,0.1250000000,USD
io1,us-gov-east-1,0.1500000000,USD
io1,eu-west-1,0.1380000000,USD
gp2,eu-north-1,0.1045000000,USD
standard,us-gov-east-1,0.0650000000,USD
io1,ap-northeast-2,0.1278000000,USD
standard,ap-northeast-2,0.0800000000,USD
io1,ap-northeast-1,0.1420000000,USD
sc1,ap-northeast-2,0.0174000000,USD
standard,ca-central-1,0.0550000000,USD
gp2,us-west-2,0.1000000000,USD
st1,us-west-1,0.0540000000,USD
io1,ap-southheast-1,0.1380000000,USD
gp2,us-west-2,0.0800000000,USD
st1,sa-east-1,0.0860000000,USD
io1,ap-northeast-2,0.1278000000,USD
gp2,ap-northeast-1,0.0960000000,USD
io1,ap-south-1,0.1310000000,USD
st1,eu-west-1,0.0500000000,USD
gp2,ap-south-1,0.0912000000,USD
gp2,cn-north-1,0.7460000000,CNY
standard,eu-north-1,0.0522500000,USD
gp2,ca-central-1,0.0880000000,USD
io1,us-east-2,0.1250000000,USD
io1,eu-north-1,0.1311000000,USD
io1,us-east-2,0.1250000000,USD
st1,eu-west-3,0.0530000000,USD
gp2,eu-west-3,0.1160000000,USD
gp2,us-west-1,0.0960000000,USD
io1,cn-northwest-1,0.7640000000,CNY
gp2,cn-northwest-1,0.6640000000,CNY
io1,us-west-2,0.1250000000,USD
io1,eu-west-3,0.1450000000,USD
sc1,cn-north-1,0.1120000000,CNY
st1,ap-southeast-2,0.0540000000,USD
io1,us-west-1,0.1380000000,USD
standard,cn-northwest-1,0.3640000000,CNY
gp2,sa-east-1,0.1520000000,USD
standard,eu-west-1,0.0550000000,USD
sc1,us-east-2,0.0150000000,USD
st1,us-gov-east-1,0.0540000000,USD
gp2,eu-west-1,0.1100000000,USD
io1,ca-central-1,0.1380000000,USD
io1,ap-southeast-2,0.1380000000,USD
st1,cn-north-1,0.3360000000,CNY
gp2,us-gov-east-1,0.0960000000,USD
