role_name,role_category,role_priority,role_expected,role_pci_domain
.NET Environment 3.5,,,,
.NET Extensibility 3.5,,,,
.NET Extensibility 4.5,,,,
.NET Framework 3.5 (includes .NET 2.0 and 3.0),,,,
.NET Framework 3.5 Features,,,,
.NET Framework 4.5,,,,
.NET Framework 4.5 Features,,,,
Active Directory Administrative Center,,,,
Active Directory Certificate Services,pf:ms_ad_ca|svc:ca|pci,critical,TRUE,pci
Active Directory Certificate Services Tools,,,,
Active Directory Domain Services,pf:ms_ad_dc|svc:sso|pci,critical,TRUE,pci
Active Directory Federation Services,pf:ms_ad_fs|svc:sso,critical,TRUE,pci
Active Directory module for Windows PowerShell,,,,
AD DS and AD LDS Tools,,,,
AD DS Snap-Ins and Command-Line Tools,,,,
AD DS Tools,,,,
AD LDS Snap-Ins and Command-Line Tools,,,,
API and PowerShell cmdlets,,,,
Application Development,,,,
Application Initialization,,,,
ASP,,,,
ASP.NET 3.5,,,,
ASP.NET 4.5,,,,
Background Intelligent Transfer Service (BITS),,,,
Basic Authentication,risky,critical,TRUE,
BitLocker Drive Encryption,,,,
BitLocker Drive Encryption Administration Utilities,,,,
BitLocker Drive Encryption Tools,,,,
BitLocker Recovery Password Viewer,,,,
BITS Server Extensions Tools,,,,
Certificate Enrollment Policy Web Service,pf:ms_ad_ca|svc:ca|pci,,,
Certificate Enrollment Web Service,pf:ms_ad_ca|svc:ca|pci,,,
Certification Authority,pf:ms_ad_ca|svc:ca|pci,critical,TRUE,pci
Certification Authority Management Tools,,,,
Certification Authority Web Enrollment,pf:ms_ad_ca|svc:ca|pci,,,
Client Certificate Mapping Authentication,,,,
Common HTTP Features,,,,
Configuration APIs,,,,
Data Deduplication,pf:ms_fs,,,
Database,,,,
Default Document,,,,
Deployment Server,pf:ms_deployment|pci,critical,TRUE,pci
DFS Management Tools,,,,
DFS Namespaces,pf:ms_dfsrn|svc:file_server,,,
DFS Replication,pf:ms_dfsr|svc:file_server,,,
DHCP Server,pf:ms_dhcp|pci,critical,TRUE,pci
DHCP Server Tools,,,,
Digest Authentication,risky,critical,,
DirectAccess and VPN (RAS),pf:ms_daras|svc:vpn|pci,critical,TRUE,pci
Directory Browsing,,,,
Distributed Scan Server,pf:ms_scanserver|svc:doc_imaging,,,
DNS Server,pf:ms_dns|svc:dns|pci,critical,TRUE,pci
DNS Server Tools,,,,
Dynamic Content Compression,,,,
Enhanced Storage,,,,
Feature Administration Tools,,,,
File and iSCSI Services,pf:ms_iscsi,high,,
File and Storage Services,,,,
File Server,pf:ms_fs|svc:file_server,,,
File Server Resource Manager,,,,
File Server Resource Manager Tools,,,,
File Server VSS Agent Service,,,,
File Services Tools,,,,
Graphical Management Tools and Infrastructure,,,,
Group Policy Management,,,,
Health and Diagnostics,,,,
Health Registration Authority,pf:ms_hra|svc:aaa|svc:patch|pci,critical,TRUE,pci
Host Credential Authorization Protocol,pf:ms_hcap|svc:aaa|svc:ca|pci,critical,TRUE,pci
HTTP Activation,,,,
HTTP Errors,,,,
HTTP Logging,,,,
HTTP Redirection,,,,
Hyper-V,pf:ms_hv|svc:vhost|pci,critical,TRUE,pci
Hyper-V GUI Management Tools,,,,
Hyper-V Management Tools,,,,
Hyper-V Module for Windows PowerShell,,,,
IIS 6 Management Compatibility,,,,
IIS 6 Metabase Compatibility,,,,
IIS 6 Scripting Tools,,,,
IIS 6 WMI Compatibility,,,,
IIS Client Certificate Mapping Authentication,,,,
IIS Hostable Web Core,pf:ms_iis,,,
IIS Management Console,,,,
IIS Management Scripts and Tools,,,,
IIS Server Extension,,,,
IP Address Management (IPAM) Client,,,,
IP and Domain Restrictions,,,,
ISAPI Extensions,,,,
ISAPI Filters,,,,
Logging Tools,,,,
Management Service,,,,
Management Tools,,,,
Media Foundation,,,,
Network Device Enrollment Service,pf:ms_ndes|svc:ca|pci|svc:aaa,critical,TRUE,pci
Network Load Balancing,pf:ms_nlb|svc:nlb|pci,medium,TRUE,pci
Network Load Balancing Tools,,,,
Network Policy and Access Services,,,,
Network Policy and Access Services Tools,,,,
Network Policy Server,pf:ms_nps|svc:aaa|pci,critical,TRUE,pci
Non-HTTP Activation,,,,
Online Responder,pf:ms_ad_ca|svc:ca|pci,,,
Online Responder Tools,,,,
Performance,,,,
Print and Document Services,pf:ms_fs|svc:file_server,medium,TRUE,
Print and Document Services Tools,,,,
Print Server,pf:ms_print|svc:print_server,medium,,
Process Model,,,,
RAS Connection Manager Administration Kit (CMAK),,,,
Remote Access,,,,
Remote Access GUI and Command-Line Tools,,,,
Remote Access Management Tools,,,,
Remote Access module for Windows PowerShell,,,,
Remote Assistance,,,,
Remote Desktop Connection Broker,pf:ms_rd_cb|svc:virtualdesktop|pci,critical,TRUE,pci
Remote Desktop Gateway,pf:ms_rd_cb|svc:virtualdesktop|pci,high,TRUE,pci
Remote Desktop Gateway Tools,,,,
Remote Desktop Licensing,pf:ms_rd_lm|svc:virtualdesktop|pci,medium,TRUE,
Remote Desktop Licensing Diagnoser Tools,,,,
Remote Desktop Licensing Tools,,,,
Remote Desktop Services,,,,
Remote Desktop Services Tools,,,,
Remote Desktop Session Host,pf:ms_rd_sh,,,
Remote Desktop Web Access,pf:ms_rd_web|svc:virtualdesktop|pci,high,TRUE,pci
Remote Differential Compression,,,,
Remote Server Administration Tools,,,,
Request Filtering,,,,
Request Monitor,,,,
Role Administration Tools,,,,
Routing,risky,,,
RPC over HTTP Proxy,,,,
Security,,,,
Server Graphical Shell,,,,
SMB 1.0/CIFS File Sharing Support,pf:ms_fs_cifs|risky|pci,critical,TRUE,pci
Static Content,,,,
Static Content Compression,,,,
Storage Services,,,,
TCP Port Sharing,,,,
Tracing,,,,
Transport Server,,,,
User Interface Management Console,,,,
User Interfaces and Infrastructure,,,,
WCF Services,,,,
Web Application Proxy,pf:ms_webproxy|svc:lb|pci,medium,TRUE,pci
Web Server,,,,
Web Server (IIS),pf:ms_iis|svc:web,,TRUE,
Windows Authentication,,,,
Windows Deployment Services,pf:ms_wds|svc:patch|pci,medium,TRUE,pci
Windows Internal Database,,,,
Windows PowerShell,,,,
Windows PowerShell 2.0 Engine,,,,
Windows PowerShell 4.0,,,,
Windows PowerShell ISE,,,,
Windows Process Activation Service,,,,
Windows Server Backup,,,,
Windows Server Update Services,pf:ms_wsus|svc:patch,critical,TRUE,pci
Windows Server Update Services Tools,,,,
Work Folders,pf:ms_wf|svc:work_folders|pci,critical,TRUE,pci
WoW64 Support,,,,
WSUS Services,pf:ms_wsus|svc:patch|pci,,,
