display_name,id,description,risk_level,recommendation,resource_type,service_type,detector,detector_labels,candidate_responder_rules,managed_list_types,lifecycle_details,lifecycle_state,time_created,time_update
Bastion created,BASTION_CREATED,Bastions provides users with secure and seamless ssh access to target hosts in private subnets thus restricting direct public access. This detector creates a problem when a new Bastion instance has been created.,LOW,Ensure the bastions are created by the right admins/users and this operation is permitted by them.,bastion,Bastion,IAAS_ACTIVITY_DETECTOR,['Bastion'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Bastion session created,BASTION_SESSION_CREATED,A Bastion Session provides secure and time-bound access to the customer’s target host.,LOW,A session allows users to access the target hosts via the bastion so ensure the session is created by the authorized user.,bastionsession,Bastion,IAAS_ACTIVITY_DETECTOR,['Bastion'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database System terminated,DATABASE_SYSTEM_TERMINATED,"Database systems may hold sensitive data and provide critical functionality. Termination of a database system permanently deletes the system, any databases running on it, and any storage volumes attached to it.",HIGH,Ensure that the termination of the database system and related databases is sanctioned and performed by a permitted administrator.,System,DBSystem,IAAS_ACTIVITY_DETECTOR,['Database'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
DRG attached to a VCN,DRG_ATTACHED_TO_VCN,"Attaching a DRG (Dynamic Routing gateways) to a VCN  provides a path for private traffic between your VCN and networks outside your VCN, for example your on-prem network. This detector ensures users are aware of the additional connectivity in their network.",MINOR,Ensure that attaching of this DRG to the VCN is permitted and expected in this compartment by the resource (User).,DRG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
DRG created,DRG_CREATED,DRG or Dynamic Routing gateways are used when connecting your existing on-premises network to your virtual cloud network (VCN) with IPSEC VPN or FastConnect. This detector triggers a problem when a new DRG is created.,MINOR,Ensure that the creation of a new DRG is permitted and expected in this compartment by the resource (User).,DRG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
DRG deleted,DRG_DELETED,DRG or Dynamic Routing gateways are used when connecting your existing on-premises network to your virtual cloud network (VCN) with IPSEC VPN or FastConnect. This detector triggers a problem when a DRG is deleted.,MINOR,Ensure that the deletion of a DRG is permitted by the resource (User).,DRG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
DRG detached from a VCN,DRG_DETACHED_FROM_VCN,"Attaching a DRG (Dynamic Routing gateways) to a VCN  provides a path for private traffic between your VCN and networks outside your VCN, for example your on-prem network. This detector triggers a problem when such DRG attachment to a VCN has been removed.",MINOR,Ensure that detaching of this DRG component from your VCN is permitted by the resource (User).,DRG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Export Image,EXPORT_IMAGE,"Compute images may be equivalent to ""data drives"" and contain sensitive information. Images that may contain anything proprietary should be identified accordingly with export privileges permitted only to suitable OCI administrators.",MINOR,Images that contain anything proprietary should be tagged accordingly with export privileges allowed only to suitable OCI administrators.,Instance,Compute,IAAS_ACTIVITY_DETECTOR,['Compute'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM API keys created,IAM_API_KEY_CREATED,API keys are needed if you are using one of Oracle SDKs or tools. This detector creates a problem whenever an API key is created for a user. It can be created by users themselves or by an admin with the right privileges.,LOW,Ensure these keys or credentials are being created by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM API keys deleted,IAM_API_KEY_DELETED,API keys are needed if you are using one of Oracle SDKs or tools. This detector creates a problem whenever an API key is deleted for a user. It can be deleted by users themselves or by an admin with the right privileges.,MINOR,Ensure these keys or credentials are being deleted by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM Auth token created,IAM_AUTH_TOKEN_CREATED,Auth tokens can be used to authenticate with third-party APIs. This detector creates a problem whenever an Auth token is created for a user. They can be created by users themselves or by an admin with the right privileges.,LOW,Ensure these keys or credentials are being created by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
