event,object,ds_action,data_model,action,object_category,property,result
Organization Object,Organization,MemberAdded,change,created,group,,Organization Object
Organization Member Removed,Organization,MemberRemoved,change,deleted,group,,Organization Member Removed
Organization Administrator Added,Organization,AdminAdded,change,created,group,,Organization Administrator Added
Organization Activated Administrator Membership,Organization,Activated,change,started,group,AdminMembership,Organization Activated Administrator Membership
Organization Deactivated Administrator Membership,Organization,Deactivated,change,stopped,group,AdminMembership,Organization Deactivated Administrator Membership
Organization Bulk User Export Initiated,Organization,Initiated,change,started,group,BulkUsersExport,Organization Bulk User Export Initiated
Organization Bulk Accounts Export Initiated,Organization,Initiated,change,started,group,BulkAccountsExport,Organization Bulk Accounts Export Initiated
Organization SSO Login Policy updated,Organization,Updated,change,modified,group,SSOLoginPolicy,Organization SSO Login Policy updated
Account User Added,Account,UserAdded,change,created,user,,Account User Added
Account User Deleted,Account,UserDeleted,change,deleted,user,,Account User Deleted
Account Administrator Added,Account,AddAdministrator,change,modified,user,,Account Administrator Added
Account Security Policy Updated,Account,Updated,change,modified,group,SecurityPolicy,Account Security Policy Updated
Account Password Rules Updated,Account,Updated,change,modified,user,PasswordRule,Account Password Rules Updated
Account Free Trial Signup,Account,FreeTrialSignup,change,modified,null,,Account Free Trial Signup
Account Document Retention Policy Updated,Account,Updated,change,modified,file,DataRetentionPolicy,Account Document Retention Policy Updated
Envelope Sent,Envelope,Sent,change,null,file,,Envelope Sent
Envelope Signed,Envelope,Signed,change,null,file,,Envelope Signed
Envelope Created,Envelope,Created,change,created,file,,Envelope Created
Envelope Deleted,Envelope,Deleted,change,deleted,file,,Envelope Deleted
Envelope Transfer Initiated,Envelope,TransferSent,change,started,file,,Envelope Transfer Initiated
Envelope Transfer Processed,Envelope,TransferReceived,change,null,file,,Envelope Transfer Processed
Envelope Bulk-Send Initiated,Envelope,Initiated,change,started,file,BulkSend,Envelope Bulk-Send Initiated
Template Created,Template,Created,change,created,null,,Template Created
Template Updated,Template,Updated,change,modified,null,,Template Updated
Template Deleted,Template,Deleted,change,deleted,null,,Template Deleted
Group Created,Group,Created,change,created,group,,Group Created
Group Updated,Group,Updated,change,modified,group,,Group Updated
Group Deleted,Group,Deleted,change,deleted,group,,Group Deleted
User Added to Group,Group,UserAdded,change,modified,user,,User Added to Group
User Removed from Group,Group,UserRemoved,change,modified,user,,User Removed from Group
Connect Configuration Created,Connect,Created,change,created,null,Configuration,Connect Configuration Created
Connect Configuration Updated,Connect,Updated,change,modified,null,Configuration,Connect Configuration Updated
Connect Configuration Deleted,Connect,Deleted,change,deleted,null,Configuration,Connect Configuration Deleted
Connect Event Sent,Connect,Sent,change,null,null,Event,Connect Event Sent
Document Downloaded,Document,Downloaded,null,null,file,,Document Downloaded
Document Source Created,DocumentSource,Created,change,created,file,,Document Source Created
Document Source Deleted,DocumentSource,Deleted,change,deleted,file,,Document Source Deleted
Permission Set Created,PermissionSet,Created,change,created,null,,Permission Set Created
Permission Set Updated,PermissionSet,Updated,change,modified,null,,Permission Set Updated
Permission Set Deleted,PermissionSet,Deleted,change,deleted,null,,Permission Set Deleted
User Login,User,Login,null,null,user,,User Login
User Locked Out,User,LockedOut,null,null,user,,User Locked Out
User Updated Two-Factor Authentication,User,Updated,change,modified,user,2FA,User Updated Two-Factor Authentication
User Updated Password,User,Updated,change,modified,user,Password,User Updated Password
User Updated Profile,User,Updated,change,modified,user,Profile,User Updated Profile
User Updated Email,User,Updated,change,modified,user,Email,User Updated Email
User Updated RecoveryInformation,User,Updated,change,modified,user,RecoveryInformation,User Updated RecoveryInformation
