alert,object,ds_action,description,severity,severity_id
Envelope Bulk Send Initiated,Alert,TooManyBulkSendsInitiated,Occurs when a user successfully initiates a bulk envelope send,high,3
Unusual Document Download Volume,Alert,TooManyDocumentsDownloaded,Occurs when a user downloads 20 or more documents in an hour,medium,2
Unusual Envelope Creation Volume,Alert,TooManyEnvelopesCreated,Occurs when a user creates 20 or more envelopes in an hour,medium,2
Unusual Envelope Send Volume,Alert,TooManyEnvelopesSent,Occurs when a user sends 20 or more envelopes in an hour,medium,2
Unusual Envelope Sign Volume,Alert,TooManyEnvelopesSigned,Occurs when a user signs 20 or more envelopes in an hour,medium,2
Unusual Envelope Deletion Volume,Alert,TooManyEnvelopesDeleted,Occurs when a user deletes 20 or more envelopes in an hour,medium,2
Password Changed From New Location,Alert,PasswordChangedFromNewLocation,Occurs when a user changes their password from a new location that is 200km or more away from a prior login location.,high,3
Impossible Travel,Alert,ImpossibleTravel,Occurs when a user logs in multiple times in the past 60 minutes at two different locations more than 100km apart,high,3
Recipient Authentication Disabled,Alert,RecipientAuthDisabled,Occurs when an account’s security policy is updated to disable recipient authentication,high,3
Multiple Login Failures,Alert,TooManyLoginFailures,Occurs when a user has 6 or more login failures in an hour,high,3
Bulk Accounts Export,Alert,BulkAccountsExport,Occurs when bulk settings export has been initiated,medium,2
Bulk Users Export,Alert,BulkUsersExport,Occurs when bulk user export has been initiated,medium,2
