was_qid, owasp
150003, A1 - Injection
150012, A1 - Injection
150047, A1 - Injection
150093, A1 - Injection
150032, A2 - Broken Authentication and Session Management
150045, A2 - Broken Authentication and Session Management
150049, A2 - Broken Authentication and Session Management
150053, A2 - Broken Authentication and Session Management
150068, A2 - Broken Authentication and Session Management
150120, A2 - Broken Authentication and Session Management
150121, A2 - Broken Authentication and Session Management
150122, A2 - Broken Authentication and Session Management
150123, A2 - Broken Authentication and Session Management
150000, A3 - Cross Site Scripting (XSS)
150001, A3 - Cross Site Scripting (XSS)
150002, A3 - Cross Site Scripting (XSS)
150013, A3 - Cross Site Scripting (XSS)
150046, A3 - Cross Site Scripting (XSS)
150048, A3 - Cross Site Scripting (XSS)
150076, A3 - Cross Site Scripting (XSS)
150084, A3 - Cross Site Scripting (XSS)
150090, A3 - Cross Site Scripting (XSS)
150092, A3 - Cross Site Scripting (XSS)
150004, A4 - Insecure Direct Object Reference
150011, A4 - Insecure Direct Object Reference
150023, A4 - Insecure Direct Object Reference
150019, A5 – Security Misconfiguration
150022, A5 – Security Misconfiguration
150032, A5 – Security Misconfiguration
150079, A5 – Security Misconfiguration
150060, A5 – Security Misconfiguration
150063, A5 – Security Misconfiguration
150064, A5 – Security Misconfiguration
150066, A5 – Security Misconfiguration
150085, A5 – Security Misconfiguration
150086, A5 – Security Misconfiguration
150103, A5 – Security Misconfiguration
150112, A5 – Security Misconfiguration
150016, A6 – Sensitive Data Exposure
150032, A6 – Sensitive Data Exposure
150033, A6 – Sensitive Data Exposure
150034, A6 – Sensitive Data Exposure
150042, A6 – Sensitive Data Exposure
150043, A6 – Sensitive Data Exposure
150052, A6 – Sensitive Data Exposure
150053, A6 – Sensitive Data Exposure
150072, A6 – Sensitive Data Exposure
150079, A6 – Sensitive Data Exposure
150120, A6 – Sensitive Data Exposure
150122, A6 – Sensitive Data Exposure
150004, A7 - Missing Function Level Access Control
150071, A8 - Cross Site Request Forgery (CSRF)
150083, A8 - Cross Site Request Forgery (CSRF)
150057, A9 - Using Components with Known Vulnerabilities
150064, A9 - Using Components with Known Vulnerabilities
150085, A9 - Using Components with Known Vulnerabilities
150051, A10 – Unvalidated Redirects and Forwards
