"varonis_eventtype","type"
"X0","alarm"
"X1","alert"
"X2","event"
"X3","task"
"X4","unknown"
"<Event Type>","event"
"All event types","event"
"File opened","event"
"File created","event"
"File renamed","event"
"File deleted","event"
"Folder deleted","event"
"Share removed (hist. of differences only)","event"
"Folder renamed","event"
"Folder created","event"
"Share added (hist. of differences only)","event"
"File permissions changed","event"
"Permissions added (Windows, Dell FluidFS only)","event"
"Permissions removed (Windows, Dell FluidFS only)","event"
"Protection added (Windows, Dell FluidFS only)","event"
"Protection removed (Windows, Dell FluidFS only)","event"
"Owner changed (Windows, Dell FluidFS only)","event"
"Folder permissions changed","event"
"SharePoint permission level changed","event"
"Exchange folder opened","event"
"Exchange folder created","event"
"Exchange folder deleted","event"
"Exchange folder renamed","event"
"Exchange folder permissions added","event"
"Exchange folder permissions removed","event"
"Exchange folder permissions changed","event"
"Exchange folder moved","event"
"Exchange folder copied","event"
"Exchange folder emptied","event"
"Mark all as read","event"
"Message opened","event"
"Message sent","event"
"Message sent on behalf","event"
"Message sent as","event"
"Message received","event"
"Message edited","event"
"Message deleted","event"
"Message moved","event"
"Message marked as unread","event"
"Message marked as read","event"
"Message flags changed","event"
"Message copied","event"
"Message created","event"
"Message downloaded","event"
"Attachment opened","event"
"Attachment deleted","event"
"Attachment added","event"
"Attachment modified","event"
"Mailbox delegate added","event"
"Mailbox delegate removed","event"
"Mailbox logon","event"
"Mailbox permission added","event"
"Mailbox permission removed","event"
"Public folder administrative permission added","event"
"Public folder administrative permission removed","event"
"Mailbox forward delivery option added","event"
"Mailbox forward delivery option removed","event"
"User added (hist. of differences only)","event"
"Group added (hist. of differences only)","event"
"User renamed (hist. of differences only)","event"
"Group renamed (hist. of differences only)","event"
"Membership added (hist. of differences only)","event"
"Membership removed (hist. of differences only)","event"
"User removed (hist. of differences only)","event"
"Group removed (hist. of differences only)","event"
"Owner changed (hist. of differences only)","event"
"Permissions added (hist. of differences only)","event"
"Permissions removed (hist. of differences only)","event"
"Classification results (hist. of differences only)","event"
"Share permissions added (hist. of differences only)","event"
"Share permissions removed (hist. of differences only)","event"
"DS object created","event"
"DS object deleted","event"
