"varonis_eventtype","action"
"Broken Inheritance Repair rules enabled",""
"Global Access Groups Remediation rules tab viewed","read"
"Global Access Groups Remediation rule details viewed","read"
"Global Access Groups Remediation rules created","created"
"Global Access Groups Remediation rules edited","updated"
"Global Access Groups Remediation rules deleted","deleted"
"Global Access Groups Remediation rules paused",""
"Global Access Groups Remediation rules resumed",""
"Global Access Groups Remediation rules execution started",""
"Global Access Groups Remediation rules stopped",""
"Global Access Groups Remediation rules disabled",""
"Global Access Groups Remediation rules enabled",""
"Global Access Groups Remediation rules calculation started",""
"Global Access Groups Remediation rules rollback started",""
"DatAlert Web Review Opened","read"
"Global Access Groups Remediation new groups tab viewed","read"
"Global Access Groups Remediation notifications tab viewed","read"
"Global Access Groups Remediation new groups tab edited","updated"
"Global Access Groups Remediation notifications tab edited","updated"
"Folder opened (access denied only)","read"
"File accessed (access denied only)","read"
"Folder accessed (access denied only)","read"
"Message sent",""
"Message received",""
"Message received as CC",""
"Message received as BCC",""
"Message sent on behalf",""
"Message sent as",""
