ASN,ASNOwner,DDOSVendor
702,"VERIZON-BUSINESS-MAE-AS702","VERIZON"
703,"VERIZON-BUSINESS-MAE-AS703","VERIZON"
6066,"VERIZON-BUSINESS-MAE-AS6066","VERIZON"
7342,"VERISIGN-AS","VERISIGN"
12222,"AKAMAI","AKAMAI"
13335,"CLOUDFLARENET","CLOUDFLARENET"
16625,"AKAMAI-AS","AKAMAI"
16702,"AKAMAI-AS","AKAMAI"
16838,"VERISIGN-CORP","VERISIGN"
18680,"AKAMAI-AS","AKAMAI"
18717,"AKAMAI-AS","AKAMAI"
19836,"VERISIGNGRS","VERISIGN"
19905,"NEUSTAR-AS6","NEUSTAR"
19907,"NEUSTAR-AS6","NEUSTAR"
19910,"NEUSTAR-AS6","NEUSTAR"
19911,"NEUSTAR-AS6","NEUSTAR"
20052,"ARBOR","ARBOR"
20189,"AKAMAI-AS","AKAMAI"
22207,"AKAMAI-AS","AKAMAI"
23454,"AKAMAI-AS","AKAMAI"
23455,"AKAMAI-AS","AKAMAI"
26053,"DIALECTIC-BGP-AS-FOR-VERIZON-BUSINESS","VERIZON"
26415,"VERISIGN-INC","VERISIGN"
30060,"VERISIGN-ILG1","VERISIGN"
30148,"SUCURI-SEC","SUCURI"
30675,"AKAMAI-AS","AKAMAI"
32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK","PROLEXIC"
32978,"NEUSTAR-AS2","NEUSTAR"
32979,"NEUSTAR-AS3","NEUSTAR"
32980,"NEUSTAR-AS5","NEUSTAR"
32981,"NEUSTAR-AS4","NEUSTAR"
35993,"AKAMAI-AS","AKAMAI"
35994,"AKAMAI-AS","AKAMAI"
36183,"AKAMAI-AS","AKAMAI"
46823,"NEUSTAR-DENVER","NEUSTAR"
54644,"TEL-LINGUA-NEUSTAR","NEUSTAR"
62571,"IMPERVA-INC-US-SJ-COLO","IMPERVA"
393234,"PROLEXIC-MGMT","PROLEXIC"
393560,"AKAMAI-TEST","AKAMAI"
393676,"ZENEDGE","ZENEDGE"
394536,"CLOUDFLARENET-SFO","CLOUDFLARENET"
395747,"CLOUDFLARENET-SFO05","CLOUDFLARENET"
395752,"CORERO-NETWORK-SECURITY","CORERO"
