signature_id,action
0,success
1,error
2,failure
3,error
4,error
5,error
6,error
7,failure
8,failure
9,failure
10,failure
16,failure
17,failure
18,failure
19,error
20,failure
21,failure
22,failure
23,error
32,failure
33,failure
34,failure
35,failure
36,failure
37,failure
38,failure
48,failure
49,failure
64,failure
65,failure
66,failure
67,failure
68,failure
69,failure
70,failure
72,failure
73,error
80,failure
96,failure
97,failure
112,failure
113,error
115,failure
116,error
117,failure
118,failure
256,failure
257,error
258,error
259,error
260,failure
261,error
262,failure
263,failure
264,error
265,failure
266,failure
267,error
268,failure
269,failure
270,failure
271,failure
272,failure
273,error
274,error
275,error
276,error
277,failure
278,failure
279,failure
280,failure
281,error
282,error
283,error
284,error
285,error
286,failure
287,failure
288,failure
289,failure
290,error
291,error
292,error
293,error
294,failure
295,failure
296,error
297,error
298,error
299,error
300,errpr
301,failure
302,failure
