repository_full_name,pusher_id,pull_request_id,action,ref,release_id,issue_state,forkee_id,repository_watchers_count,commits_0_id,commits_0_author_username,commits_0_added,commits_0_modified,commits_0_removed,commits_0_message,before,after,commits_0_url,commits_1_url,commits_2_url,commits_3_url,commits_4_url,commits_0_timestamp,_time,pusher_login,sender_username,issue_created_at,issue_id,issue_title,issue_body,comment_id,comment_body,issue_updated_at,comment_html_url,pull_request_user_username,pull_request_state,pull_request_base_repo_updated_at,pull_request_number,pull_request_title,pull_request_merged_at,forkee_name,forkee_description,forkee_owner_username,release_created_at,release_name,release_author_username,release_body,repository_updated_at,repository_size,repository_created_at
splunk/DS,,,opened,,,open,,2,,,,,,,,,,,,,,,1592404424,,vikram,0001-01-01T00:00:00Z,199,SH is not opening,Search Head is not opening,,,0001-01-01T00:00:00Z,,,,,,,,,,,,,,,2020-06-17T19:43:40+05:30,52981760,2019-11-14T01:30:08+05:30
splunk/DS,,,closed,,,closed,,2,,,,,,,,,,,,,,,1592403966,,vikram,2020-06-17T19:55:42+05:30,198,UF not working,Closed #43,,,2020-06-17T19:55:42+05:30,,,,,,,,,,,,,,,2020-06-17T19:43:40+05:30,52981760,2019-11-14T01:30:08+05:30
splunk/DS,,,created,,,open,,2,,,,,,,,,,,,,,,1592403966,,vikram,2020-06-17T19:55:42+05:30,198,UF not working,Issue resolved,222,Issue resolved,2020-06-17T19:55:42+05:30,http://repo.avotrix.com:3000/splunk/DS/issues/43#issuecomment-222,,,,,,,,,,,,,,2020-06-17T19:43:40+05:30,52981760,2019-11-14T01:30:08+05:30
splunk/DS,,,created,,,open,,2,,,,,,,,,,,,,,,1592403810,,vikram,2020-06-17T19:46:17+05:30,197,Unable to receive logs,Working on it,219,Working on it,2020-06-17T19:47:16+05:30,http://repo.avotrix.com:3000/splunk/DS/issues/42#issuecomment-219,,,,,,,,,,,,,,2020-06-17T19:43:40+05:30,52981760,2019-11-14T01:30:08+05:30
splunk/DS,,,published,,5,,,2,,,,,,,,,,,,,,,1592408656,,vikram,,,,,,,,,,,,,,,,,,2020-06-17T21:14:16+05:30,June Release,vikram,All Instance,2020-06-17T20:23:17+05:30,52983808,2019-11-14T01:30:08+05:30
splunk/DS,23,,,refs/heads/master,,,,2,c8e17c6c189f634fb2be802bb0e3340ecd315248,vikram,apps.conf,,,"Added apps.conf file
Added conf file to the app",ac097f6300968a09e2a8541d7cf9b6ce601c23eb,c8e17c6c189f634fb2be802bb0e3340ecd315248,http://repo.avotrix.com:3000/splunk/DS/commit/c8e17c6c189f634fb2be802bb0e3340ecd315248,,,,,2020-06-17T19:30:13+05:30,1592402413,vikram,vikram,,,,,,,,,,,,,,,,,,,,,,2020-06-17T19:25:21+05:30,52979712,2019-11-14T01:30:08+05:30
splunk/DS,,,,vikram,,,,2,,,,,,,,,,,,,,,1592402122,,vikram,,,,,,,,,,,,,,,,,,,,,,2020-05-29T20:39:01+05:30,52978688,2019-11-14T01:30:08+05:30
Avotrix/Splunk-Deployment,15,,,refs/heads/diksha,,,,14,5bf39bda937380fb5819b9f6097882237cbd6a77,diksha,,deployment-apps/Splunk_TA_microsoft-iis/default/props.conf,deployment-apps/Splunk_TA_microsoft-iis/local/props.conf,iis add-on props change,03162ed2edcd33e515040e795e04a29c25d452a9,5bf39bda937380fb5819b9f6097882237cbd6a77,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/5bf39bda937380fb5819b9f6097882237cbd6a77,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/4e0b64c73159476724aec358e3935acd06886422,,,,2020-06-16T00:49:37+05:30,1592248860,diksha,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-15T22:17:05+05:30,80455680,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,15,,,refs/heads/diksha,,,,14,03162ed2edcd33e515040e795e04a29c25d452a9,diksha,,deployment-apps/Splunk_TA_microsoft-iis/local/props.conf,,ms:iis:default local prop.conf edit,aa471d73d1cff82d37a11568998bc3fbd9484fae,03162ed2edcd33e515040e795e04a29c25d452a9,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/03162ed2edcd33e515040e795e04a29c25d452a9,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/da3ef9150382e80a05bf6e860c18683cc501ce32,,,,2020-06-15T22:16:36+05:30,1592239626,diksha,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-13T02:59:50+05:30,80451584,2019-12-19T02:18:29+05:30
splunk/DS,,,opened,,,open,,2,,,,,,,,,,,,,,,1592247441,,vignesh,0001-01-01T00:00:00Z,195,test,Its a test issue,,,0001-01-01T00:00:00Z,,,,,,,,,,,,,,,2020-05-29T20:39:01+05:30,52978688,2019-11-14T01:30:08+05:30
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,14,847921b75321e347a4a4d78ca9069a15b889f632,diksha,,,,"Merge branch \'diksha\' of Avotrix/Splunk-Deployment into master
verified",dfe9b22be2fb29a5973f4485194ea6e6c33a98c1,847921b75321e347a4a4d78ca9069a15b889f632,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/847921b75321e347a4a4d78ca9069a15b889f632,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/d17e03cb8a9bd68ba9a1419e70456a40c5280d57,,,,2020-06-11T21:30:02+05:30,1591891204,Avotrix,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-11T21:22:50+05:30,80431104,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,180,closed,,,,,14,,,,,,,,,,,,,,,1591891204,,diksha,,,,,,,,,diksha,closed,2020-06-11T21:22:50+05:30,134,remove eventgen and sample folder,2020-06-11T21:30:03.5146255+05:30,,,,,,,,2020-06-11T21:22:50+05:30,80431104,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,14,89d6bb9bd858c3b77e23b0a4272c85ebfdc817bd,ajith,,,,"Merge branch \'ajith\' of Avotrix/Splunk-Deployment into master
approved",f2d396e2d7eba3a3b45a3dd4157f9b4d0e9a746f,89d6bb9bd858c3b77e23b0a4272c85ebfdc817bd,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/89d6bb9bd858c3b77e23b0a4272c85ebfdc817bd,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/209517dd9fbfdc9aed7c5f13490ae63e138cf537,,,,2020-06-09T03:50:11+05:30,1591654814,Avotrix,ajith,,,,,,,,,,,,,,,,,,,,,,2020-06-09T03:06:31+05:30,76126208,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,175,closed,,,,,14,,,,,,,,,,,,,,,1591654814,,ajith,,,,,,,,,ajith,closed,2020-06-09T03:06:31+05:30,129,SMTP conf file migration from local to default,2020-06-09T03:50:13.6793712+05:30,,,,,,,,2020-06-09T03:06:31+05:30,76126208,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,177,opened,,,,,14,,,,,,,,,,,,,,,1591652269,,ashvin,,,,,,,,,ashvin,open,2020-06-09T03:06:31+05:30,131,updated inputs and props,None,,,,,,,,2020-06-09T03:06:31+05:30,76126208,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,176,opened,,,,,14,,,,,,,,,,,,,,,1591652265,,ashvin,,,,,,,,,ashvin,open,2020-06-09T03:06:31+05:30,130,updated inputs and props,None,,,,,,,,2020-06-09T03:06:31+05:30,76126208,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,2,,,refs/heads/ashvin,,,,14,cc53444c4fac2f5877647efa98ae769164942685,ashvin,,deployment-apps/Avo_Telegraf_Collet_Parse/default/inputs.conf,,updated inputs and props,136c07392969d6934c6f9b530e6bce7409e754df,cc53444c4fac2f5877647efa98ae769164942685,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/cc53444c4fac2f5877647efa98ae769164942685,,,,,2020-06-09T03:05:30+05:30,1591652191,ashvin,ashvin,,,,,,,,,,,,,,,,,,,,,,2020-06-09T02:02:13+05:30,76126208,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,12,,,refs/heads/ajith,,,,14,209517dd9fbfdc9aed7c5f13490ae63e138cf537,ajith,,,,SMTP ..moving of the conf files from local to default directory to minimize the alerts,f2d396e2d7eba3a3b45a3dd4157f9b4d0e9a746f,209517dd9fbfdc9aed7c5f13490ae63e138cf537,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/209517dd9fbfdc9aed7c5f13490ae63e138cf537,,,,,2020-06-09T02:02:17+05:30,1591648333,ajith,ajith,,,,,,,,,,,,,,,,,,,,,,2020-06-09T00:38:46+05:30,76123136,2019-12-19T02:18:29+05:30
splunk/DS,,,published,,8,,,2,,,,,,,,,,,,,,,1592924280,,vikram,,,,,,,,,,,,,,,,,,2020-06-23T20:28:00+05:30,Enterprise Security,vikram,Release for ES,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
