iRet_code,iRet_label,iRet_desc

"-1",RS_RET_NO_ERRCODE,"RESERVED for NO_ERRCODE errmsg.logError status name"
"-7",RS_RET_NOT_IMPLEMENTED,"implementation is missing (probably internal error or lazyness ;))"
"-6",RS_RET_OUT_OF_MEMORY,"memory allocation failed"
"-50",RS_RET_PROVIDED_BUFFER_TOO_SMALL,"the caller provided a buffer, but the called function sees the size of this buffer is too small - operation not carried out"
"-51",RS_RET_FILE_TRUNCATED,"(input) file was truncated, not an error but a status"
"-3",RS_RET_TRUE,"to indicate a true state (can be used as TRUE, legacy)"
"-2",RS_RET_FALSE,"to indicate a false state (can be used as FALSE, legacy)"
"-8",RS_RET_NO_IRET,"This is a trick for the debuging system - it means no iRet is provided"
"-9",RS_RET_VALIDATION_RUN,"indicates a (config) validation run, processing not carried out"
"-3000",RS_RET_ERR,"generic failure"
"-3001",RS_TRUNCAT_TOO_LARGE,"truncation operation where too many chars should be truncated"
"-3002",RS_RET_FOUND_AT_STRING_END,"some value found, but at the last pos of string"
"-3003",RS_RET_NOT_FOUND,"some requested value not found"
"-3004",RS_RET_MISSING_TRAIL_QUOTE,"an expected trailing quote is missing"
"-3005",RS_RET_NO_DIGIT,"an digit was expected, but none found (mostly parsing)"
"-3006",RS_RET_NO_MORE_DATA,"insufficient data, e.g. end of string during parsing"
"-3007",RS_RET_INVALID_IP,"invalid ip found where valid was expected"
"- 3008",RS_RET_OBJ_CREATION_FAILED,"the creation of an object failed (no details available)"
"- 3009",RS_RET_INOTIFY_INIT_FAILED,"the initialization of an inotify instance failed (no details available)"
"- 3010",RS_RET_FEN_INIT_FAILED,"the initialization of a fen instance failed (no details available)"
"-1000",RS_RET_PARAM_ERROR,"invalid parameter in call to function"
"-1001",RS_RET_MISSING_INTERFACE,"interface version mismatch, required missing"
"-1002",RS_RET_INVALID_CORE_INTERFACE,"interface provided by host invalid, can not be used"
"-1003",RS_RET_ENTRY_POINT_NOT_FOUND,"a requested entry point was not found"
"-1004",RS_RET_MODULE_ENTRY_POINT_NOT_FOUND,"a entry point requested from a module was not present in it"
"-1005",RS_RET_OBJ_NOT_AVAILABLE,"something could not be completed because the required object is not available"
"-1006",RS_RET_LOAD_ERROR,"we had an error loading the object/interface and can not continue"
"-1007",RS_RET_MODULE_STILL_REFERENCED,"module could not be unloaded because it still is referenced by someone"
"-1008",RS_RET_OBJ_UNKNOWN,"object is unknown where required"
"-1009",RS_RET_OBJ_NOT_REGISTERED,"tried to unregister an object that is not registered"
"-2000",RS_RET_NONE,"some value is not available - not necessarily an error"
"-2001",RS_RET_CONFLINE_UNPROCESSED,"config line was not processed, pass to other module"
"-2002",RS_RET_DISCARDMSG,"discard message (no error state, processing request!)"
"-2003",RS_RET_INCOMPATIBLE,"function not compatible with requested feature"
"-2004",RS_RET_NOENTRY,"do not create an entry for (whatever) - not necessary an error"
"-2005",RS_RET_NO_SQL_STRING,"string is not suitable for use as SQL"
"-2006",RS_RET_DISABLE_ACTION,"action requests that it be disabled"
"-2007",RS_RET_SUSPENDED,"something was suspended, not neccesarily an error"
"-2008",RS_RET_RQD_TPLOPT_MISSING,"a required template option is missing"
"-2009",RS_RET_INVALID_VALUE,"some value is invalid (e.g. user-supplied data)"
"-2010",RS_RET_INVALID_INT,"invalid integer"
"-2011",RS_RET_INVALID_CMD,"invalid command"
"-2012",RS_RET_VAL_OUT_OF_RANGE,"value out of range"
"-2013",RS_RET_FOPEN_FAILURE,"failure during fopen, for example file not found - see errno"
"-2014",RS_RET_END_OF_LINKEDLIST,"end of linked list, not an error, but a status"
"-2015",RS_RET_CHAIN_NOT_PERMITTED,"chaining (e.g. of config command handlers) not permitted"
"-2016",RS_RET_INVALID_PARAMS,"supplied parameters are invalid"
"-2017",RS_RET_EMPTY_LIST,"linked list is empty"
"-2018",RS_RET_FINISHED,"some opertion is finished, not an error state"
"-2019",RS_RET_INVALID_SOURCE,"source (address) invalid for some reason"
"-2020",RS_RET_ADDRESS_UNKNOWN,"an address is unknown - not necessarily an error"
"-2021",RS_RET_MALICIOUS_ENTITY,"there is an malicious entity involved"
"-2022",RS_RET_NO_KERNEL_LOGSRC,"no source for kernel logs can be obtained"
"-2023",RS_RET_TCP_SEND_ERROR,"error during TCP send process"
"-2024",RS_RET_GSS_SEND_ERROR,"error during GSS (via TCP) send process"
"-2025",RS_RET_TCP_SOCKCREATE_ERR,"error during creation of TCP socket"
"-2024",RS_RET_GSS_SENDINIT_ERROR,"error during GSS (via TCP) send initialization process"
"-2026",RS_RET_EOF,"end of file reached, not necessarily an error"
"-2027",RS_RET_IO_ERROR,"some kind of IO error happened"
"-2028",RS_RET_INVALID_OID,"invalid object ID"
"-2029",RS_RET_INVALID_HEADER,"invalid header"
"-2030",RS_RET_INVALID_HEADER_VERS,"invalid header version"
"-2031",RS_RET_INVALID_DELIMITER,"invalid delimiter, e.g. between params"
"-2032",RS_RET_INVALID_PROPFRAME,"invalid framing in serialized property"
"-2033",RS_RET_NO_PROPLINE,"line is not a property line"
