x_webcat_code_abbr,usage
IW_adlt,Violation
IW_adv,Other
IW_alc,Personal
IW_art,Personal
IW_astr,Personal
IW_auct,Personal
IW_busi,Business
IW_chat,Personal
IW_plag,Violation
IW_cprn,Violation
IW_csec,Business
IW_comp,Business
IW_date,Personal
IW_card,Personal
IW_food,Personal
IW_dyn,Other
IW_edu,Business
IW_ent,Personal
IW_extr,Violation
IW_fash,Personal
IW_fts,Other
IW_filt,Violation
IW_fnnc,Business
IW_free,Personal
IW_gamb,Violation
IW_game,Personal
IW_gov,Business
IW_hack,Violation
IW_hate,Violation
IW_hlth,Business
IW_lol,Personal
IW_ilac,Violation
IW_ildl,Violation
IW_drug,Violation
IW_infr,Other
IW_voip,Personal
IW_job,Personal
IW_ling,Personal
IW_lotr,Personal
IW_cell,Business
IW_natr,Personal
IW_news,Business
IW_ngo,Business
IW_nsn,Violation
IW_comm,Other
IW_osb,Violation
IW_trad,Personal
IW_pem,Business
IW_park,Other
IW_p2p,Violation
IW_pers,Personal
IW_img,Personal
IW_pol,Business
IW_porn,Violation
IW_pnet,Business
IW_rest,Personal
IW_ref,Business
IW_rel,Personal
IW_saas,Business
IW_kids,Personal
IW_sci,Business
IW_srch,Other
IW_sxed,Violation
IW_shop,Personal
IW_snet,Personal
IW_socs,Personal
IW_scty,Personal
IW_swup,Business
IW_sprt,Personal
IW_aud,Personal
IW_vid,Personal
IW_tob,Personal
IW_trns,Personal
IW_trvl,Personal
IW_weap,Violation
IW_whst,Personal
IW_tran,Business
IW_mail,Personal
