GigamonMdata_dnp3_dl_function_code,code
0,reset of remote link (dl_prm == 1) OR POSITIVE ACKnowledgement (dl_prm == 0)
1,reset of user process (dl_prm == 1) OR NEGATIVE ACKnowledgement (dl_prm == 0)
2,test function for link
3,user data
4,unconfirmed user data
9,request link status
11,status of link
