GigamonMdata_ssl_cipher_suite_id,Cipher,Protocol
47,TLS_RSA_WITH_AES_128_CBC_SHA,AES128-SHA
50,TLS_DHE_DSS_WITH_AES_128_CBC_SHA,DHE-DSS-AES128-SHA
51,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,DHE-RSA-AES128-SHA
52,TLS_DH_anon_WITH_AES_128_CBC_SHA,ADH-AES128-SHA
53,TLS_RSA_WITH_AES_256_CBC_SHA,AES256-SHA
56,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,DHE-DSS-AES256-SHA
57,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,DHE-RSA-AES256-SHA
58,TLS_DH_anon_WITH_AES_256_CBC_SHA,ADH-AES256-SHA
65,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,CAMELLIA128-SHA
68,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,DHE-DSS-CAMELLIA128-SHA
69,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,DHE-RSA-CAMELLIA128-SHA
70,TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA,ADH-CAMELLIA128-SHA
108,TLS_DH_anon_WITH_AES_128_CBC_SHA256,ADH-AES128-SHA256
109,TLS_DH_anon_WITH_AES_256_CBC_SHA256,ADH-AES256-SHA256
132,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,CAMELLIA256-SHA
135,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,DHE-DSS-CAMELLIA256-SHA
136,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,DHE-RSA-CAMELLIA256-SHA
137,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA,ADH-CAMELLIA256-SHA
138,TLS_PSK_WITH_RC4_128_SHA,PSK-RC4-SHA
139,TLS_PSK_WITH_3DES_EDE_CBC_SHA,PSK-3DES-EDE-CBC-SHA
140,TLS_PSK_WITH_AES_128_CBC_SHA,PSK-AES128-CBC-SHA
141,TLS_PSK_WITH_AES_256_CBC_SHA,PSK-AES256-CBC-SHA
150,TLS_RSA_WITH_SEED_CBC_SHA,SEED-SHA
153,TLS_DHE_DSS_WITH_SEED_CBC_SHA,DHE-DSS-SEED-SHA
154,TLS_DHE_RSA_WITH_SEED_CBC_SHA,DHE-RSA-SEED-SHA
155,TLS_DH_anon_WITH_SEED_CBC_SHA,ADH-SEED-SHA
166,TLS_DH_anon_WITH_AES_128_GCM_SHA256,ADH-AES128-GCM-SHA256
167,TLS_DH_anon_WITH_AES_256_GCM_SHA384,ADH-AES256-GCM-SHA384
49153,TLS_ECDH_ECDSA_WITH_NULL_SHA,ECDH-ECDSA-NULL-SHA
49154,TLS_ECDH_ECDSA_WITH_RC4_128_SHA,ECDH-ECDSA-RC4-SHA
49155,TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,ECDH-ECDSA-DES-CBC3-SHA
49156,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,ECDH-ECDSA-AES128-SHA
49157,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,ECDH-ECDSA-AES256-SHA
49158,TLS_ECDHE_ECDSA_WITH_NULL_SHA,ECDHE-ECDSA-NULL-SHA
49159,TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,ECDHE-ECDSA-RC4-SHA
49160,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,ECDHE-ECDSA-DES-CBC3-SHA
49161,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,ECDHE-ECDSA-AES128-SHA
49162,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,ECDHE-ECDSA-AES256-SHA
49163,TLS_ECDH_RSA_WITH_NULL_SHA,ECDH-RSA-NULL-SHA
49164,TLS_ECDH_RSA_WITH_RC4_128_SHA,ECDH-RSA-RC4-SHA
