value,access
2,Write
3,Write
6,Write
7,Write
8,None
9,None
10,None/Write
11,None/Write
12,None
13,None
14,None/Write
15,None/Write
16,Read
17,Read
18,Read/Write
19,Read/Write
20,Read
21,Read
22,Read/Write
23,Read/Write
24,Read/None
25,Read/None
26,Read/None/Write
27,Read/None/Write
28,Read/None
29,Read/None
30,Read/None/Write
31,Read/None/Write
32,Update
33,Update
34,Update/Write
35,Update/Write
36,Update
37,Update
38,Update/Write
39,Update/Write
40,Update/None
41,Update/None
42,Update/None/Write
43,Update/None/Write
44,Update/None
45,Update/None
46,Update/None/Write
47,Update/None/Write
48,Update/Read
49,Update/Read
50,Update/Read/Write
51,Update/Read/Write
52,Update/Read
53,Update/Read
54,Update/Read/Write
55,Update/Read/Write
56,Update/Read/None
57,Update/Read/None
58,Update/Read/None/Write
59,Update/Read/None/Write
60,Update/Read/None
61,Update/Read/None
62,Update/Read/None/Write
63,Update/Read/None/Write
64,Control
65,Control
66,Control/Write
67,Control/Write
68,Control
69,Control
70,Control/Write
71,Control/Write
72,Control/None
73,Control/None
74,Control/None/Write
75,Control/None/Write
76,Control/None
77,Control/None
78,Control/None/Write
79,Control/None/Write
80,Control/Read
81,Control/Read
82,Control/Read/Write
83,Control/Read/Write
84,Control/Read
85,Control/Read
86,Control/Read/Write
87,Control/Read/Write
88,Control/Read/None
89,Control/Read/None
90,Control/Read/None/Write
91,Control/Read/None/Write
92,Control/Read/None
93,Control/Read/None
94,Control/Read/None/Write
95,Control/Read/None/Write
96,Control/Update
97,Control/Update
98,Control/Update/Write
99,Control/Update/Write
100,Control/Update
101,Control/Update
102,Control/Update/Write
103,Control/Update/Write
104,Control/Update/None
105,Control/Update/None
106,Control/Update/None/Write
107,Control/Update/None/Write
108,Control/Update/None
109,Control/Update/None
110,Control/Update/None/Write
111,Control/Update/None/Write
112,Control/Update/Read
113,Control/Update/Read
114,Control/Update/Read/Write
115,Control/Update/Read/Write
116,Control/Update/Read
117,Control/Update/Read
118,Control/Update/Read/Write
119,Control/Update/Read/Write
120,Control/Update/Read/None
121,Control/Update/Read/None
122,Control/Update/Read/None/Write
123,Control/Update/Read/None/Write
124,Control/Update/Read/None
125,Control/Update/Read/None
126,Control/Update/Read/None/Write
127,Control/Update/Read/None/Write
128,Alter
129,Alter
130,Alter/Write
131,Alter/Write
132,Alter
133,Alter
134,Alter/Write
135,Alter/Write
136,Alter/None
137,Alter/None
138,Alter/None/Write
139,Alter/None/Write
140,Alter/None
141,Alter/None
142,Alter/None/Write
143,Alter/None/Write
144,Alter/Read
145,Alter/Read
146,Alter/Read/Write
147,Alter/Read/Write
148,Alter/Read
149,Alter/Read
150,Alter/Read/Write
151,Alter/Read/Write
152,Alter/Read/None
153,Alter/Read/None
154,Alter/Read/None/Write
155,Alter/Read/None/Write
156,Alter/Read/None
157,Alter/Read/None
158,Alter/Read/None/Write
159,Alter/Read/None/Write
160,Alter/Update
161,Alter/Update
162,Alter/Update/Write
163,Alter/Update/Write
164,Alter/Update
165,Alter/Update
166,Alter/Update/Write
167,Alter/Update/Write
168,Alter/Update/None
169,Alter/Update/None
170,Alter/Update/None/Write
171,Alter/Update/None/Write
172,Alter/Update/None
173,Alter/Update/None
174,Alter/Update/None/Write
175,Alter/Update/None/Write
176,Alter/Update/Read
177,Alter/Update/Read
178,Alter/Update/Read/Write
179,Alter/Update/Read/Write
180,Alter/Update/Read
181,Alter/Update/Read
182,Alter/Update/Read/Write
183,Alter/Update/Read/Write
184,Alter/Update/Read/None
185,Alter/Update/Read/None
186,Alter/Update/Read/None/Write
187,Alter/Update/Read/None/Write
188,Alter/Update/Read/None
189,Alter/Update/Read/None
190,Alter/Update/Read/None/Write
191,Alter/Update/Read/None/Write
192,Alter/Control
193,Alter/Control
194,Alter/Control/Write
195,Alter/Control/Write
196,Alter/Control
197,Alter/Control
198,Alter/Control/Write
199,Alter/Control/Write
200,Alter/Control/None
201,Alter/Control/None
202,Alter/Control/None/Write
203,Alter/Control/None/Write
204,Alter/Control/None
205,Alter/Control/None
206,Alter/Control/None/Write
207,Alter/Control/None/Write
208,Alter/Control/Read
209,Alter/Control/Read
210,Alter/Control/Read/Write
211,Alter/Control/Read/Write
212,Alter/Control/Read
213,Alter/Control/Read
214,Alter/Control/Read/Write
215,Alter/Control/Read/Write
216,Alter/Control/Read/None
217,Alter/Control/Read/None
218,Alter/Control/Read/None/Write
219,Alter/Control/Read/None/Write
220,Alter/Control/Read/None
221,Alter/Control/Read/None
222,Alter/Control/Read/None/Write
223,Alter/Control/Read/None/Write
224,Alter/Control/Update
225,Alter/Control/Update
226,Alter/Control/Update/Write
227,Alter/Control/Update/Write
228,Alter/Control/Update
229,Alter/Control/Update
230,Alter/Control/Update/Write
231,Alter/Control/Update/Write
232,Alter/Control/Update/None
233,Alter/Control/Update/None
234,Alter/Control/Update/None/Write
235,Alter/Control/Update/None/Write
236,Alter/Control/Update/None
237,Alter/Control/Update/None
238,Alter/Control/Update/None/Write
239,Alter/Control/Update/None/Write
240,Alter/Control/Update/Read
241,Alter/Control/Update/Read
242,Alter/Control/Update/Read/Write
243,Alter/Control/Update/Read/Write
244,Alter/Control/Update/Read
245,Alter/Control/Update/Read
246,Alter/Control/Update/Read/Write
247,Alter/Control/Update/Read/Write
248,Alter/Control/Update/Read/None
249,Alter/Control/Update/Read/None
250,Alter/Control/Update/Read/None/Write
251,Alter/Control/Update/Read/None/Write
252,Alter/Control/Update/Read/None
253,Alter/Control/Update/Read/None
254,Alter/Control/Update/Read/None/Write
