event,qual,meaning
2,0,Successful access
2,1,Insufficient authority
2,2,Profile not found - RACFIND specified on macro
2,3,Access permitted because of warning
2,4,Failed because of PROTECTALL
2,5,WARNING issued because of PROTECTALL
2,6,Insufficient CATEGORY/SECLEVEL
2,7,Insufficient security label authority
2,8,WARNING - security label missing from job, user, or profile
2,9,WARNING - insufficient security label authority
2,10,WARNING - Data set not cataloged
2,11,Data set not cataloged
2,12,Profile not found - required for authority checking
2,13,WARNING - insufficient CATEGORY/SECLEVEL
2,14,WARNING - Non-MAIN execution environment detected while in ENHANCED PGMSECURITY mode. Conditional access or use of EXECUTE-controlled program temporarily allowed.
2,15,Conditional access or use of EXECUTE-controlled program allowed through BASIC mode program while in ENHANCED PGMSECURITY mode.
