title,check_eol_apps,check_compatible_app_version,check_fips_incompatible_app,check_fips_compatible_app_version
0e0d2778-2aef-11ed-a2b5-36c628459faa,,0.0.0,,
3ed334d8-b4fc-11e7-85a3-02f13bdc2585,TRUE,,,
5017a8fe-418f-11e7-b393-02f13bdc2585,TRUE,,,
6131cdc8-ffac-11e7-aeb2-02f13bdc2585,,2.2.0,,2.2.0
61fd08aa-15fa-451d-bd5f-bbba42b6ec7c,,3.1.1,,
648206ac-b7e5-11ea-8c1e-0281150c11dc,,0.0.0,,
6e1723ea-e742-11e6-b5b0-02f13bdc2585,,5.4.2,,5.4.2
7697e0ec-44a2-11e6-a2fe-06caea5ac9f9,TRUE,,,
7d4301e6-827a-11e5-97c0-0aaaffae5557,,5.4.2,,5.4.2
a313595a-e74d-11e6-b5b0-02f13bdc2585,TRUE,,,
a54ad1f4-71ce-11e9-a349-06b302e738e0,TRUE,,,
a75a56f4-71ce-11e9-9cb9-06b063938f42,TRUE,,,
a9423324-b66a-11ea-8c1e-0281150c11dc,,4.3.1,,4.3.1
aa7b3aba-e4e0-11e6-a397-02f13bdc2585,TRUE,,,
aaccffb6-0e8d-11e4-a1a2-027b01bb6fc9,,0.0.0,,
ae3c7fd6-577a-11eb-b94e-06add55d78f8,,4.20.1,,4.20.1
aws_metadata,TRUE,,,
bah_cti,TRUE,,,
bullet_graph_app,TRUE,,,
c28be300-6cff-11ec-80f2-7aadf7180ed4,,0.94.0,,0.94.0
calendar_heatmap_app,TRUE,,,
cdc4d240-7a75-11e6-a006-02af61d60035,TRUE,,,
chargeback_app_splunk_cloud,,2.0.51,,
cloud-app-readiness,,1.0.0,,
DA-ESS_AmazonWebServices_Content,TRUE,,,
DA-ESS-ContentUpdate,,5.5.0,,
DA-ITSI-APM,TRUE,,,
DA-ITSI-ContentLibrary,,2.3.0,,2.3.0
delete_me_mark_test_app1,TRUE,,,
e9fe736e-e738-11e6-a397-02f13bdc2585,,5.4.2,,5.4.2
force_directed_viz,,3.1.0,,
horizon_chart_app,TRUE,,,
horseshoe_meter_app,TRUE,,,
InfoSec_App_for_Splunk,,1.7.0,,
itsi,,4.20.1,,4.20.1
location_tracker_app,TRUE,,,
lookup_editor,,4.0.5,,
mltk-container,,5.2.1,,5.2.1
mobile_access,TRUE,,,
parallel_coordinates_app,TRUE,,,
phantom,,4.3.26,,4.3.26
phantom-remote-search,,1.0.17,,
punchcard_app,TRUE,,,
SA_ITSI_Netapp,TRUE,,,
SA_ITSI_VMware,TRUE,,,
SA-bah_cti,TRUE,,,
SA-Eventgen,,8.2.0,,8.2.0
SA-ExchangeIndex,,4.0.3,,
SA-ldapsearch,,3.1.1,TRUE,
SA-ONTAPIndex,,3.0.2,,
SA-VMWIndex,,4.0.3,,
SA-VMWIndex-inframon,,4.2.1,,
sankey_diagram_app,TRUE,,,
scma,,5.4.9,,
ServiceIntelligenceForSAP,,2.4.0,,2.4.0
simple_xml_examples,TRUE,,,
Splunk_AI_Assistant_Cloud,,1.1.1,TRUE,
splunk_app_addon-builder,,4.3.0,,
splunk_app_aws,TRUE,,,
splunk_app_aws_security,,1.1.2,,1.1.2
splunk_app_cef,TRUE,,,
splunk_app_db_connect,,3.17.2,,3.17.2
splunk_app_eshealthcheck,,1.0.0,,
Splunk_App_for_Anomaly_Detection,TRUE,,TRUE,
Splunk_App_for_Corda,TRUE,,,
splunk_app_for_nix,TRUE,,TRUE,
Splunk_App_for_paloaltonetworks,,1.0.1,,
splunk_app_iai,TRUE,,,
splunk_app_infrastructure,TRUE,,,
splunk_app_mint,TRUE,,,
splunk_app_phantom,TRUE,,,
Splunk_App_SAA,,1.2.0,,1.2.0
splunk_app_sap_etd_alerts,TRUE,,,
splunk_app_servicenow,TRUE,,,
splunk_app_soar,,1.0.72,,1.0.72
splunk_app_tv,TRUE,,,
splunk_app_windows_infrastructure,TRUE,,,
Splunk_Connect_zoom,,0.0.0,,1.2.1
Splunk_DA-ESS_FacebookThreatExchange,,1.0.0,,
Splunk_DA-ESS_PCICompliance,,6.1.0,,6.1.0
splunk_datasets_addon,,1.0.0,,
splunk_dfs_manager,TRUE,,,
Splunk_Essentials_Predictive_Maintenance_for_IOT,,0.2.4,,0.2.4
splunk_for_vmware,TRUE,,,
Splunk_Fraud_Analytics,,1.2.4,,1.2.4
