"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1399","6963","12274","13953","15996","18396","18800","19217","","","19200","",
"Andorra","AND","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1148","3601","6282","10341","14616","18526","20672","22941","24502","25763","26905","27373","",
"Afghanistan","AFG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","200","220","500","500","500","1000","1500","","1500","1500","",
"Angola","AGO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","7458","11700","15942","20000","20000","25000","42344","47704","",
"Albania","ALB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","272","","10000","64000","92000","105519","128177","160000","182556","",
"Arab World","ARB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28964","158365","252990","445937","991800","1735499","2951699","4293697","5610716","6676046","7924222","9443733","10687213","",
"United Arab Emirates","ARE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","367","1973","8374","16632","30327","56146","129320","240620","379800","557577","687713","786818","866968","951785","1038759","",
"Argentina","ARG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","94000","148000","258849","542879","926722","1583713","2600000","3114741","3511026","4020774","4558800","5147626","5742549","",
"Armenia","ARM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","8","10","1000","1990","","3900","11078","31289","85177","153916","206753","234420","",
"American Samoa","ASM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","100","787","1541","2266","4986","6380","7119","6000","4130","4035","",
"Australia","AUS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122800","258100","516800","1012000","2016000","3900000","","5150000","5092000","5375000","5412000","5611000","5839000","",
"Austria","AUT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","50900","190500","320600","451000","601000","870000","1174000","1432000","1622000","1729000","1845600","2029000","2078000","2118000","2210000","",
"Azerbaijan","AZE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","","","2184","3955","14600","60000","100000","460000","948085","1280535","1603358","",
"Burundi","BDI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","160","160","352","367","487","69","",
"Belgium","BEL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10924","23000","144215","460011","815418","1242928","1619944","2010584","2451585","2715308","2962450","3134076","3356599","3528839","3679196","3819393","",
"Benin","BEN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","21","21","81","196","1498","710","975","2423","3569","3897","4623","4363","",
"Burkina Faso","BFA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","50","145","154","384","1715","6732","10266","11947","13705","14063","14328","12959","",
"Bangladesh","BGD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","43710","50000","316699","414569","470050","600461","989521","",
"Bulgaria","BGR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","6651","165469","384672","629076","818626","958205","1088286","1224669","1306251","1370098","",
"Bahrain","BHR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1176","4980","9737","14956","21432","38628","66705","76865","75983","67625","183004","173968","175242","",
"Bahamas, The","BHS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4139","7540","10941","12803","13382","16591","20500","25500","31589","24702","15496","","15500","",
"Bosnia and Herzegovina","BIH","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","27","68","213","1500","6637","13702","40000","84691","188460","236152","307489","364514","406776","450279","",
"Belarus","BLR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","20","123","750","1564","11419","169800","477800","1092290","1665889","2097264","2530945","2784970","",
"Belize","BLZ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","940","2827","5022","7245","7480","8047","8340","8915","9698","9973","10400","",
"Bermuda","BMU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","18487","23643","28799","33955","40000","40100","","","40100","",
