Sourcetype,uAMetric,uAProduct
uberAgent:Application:AppNameIdMapping,Process & application detail,UXM
uberAgent:Application:ApplicationInventory,Application inventory,UXM
uberAgent:Application:BrowserPerformanceChrome,Browser performance Chrome,UXM
uberAgent:Application:BrowserPerformanceIE,Browser performance IE,UXM
uberAgent:Application:BrowserWebRequests2,Browser web requests,UXM
uberAgent:Application:Errors,Application errors,UXM
uberAgent:Application:NetworkConnectFailure,Network communication,UXM
uberAgent:Application:OutlookPluginLoad,Outlook plugin performance,UXM
uberAgent:Application:SoftwareUpdateInventory,Software update inventory,UXM
uberAgent:Application:UIDelay,Application UI unresponsiveness,UXM
uberAgent:Citrix:Applications,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:Catalogs,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:Databases,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:DesktopGroups,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:Hypervisors,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:Licenses,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:Machines,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:Citrix:PublishedDesktops,Citrix XenApp/XenDesktop site monitoring,UXM
uberAgent:CitrixADC:ApplianceInventory,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:AppliancePerformance,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:Certificate,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:Gateway,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:Ip,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:Service,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:ServiceGroup,Citrix ADC performance and inventory,UXM
uberAgent:CitrixADC:vServer,Citrix ADC performance and inventory,UXM
uberAgent:CitrixSession:SessionConfig,Citrix Session Configuration Details,UXM
uberAgent:CitrixSession:VirtualChannelDetail,Citrix Session Protocol Insights,UXM
uberAgent:Config:ConfigInfo,uberAgent internal,UXM
uberAgent:License:LicenseInfo,uberAgent internal,UXM
uberAgent:Logoff:LogoffDetail,Logoff monitoring,UXM
uberAgent:Logon:GroupPolicyCSEDetail2,Logon monitoring,UXM
uberAgent:Logon:LogonDetail,Logon monitoring,UXM
uberAgent:OnOffTransition:BootDetail,On/Off transitions,UXM
uberAgent:OnOffTransition:BootDetail2,On/Off transitions,UXM
uberAgent:OnOffTransition:BootProcessDetail,On/Off transitions,UXM
uberAgent:OnOffTransition:BootProcesses,On/Off transitions,UXM
uberAgent:OnOffTransition:ShutdownDetail,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowAppShutdown,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowAppStandby,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowAppStartup,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowDriverResume,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowDriverShutdown,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowDriverStandby,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowDriverStartup,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowSMSSInit,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowServiceHybridStandby,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowServiceShutdown,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowServiceStartup,On/Off transitions,UXM
uberAgent:OnOffTransition:SlowUserPolicy,On/Off transitions,UXM
uberAgent:OnOffTransition:StandbyDetail,On/Off transitions,UXM
uberAgent:OnOffTransition:StandbyDetail2,On/Off transitions,UXM
uberAgent:Process:LogoffProcesses,Logoff monitoring,UXM
uberAgent:Process:LogonProcesses,Logon monitoring,UXM
uberAgent:Process:NetworkTargetPerformance,Network communication,UXM
uberAgent:Process:ProcessDetail,Process & application detail,UXM
uberAgent:Process:ProcessStartup,Process startup,UXM
uberAgent:Process:ProcessStatistics,Process statistics,UXM
uberAgent:Session:SessionDetail,Session detail,UXM
uberAgent:System:DiskInventory,Machine inventory,UXM
uberAgent:System:GpuUsage,Machine GPU usage,UXM
uberAgent:System:GpuUsageEngine,Machine GPU usage,UXM
uberAgent:System:MachineInventory,Machine inventory,UXM
uberAgent:System:NetworkConfigInformation,Machine detail,UXM
uberAgent:System:PerformanceCounter,Performance counters,UXM
uberAgent:System:SmbClient,SMB performance,UXM
uberAgent:System:SystemPerformanceSummary,Machine detail,UXM
uberAgent:System:SystemPerformanceSummary2,Machine detail,UXM
uberAgent:System:VolumeInventory,Machine inventory,UXM
uberAgent:System:Bugcheck,Stop Errors,UXM
uberAgent:System:MacOsErrors,Stop Errors,UXM
uberAgent:System:MonitorInventory,Machine inventory,UXM
uberAgent:Tags:UserHost,Machine & user tags,UXM
uberAgentESA:Process:ProcessStop,Process stop,ESA
uberAgentESA:Process:DnsQuery,DNS events,ESA
uberAgentESA:ActivityMonitoring:ProcessTagging,Process tagging,ESA
uberAgentESA:System:ScheduledTasks,Scheduled tasks,ESA
uberAgentESA:System:ScheduledTaskActions,Scheduled tasks,ESA
uberAgentESA:System:ScheduledTaskTriggers,Scheduled tasks,ESA
uberAgentESA:System:SecurityInventory,Security inventory,ESA
uberAgentESA:System:WinEvtLogForwarding,EventLog forwarding,ESA
uberAgentESA:System:MacOsSystemLogForwarding,macOS Systemlog forwarding,ESA
