BugcheckCode,BugcheckCodeDisplayName
160,INTERNAL_POWER_ERROR
161,PCI_BUS_DRIVER_INTERNAL
162,MEMORY_IMAGE_CORRUPT
163,ACPI_DRIVER_INTERNAL
164,CNSS_FILE_SYSTEM_FILTER
165,ACPI_BIOS_ERROR
167,BAD_EXHANDLE
171,SESSION_HAS_VALID_POOL_ON_EXIT
172,HAL_MEMORY_ALLOCATION
173,VIDEO_DRIVER_DEBUG_REPORT_REQUEST
177,BGI_DETECTED_VIOLATION
180,VIDEO_DRIVER_INIT_FAILURE
184,ATTEMPTED_SWITCH_FROM_DPC
185,CHIPSET_DETECTED_ERROR
186,SESSION_HAS_VALID_VIEWS_ON_EXIT
187,NETWORK_BOOT_INITIALIZATION_FAILED
188,NETWORK_BOOT_DUPLICATE_ADDRESS
189,INVALID_HIBERNATED_STATE
190,ATTEMPTED_WRITE_TO_READONLY_MEMORY
191,MUTEX_ALREADY_OWNED
193,SPECIAL_POOL_DETECTED_MEMORY_CORRUPTION
194,BAD_POOL_CALLER
196,DRIVER_VERIFIER_DETECTED_VIOLATION
197,DRIVER_CORRUPTED_EXPOOL
198,DRIVER_CAUGHT_MODIFYING_FREED_POOL
199,TIMER_OR_DPC_INVALID
200,IRQL_UNEXPECTED_VALUE
201,DRIVER_VERIFIER_IOMANAGER_VIOLATION
202,PNP_DETECTED_FATAL_ERROR
203,DRIVER_LEFT_LOCKED_PAGES_IN_PROCESS
204,PAGE_FAULT_IN_FREED_SPECIAL_POOL
205,PAGE_FAULT_BEYOND_END_OF_ALLOCATION
206,DRIVER_UNLOADED_WITHOUT_CANCELLING_PENDING_OPERATIONS
207,TERMINAL_SERVER_DRIVER_MADE_INCORRECT_MEMORY_REFERENCE
208,DRIVER_CORRUPTED_MMPOOL
209,DRIVER_IRQL_NOT_LESS_OR_EQUAL
210,BUGCODE_ID_DRIVER
211,DRIVER_PORTION_MUST_BE_NONPAGED
212,SYSTEM_SCAN_AT_RAISED_IRQL_CAUGHT_IMPROPER_DRIVER_UNLOAD
213,DRIVER_PAGE_FAULT_IN_FREED_SPECIAL_POOL
214,DRIVER_PAGE_FAULT_BEYOND_END_OF_ALLOCATION
215,DRIVER_UNMAPPING_INVALID_VIEW
216,DRIVER_USED_EXCESSIVE_PTES
217,LOCKED_PAGES_TRACKER_CORRUPTION
218,SYSTEM_PTE_MISUSE
219,DRIVER_CORRUPTED_SYSPTES
220,DRIVER_INVALID_STACK_ACCESS
222,POOL_CORRUPTION_IN_FILE_AREA
223,IMPERSONATING_WORKER_THREAD
224,ACPI_BIOS_FATAL_ERROR
225,WORKER_THREAD_RETURNED_AT_BAD_IRQL
226,MANUALLY_INITIATED_CRASH
227,RESOURCE_NOT_OWNED
228,WORKER_INVALID
230,DRIVER_VERIFIER_DMA_VIOLATION
231,INVALID_FLOATING_POINT_STATE
232,INVALID_CANCEL_OF_FILE_OPEN
233,ACTIVE_EX_WORKER_THREAD_TERMINATION
234,THREAD_STUCK_IN_DEVICE_DRIVER
235,DIRTY_MAPPED_PAGES_CONGESTION
236,SESSION_HAS_VALID_SPECIAL_POOL_ON_EXIT
237,UNMOUNTABLE_BOOT_VOLUME
239,CRITICAL_PROCESS_DIED
241,SCSI_VERIFIER_DETECTED_VIOLATION
242,HARDWARE_INTERRUPT_STORM
243,DISORDERLY_SHUTDOWN
244,CRITICAL_OBJECT_TERMINATION
245,FLTMGR_FILE_SYSTEM
246,PCI_VERIFIER_DETECTED_VIOLATION
247,DRIVER_OVERRAN_STACK_BUFFER
248,RAMDISK_BOOT_INITIALIZATION_FAILED
249,DRIVER_RETURNED_STATUS_REPARSE_FOR_VOLUME_OPEN
250,HTTP_DRIVER_CORRUPTED
252,ATTEMPTED_EXECUTE_OF_NOEXECUTE_MEMORY
253,DIRTY_NOWRITE_PAGES_CONGESTION
254,BUGCODE_USB_DRIVER
255,RESERVE_QUEUE_OVERFLOW
256,LOADER_BLOCK_MISMATCH
257,CLOCK_WATCHDOG_TIMEOUT
258,DPC_WATCHDOG_TIMEOUT
259,MUP_FILE_SYSTEM
260,AGP_INVALID_ACCESS
261,AGP_GART_CORRUPTION
262,AGP_ILLEGALLY_REPROGRAMMED
264,THIRD_PARTY_FILE_SYSTEM_FAILURE
265,CRITICAL_STRUCTURE_CORRUPTION
266,APP_TAGGING_INITIALIZATION_FAILED
268,FSRTL_EXTRA_CREATE_PARAMETER_VIOLATION
269,WDF_VIOLATION
270,VIDEO_MEMORY_MANAGEMENT_INTERNAL
271,RESOURCE_MANAGER_EXCEPTION_NOT_HANDLED
273,RECURSIVE_NMI
274,MSRPC_STATE_VIOLATION
275,VIDEO_DXGKRNL_FATAL_ERROR
276,VIDEO_SHADOW_DRIVER_FATAL_ERROR
277,AGP_INTERNAL
278,VIDEO_TDR_ERROR
279,VIDEO_TDR_TIMEOUT_DETECTED
