LastDeregisteredCode,LastDeregisteredCodeDisplayName
0,AgentShutdown
1,AgentSuspended
2,AgentRequested
100,IncompatibleVersion
101,AgentAddressResolutionFailed
102,AgentNotContactable
103,AgentWrongActiveDirectoryOU
104,EmptyRegistrationRequest
105,MissingRegistrationCapabilities
106,MissingAgentVersion
107,InconsistentRegistrationCapabilities
108,NotLicensedForFeature
109,UnsupportedCredentialSecurityVersion
110,InvalidRegistrationRequest
111,SingleMultiSessionMismatch
112,FunctionalLevelTooLowForCatalog
113,FunctionalLevelTooLowForDesktopGroup
200,PowerOff
201,DesktopRestart
202,DesktopRemoved
203,AgentRejectedSettingsUpdate
204,SendSettingsFailure
205,SessionAuditFailure
206,SessionPrepareFailure
207,ContactLost
208,SettingsCreationFailure
300,UnknownError
301,BrokerRegistrationLimitReached
400,None
401,HypervisorReportedFailure
402,HypervisorRateLimitExceeded
1000,HardRegistrationPending
1001,SoftRegistered
1002,Unknown
