"_time",MACdm,Source,Destination,"_timediff",killchain
"08/18/2019 19:00:00","00:0c:29:f3:54:39","fe80::57f6:5724:265e:4574","ff02::fb",,CommandAndControl
"08/18/2019 17:00:00","00:0c:29:7b:58:c9","fe80::ace5:d608:74c1:64a3","ff02::1:3",,CommandAndControl
"08/18/2019 18:00:00","00:50:56:ac:af:8d","fe80::647b:6c44:2e89:53bf","ff02::fb",,CommandAndControl
"08/19/2019 11:00:00","00:0c:29:a3:90:7e","fe80::dc40:bfd:b0fd:ee89","fe80::2cd3:cc69:7070:b1a1",,CommandAndControl
"08/18/2019 19:00:00","00:0c:29:15:01:57","fe80::39e0:6303:fb2f:43c5","ff02::fb",,CommandAndControl
"08/19/2019 11:00:00","00:0c:29:a3:90:88","fe80::2cd3:cc69:7070:b1a1","ff02::1:3",,CommandAndControl
"08/22/2019 00:50:56","00:50:56:ac:51:84","fe80::8261:6143:69d:2a9","ff02::fb",,CommandAndControl
"08/21/2019 15:00:00","00:0c:29:12:54:4a","192.168.110.115","1.1.1.1",,CommandAndControl
"08/21/2019 15:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 15:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/21/2019 15:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/21/2019 15:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 16:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 16:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 17:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 17:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/21/2019 17:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/21/2019 17:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 18:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 18:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/21/2019 18:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/21/2019 18:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 19:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 19:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 20:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 20:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 21:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 21:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/21/2019 21:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/21/2019 21:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 22:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 22:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 23:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/21/2019 23:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 00:00:00","00:0c:29:12:54:4a","192.168.110.115","1.1.1.1",,CommandAndControl
"08/22/2019 00:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 00:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 00:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.119",,CommandAndControl
"08/22/2019 00:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 00:00:00","33:33:00:00:00:fb","ff02::fb","fe80::8261:6143:69d:2a9",,CommandAndControl
"08/22/2019 00:30:00","00:0c:29:12:54:4a","192.168.110.115","1.1.1.1",,CommandAndControl
"08/22/2019 00:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 00:30:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 00:30:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 00:50:56","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 01:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 01:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 02:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 02:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 02:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 02:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 03:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 03:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 03:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 03:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 04:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 04:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 04:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 04:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 05:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 05:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 06:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 06:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 07:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 07:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
